canonical_name,organization_type,industry,union_affiliation,local_number,official_identifier,website,public_phone,public_email,street,city,state,zip,latitude,longitude,estimated_reach,active_status,public_accessibility,active_program,asserted_fields,source_url,publisher,source_title,retrieval_date,publication_date,source_strength,source_type,raw_source_identifier,extraction_method,validation_status
"Health Care For All","healthcare_navigation_nonprofit","Health-insurance navigation, consumer advocacy, multilingual HelpLine services, and health-access education","","","","https://hcfama.org/","617-350-7279","","70 Franklin Street Suite 500","Boston","MA","02110","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;street;city;state;zip;active_status;public_accessibility;active_program","https://hcfama.org/contact-us/","Health Care For All","Contact Us","2026-08-18","","4","official_organization_page","manual:round18:health-care-for-all:001:2026-08-18","manual","verified"
"Rhode Island Parent Information Network","family_health_navigation_nonprofit","Health-care, health-insurance, special-education, healthy-aging, caregiver, and family navigation","","","","https://ripin.org/","401-270-0101","info@ripin.org","300 Jefferson Boulevard Suite 300","Warwick","RI","02888","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://ripin.org/contact-us/","Rhode Island Parent Information Network","Contact Us","2026-08-18","","4","official_organization_page","manual:round18:rhode-island-parent-information-network:001:2026-08-18","manual","verified"
"Parent/Professional Advocacy League","family_mental_health_advocacy_nonprofit","Family mental-health support, parent education, peer navigation, and youth-system advocacy","","","","https://ppal.net/","866-815-8122","info@ppal.net","18 Lyman Street Suite 260","Westborough","MA","01581","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://ppal.net/contact/","Parent/Professional Advocacy League","Contact","2026-08-18","","4","official_organization_page","manual:round18:parent-professional-advocacy-league:001:2026-08-18","manual","verified"
"ALS ONE","disease_support_nonprofit","ALS research collaboration, equipment and resource support, and community education","","","","https://alsone.org/","","","8 Industrial Way","Whitman","MA","02382","","","","active","1","1","canonical_name;organization_type;industry;website;street;city;state;zip;active_status;public_accessibility;active_program","https://alsone.org/get-involved/","ALS ONE","Get Involved","2026-08-18","","4","official_organization_page","manual:round18:als-one:001:2026-08-18","manual","verified"
"American Parkinson Disease Association Massachusetts Chapter","disease_support_nonprofit","Parkinson's disease education, information and referral, exercise programs, support groups, and community services","","","","https://www.apdaparkinson.org/community/massachusetts/","617-638-8466","apdama@apdaparkinson.org","85 East Concord Street Ground Floor","Boston","MA","02118","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://www.apdaparkinson.org/community/massachusetts/","American Parkinson Disease Association","Massachusetts Chapter","2026-08-18","","4","official_organization_page","manual:round18:american-parkinson-disease-association-massachusetts:001:2026-08-18","manual","verified"
"Massachusetts Breast Cancer Coalition","public_health_advocacy_nonprofit","Breast-cancer prevention, environmental-health education, research advocacy, and community outreach","","","","https://mbcc.org/","617-376-6222","info@mbcc.org","PO Box 202","Franklin","MA","02038","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://mbcc.org/contact/","Massachusetts Breast Cancer Coalition","Contact","2026-08-18","","4","official_organization_page","manual:round18:massachusetts-breast-cancer-coalition:001:2026-08-18","manual","verified"
"Gloria Gemma Breast Cancer Resource Foundation","cancer_support_nonprofit","Breast-cancer education, wellness, resource navigation, support services, and community outreach","","","","https://www.gloriagemma.org/","401-861-4376","info@gloriagemma.org","11A Blackstone Valley Place","Lincoln","RI","02865","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://www.gloriagemma.org/about-us","Gloria Gemma Breast Cancer Resource Foundation","About Us","2026-08-18","","4","official_organization_page","manual:round18:gloria-gemma-breast-cancer-resource-foundation:001:2026-08-18","manual","verified"
"Ellie Fund","cancer_support_nonprofit","Breast-cancer patient support, transportation, meals, household assistance, and resource coordination","","","","https://www.elliefund.org/","781-449-0100","info@elliefund.org","200 Reservoir Street Suite 300","Needham","MA","02494","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://www.elliefund.org/","Ellie Fund","Ellie Fund","2026-08-18","","4","official_organization_page","manual:round18:ellie-fund:001:2026-08-18","manual","verified"
"Parents Helping Parents","parent_support_nonprofit","Parent support groups, parent stress support, family-strengthening resources, and volunteer training","","","","https://parentshelpingparents.org/","617-926-5008","info@parentshelpingparents.org","275 Grove Street Suite 2-400","Newton","MA","02466","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://parentshelpingparents.org/volunteer","Parents Helping Parents","Volunteer","2026-08-18","","4","official_organization_page","manual:round18:parents-helping-parents:001:2026-08-18","manual","verified"
"Families First Parenting Programs","family_support_nonprofit","Parent education, family coaching, peer networks, and community-based parenting programs","","","","https://www.families-first.org/","617-868-7687","info@families-first.org","50 Hunt Street Suite 320","Watertown","MA","02472","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://www.families-first.org/who-we-are/contact-us/","Families First Parenting Programs","Contact Us","2026-08-18","","4","official_organization_page","manual:round18:families-first-parenting-programs:001:2026-08-18","manual","verified"
"Children's Friend","child_family_services_nonprofit","Child development, family support, early education, social services, and community programs","","","","https://childrensfriendri.org/","401-276-4300","","153 Summer Street","Providence","RI","02903","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;street;city;state;zip;active_status;public_accessibility;active_program","https://childrensfriendri.org/volunteer/","Children's Friend","Volunteer","2026-08-18","","4","official_organization_page","manual:round18:childrens-friend:001:2026-08-18","manual","verified"
"Foster Forward","foster_youth_support_nonprofit","Foster-youth and family support, housing, workforce development, financial capability, and education","","","","https://www.fosterforward.net/","401-438-3900","","55 South Brow Street","East Providence","RI","02914","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;street;city;state;zip;active_status;public_accessibility;active_program","https://www.fosterforward.net/contact-us","Foster Forward","Contact Us","2026-08-18","","4","official_organization_page","manual:round18:foster-forward:001:2026-08-18","manual","verified"
"Adoption Rhode Island","adoption_support_nonprofit","Adoption, permanency, family support, youth services, education, and post-adoption resources","","","","https://adoptionri.org/","401-865-6000","adoptionri@adoptionri.org","290 West Exchange Street Suite 100","Providence","RI","02903","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://adoptionri.org/contact/","Adoption Rhode Island","Contact","2026-08-18","","4","official_organization_page","manual:round18:adoption-rhode-island:001:2026-08-18","manual","verified"
"Massachusetts Children's Alliance","child_advocacy_coalition","Children's advocacy center coordination, professional training, prevention, policy, and multidisciplinary support","","","","https://machildrensalliance.org/","617-573-9800","maca@machildrensalliance.org","11 Beacon Street Suite 321","Boston","MA","02108","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://machildrensalliance.org/worcester-cac-location/contact/","Massachusetts Children's Alliance","Contact","2026-08-18","","4","official_organization_page","manual:round18:massachusetts-childrens-alliance:001:2026-08-18","manual","verified"
"Mothers for Justice & Equality","community_justice_nonprofit","Family leadership, neighborhood safety, economic empowerment, advocacy, and community support","","","","https://mothersforjusticeandequality.org/","617-516-8086","info@mothersforjusticeandequality.org","2201 Washington Street 3rd Floor","Roxbury","MA","02119","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://mothersforjusticeandequality.org/contact-us/","Mothers for Justice & Equality","Contact Us","2026-08-18","","4","official_organization_page","manual:round18:mothers-for-justice-equality:001:2026-08-18","manual","verified"
"Room to Grow Boston","family_support_nonprofit","Parent coaching, infant and toddler material support, family navigation, and early-childhood resources","","","","https://www.roomtogrow.org/","617-859-4545","info@roomtogrow.org","400 Shawmut Avenue","Boston","MA","02118","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://www.roomtogrow.org/contact-us","Room to Grow","Contact Us","2026-08-18","","4","official_organization_page","manual:round18:room-to-grow-boston:001:2026-08-18","manual","verified"
"Rhode Island Black Heritage Society","cultural_heritage_nonprofit","Black history, archival preservation, public education, heritage programming, and community engagement","","","","https://riblackheritage.org/","401-343-2620","origins@riblackheritage.org","600 Mount Pleasant Avenue Building 8","Providence","RI","02908","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://riblackheritage.org/about-us/","Rhode Island Black Heritage Society","About Us","2026-08-18","","4","official_organization_page","manual:round18:rhode-island-black-heritage-society:001:2026-08-18","manual","verified"
"Authentic Caribbean Foundation","cultural_community_foundation","Caribbean diaspora community development, disability inclusion, health education, culture, and economic opportunity","","","","https://www.authenticcaribbeanfoundation.org/","857-271-6006","","25 Dorchester Avenue","Boston","MA","02205","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;street;city;state;zip;active_status;public_accessibility;active_program","https://www.authenticcaribbeanfoundation.org/","Authentic Caribbean Foundation","Authentic Caribbean Foundation","2026-08-18","","4","official_organization_page","manual:round18:authentic-caribbean-foundation:001:2026-08-18","manual","verified"
"La Colaborativa","immigrant_worker_community_nonprofit","Immigrant, worker, tenant, food-access, youth, workforce, and community organizing services","","","","https://la-colaborativa.org/","617-889-6080","hola@la-colaborativa.org","318 Broadway","Chelsea","MA","02150","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://la-colaborativa.org/location/la-colaborativa-headquarters/","La Colaborativa","La Colaborativa Headquarters","2026-08-18","","4","official_organization_page","manual:round18:la-colaborativa:001:2026-08-18","manual","verified"
"Rhode Island Latino Arts","cultural_arts_nonprofit","Latino arts, cultural heritage, public programs, education, and community engagement","","","","https://www.rilatinoarts.org/","","info@rilatinoarts.org","209 Central Street","Central Falls","RI","02863","","","","active","1","1","canonical_name;organization_type;industry;website;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://www.rilatinoarts.org/resources/Latino-Books-Award-2026-flyerR.pdf","Rhode Island Latino Arts","Latino Books Award 2026","2026-08-18","","4","official_organization_document","manual:round18:rhode-island-latino-arts:001:2026-08-18","manual","verified"
"Massachusetts Asian American and Pacific Islanders Commission","state_community_commission","AAPI community advocacy, public policy, civic engagement, resource coordination, and public education","","","","https://aapicommission.org/","617-367-9333","executive@aapicommission.org","1 Ashburton Place 12th Floor","Boston","MA","02108","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://www.mass.gov/orgs/asian-american-pacific-islanders-commission","Commonwealth of Massachusetts","Asian American and Pacific Islanders Commission","2026-08-18","","4","official_government_page","manual:round18:massachusetts-aapi-commission:001:2026-08-18","manual","verified"
"Chinese Consolidated Benevolent Association of New England","cultural_community_association","Chinese community services, cultural programs, education, civic engagement, and organizational coordination","","","","https://ccbaboston.org/","617-542-2574","contact@ccbaboston.org","90 Tyler Street","Boston","MA","02111","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://ccbaboston.org/en/contact-us","Chinese Consolidated Benevolent Association of New England","Contact Us","2026-08-18","","4","official_organization_page","manual:round18:chinese-consolidated-benevolent-association-new-england:001:2026-08-18","manual","verified"
"Asian American Resource Workshop","cultural_community_nonprofit","Asian American community organizing, leadership development, education, arts, and worker solidarity","","","","https://www.aarw.org/","617-942-8178","info@aarw.org","42 Charles Street Suite A","Dorchester","MA","02122","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://static1.squarespace.com/static/5eda7aa2341dc65096be8bc4/t/68cae091f7c64d20cb40d451/1758126225506/AARW%2BDirector%2Bof%2BMembership%2BJob%2BDescription%2B%281%29.pdf","Asian American Resource Workshop","Director of Membership Job Description","2026-08-18","","4","official_organization_document","manual:round18:asian-american-resource-workshop:001:2026-08-18","manual","verified"
