canonical_name,organization_type,industry,union_affiliation,local_number,official_identifier,website,public_phone,public_email,street,city,state,zip,latitude,longitude,estimated_reach,active_status,public_accessibility,active_program,asserted_fields,source_url,publisher,source_title,retrieval_date,publication_date,source_strength,source_type,raw_source_identifier,extraction_method,validation_status
"Fair Housing Center of Greater Boston","fair_housing_civil_rights_nonprofit","Fair housing counseling, discrimination testing, advocacy, education, and multilingual housing-rights information","","","","https://www.bostonfairhousing.org/","617-399-0491","info@bostonfairhousing.org","59 Temple Place Suite 1105","Boston","MA","02111","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://www.bostonfairhousing.org/files/docs/SomaliNational.pdf","Fair Housing Center of Greater Boston","Somali National Origin Fair Housing Guide","2026-08-18","","4","official_organization_document","manual:round21:fair-housing-center-of-greater-boston:001:2026-08-18","manual","verified"
"Citizens' Housing and Planning Association","affordable_housing_policy_nonprofit","Affordable housing policy, education, homeownership, planning, and community development","","","","https://chapa.org/","617-742-0820","","One Beacon Street 5th Floor","Boston","MA","02108","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;street;city;state;zip;active_status;public_accessibility;active_program","https://chapa.org/ways-to-engage/contact/","Citizens' Housing and Planning Association","Contact Us","2026-08-18","","4","official_organization_page","manual:round21:citizens-housing-and-planning-association:001:2026-08-18","manual","verified"
"HousingWorks RI","housing_research_policy_center","Rhode Island housing data, research, policy analysis, and community education","","","","https://www.housingworksri.org/","401-276-4806","hwri@rwu.edu","1 Empire Plaza","Providence","RI","02903","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://www.housingworksri.org/about/contact-us","HousingWorks RI at Roger Williams University","Contact Us","2026-08-18","","5","official_institution_page","manual:round21:housingworks-ri:001:2026-08-18","manual","verified"
"FamilyAid","family_homelessness_services_nonprofit","Family homelessness prevention, emergency shelter, housing placement, and stabilization services","","","","https://familyaidboston.org/","617-542-7286","info@familyaidboston.org","3815 Washington Street","Boston","MA","02130","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://familyaidboston.org/about-us/","FamilyAid","About Us","2026-08-18","","4","official_organization_page","manual:round21:familyaid:001:2026-08-18","manual","verified"
"Pine Street Inn","homelessness_housing_services_nonprofit","Homelessness outreach, shelter, supportive housing, recovery, and workforce services","","","","https://www.pinestreetinn.org/","617-892-9100","info@pinestreetinn.org","444 Harrison Avenue","Boston","MA","02118","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://www.pinestreetinn.org/about-us/contact-us/","Pine Street Inn","Contact Us","2026-08-18","","4","official_organization_page","manual:round21:pine-street-inn:001:2026-08-18","manual","verified"
"Heading Home","homelessness_prevention_housing_nonprofit","Homelessness prevention, emergency shelter, housing placement, and stabilization services","","","","https://headinghomeinc.org/","617-864-8140","info@headinghomeinc.org","186 Massachusetts Avenue","Boston","MA","02115","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://headinghomeinc.org/","Heading Home","Preventing & Ending Homelessness in Greater Boston","2026-08-18","","4","official_organization_page","manual:round21:heading-home:001:2026-08-18","manual","verified"
"Bridge Over Troubled Waters","youth_homelessness_services_nonprofit","Street outreach, emergency services, housing, health care, and education for homeless and at-risk youth","","","","https://bridgeotw.org/","617-423-9575","bridge@bridgeotw.org","47 West Street","Boston","MA","02111","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://bridgeotw.org/get-help/","Bridge Over Troubled Waters","Get Help","2026-08-18","","4","official_organization_page","manual:round21:bridge-over-troubled-waters:001:2026-08-18","manual","verified"
"Boston Health Care for the Homeless Program","homeless_healthcare_nonprofit","Integrated medical, behavioral-health, dental, respite, and outreach care for people experiencing homelessness","","","","https://www.bhchp.org/","857-654-1000","info@bhchp.org","780 Albany Street","Boston","MA","02118","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://www.bhchp.org/contact/","Boston Health Care for the Homeless Program","Contact","2026-08-18","","4","official_organization_page","manual:round21:boston-health-care-for-the-homeless-program:001:2026-08-18","manual","verified"
"Ukrainian Cultural Center of New England","ukrainian_cultural_community_nonprofit","Ukrainian cultural preservation, education, arts, humanitarian support, and community connection","","","","https://uccn.org/","","","991 Providence Highway #1154","Norwood","MA","02062","","","","active","1","1","canonical_name;organization_type;industry;website;street;city;state;zip;active_status;public_accessibility;active_program","https://www.uccn.org/donate/","Ukrainian Cultural Center of New England","Donate to UCCN","2026-08-18","","4","official_organization_page","manual:round21:ukrainian-cultural-center-of-new-england:001:2026-08-18","manual","verified"
"Irish Cultural Centre of Greater Boston","irish_cultural_center","Irish cultural arts, language, heritage, education, and community programming","","","","https://www.irishculture.org/","781-821-8291","info@irishculture.org","200 New Boston Drive","Canton","MA","02021","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://www.irishculture.org/about-us/staff/","Irish Cultural Centre of Greater Boston","Staff","2026-08-18","","4","official_organization_page","manual:round21:irish-cultural-centre-of-greater-boston:001:2026-08-18","manual","verified"
"Scandinavian Cultural Center & Library","scandinavian_cultural_center","Nordic cultural events, language, film, arts, library resources, and community programming","","","","https://scandicenter.org/","617-795-1914","","206 Waltham Street","West Newton","MA","02465","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;street;city;state;zip;active_status;public_accessibility;active_program","https://scandicenter.org/","Scandinavian Cultural Center & Library","Scandinavian Cultural Center & Library","2026-08-18","","4","official_organization_page","manual:round21:scandinavian-cultural-center-and-library:001:2026-08-18","manual","verified"
"Maliotis Cultural Center","hellenic_cultural_center","Hellenic arts, heritage, education, exhibitions, performances, and community events","","","","https://maliotis.hchc.edu/","","maliotis@hchc.edu","50 Goddard Avenue","Brookline","MA","02445","","","","active","1","1","canonical_name;organization_type;industry;website;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://maliotis.hchc.edu/visit-us/","Maliotis Cultural Center / Hellenic College Holy Cross","Visit Us","2026-08-18","","5","official_institution_page","manual:round21:maliotis-cultural-center:001:2026-08-18","manual","verified"
"South Boston Lithuanian Citizens' Association","lithuanian_cultural_community_association","Lithuanian cultural heritage, social events, community gathering, and civic connection","","","","https://www.sblca.org/","617-268-9058","info@sblca.org","368 West Broadway","South Boston","MA","02127","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://www.sblca.org/","South Boston Lithuanian Citizens' Association","South Boston Lithuanian Citizens' Association","2026-08-18","","4","official_organization_page","manual:round21:south-boston-lithuanian-citizens-association:001:2026-08-18","manual","verified"
