canonical_name,organization_type,industry,union_affiliation,local_number,official_identifier,website,public_phone,public_email,street,city,state,zip,latitude,longitude,estimated_reach,active_status,public_accessibility,active_program,asserted_fields,source_url,publisher,source_title,retrieval_date,publication_date,source_strength,source_type,raw_source_identifier,extraction_method,validation_status
"Self Help, Inc.","community_action_agency","Community action, energy assistance, family support, and economic self-sufficiency","","","","https://selfhelpinc.org/","508-588-0447","","45 Pearl Street","Brockton","MA","02301","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;street;city;state;zip;active_status;public_accessibility;active_program","https://www.mass.gov/info-details/community-action-agencies-contact-information","Massachusetts Executive Office of Housing and Livable Communities","Community Action Agencies Contact Information","2026-08-18","","5","official_government_page","manual:round14:self-help:001:2026-08-18","manual","verified"
"Quincy Community Action Programs, Inc.","community_action_agency","Community action, food, housing, education, and workforce services","","","","https://www.qcap.org/","617-479-8181","","1509 Hancock Street 3rd Floor","Quincy","MA","02169","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;street;city;state;zip;active_status;public_accessibility;active_program","https://www.qcap.org/about-qcap/contact/","Quincy Community Action Programs, Inc.","Contact Us","2026-08-18","","4","official_organization_page","manual:round14:quincy-community-action-programs:001:2026-08-18","manual","verified"
"Citizens for Citizens, Inc.","community_action_agency","Community action, food, energy, senior employment, and family services","","","","https://cfcinc.org/","508-679-0041","","264 Griffin Street","Fall River","MA","02724","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;street;city;state;zip;active_status;public_accessibility;active_program","https://www.mass.gov/info-details/community-action-agencies-contact-information","Massachusetts Executive Office of Housing and Livable Communities","Community Action Agencies Contact Information","2026-08-18","","5","official_government_page","manual:round14:citizens-for-citizens:001:2026-08-18","manual","verified"
"People Acting in Community Endeavors (PACE)","community_action_agency","Community action, food access, housing, health access, and early education","","","","https://paceinfo.org/","508-999-9920","help@paceinfo.org","166 William Street","New Bedford","MA","02740","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://paceinfo.org/contact-us/","People Acting in Community Endeavors","Contact Us","2026-08-18","","4","official_organization_page","manual:round14:people-acting-community-endeavors:001:2026-08-18","manual","verified"
"Tri-County Community Action Agency","community_action_agency","Community action, employment, food, health, and family support services","","","","https://www.tricountyri.org/","401-351-2750","","1126 Hartford Avenue","Johnston","RI","02919","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;street;city;state;zip;active_status;public_accessibility;active_program","https://www.tricountyri.org/locations/","Tri-County Community Action Agency","Locations","2026-08-18","","4","official_organization_page","manual:round14:tri-county-community-action:001:2026-08-18","manual","verified"
"Comprehensive Community Action Program","community_action_agency","Community action, employment, health, housing, and basic-needs services","","","","https://www.comcap.org/","401-467-9610","info@comcap.org","1 Capital Way","Cranston","RI","02910","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://www.comcap.org/home/welcome-to-ccap/","Comprehensive Community Action Program","Welcome to CCAP","2026-08-18","","4","official_organization_page","manual:round14:comprehensive-community-action:001:2026-08-18","manual","verified"
"East Bay Community Action Program - Riverside","community_action_agency","Community action, health, family, education, and employment services","","","","https://ebcap.org/","401-437-1000","","100 Bullocks Point Avenue","Riverside","RI","02915","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;street;city;state;zip;active_status;public_accessibility;active_program","https://ebcap.org/about-ebcap/our-locations","East Bay Community Action Program","Our Locations","2026-08-18","","4","official_organization_page","manual:round14:east-bay-community-action-riverside:001:2026-08-18","manual","verified"
"Westbay Community Action","community_action_agency","Community action, food, utilities, education, and workforce development","","","","https://westbaycap.org/","401-732-4660","info@westbaycap.org","487 Jefferson Boulevard","Warwick","RI","02886","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://westbaycap.org/contact/","Westbay Community Action","Contact","2026-08-18","","4","official_organization_page","manual:round14:westbay-community-action:001:2026-08-18","manual","verified"
"Community Action Partnership of Providence County","community_action_agency","Community action, basic needs, employment training, and family services","","","","http://www.cappri.org/","401-273-2000","info@cappri.org","518 Hartford Avenue","Providence","RI","02909","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://www.providenceri.gov/wp-content/uploads/2023/10/HCO-Mental-Health-Brochure-English.pdf","City of Providence Healthy Communities Office","Mental and Behavioral Health Resource Guide","2026-08-18","2023-10-01","5","official_government_document","manual:round14:community-action-partnership-providence:001:2026-08-18","manual","verified"
"Action for Boston Community Development","community_action_agency","Community action, food, housing, workforce, and immigrant services","","","","https://bostonabcd.org/","617-348-6000","info@bostonabcd.org","178 Tremont Street","Boston","MA","02111-1093","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://www.mass.gov/info-details/ori-community-partners-directory","Massachusetts Office for Refugees and Immigrants","ORI Community Partners Directory","2026-08-18","","5","official_government_page","manual:round14:action-boston-community-development:001:2026-08-18","manual","verified"
