canonical_name,organization_type,industry,union_affiliation,local_number,official_identifier,website,public_phone,public_email,street,city,state,zip,latitude,longitude,estimated_reach,active_status,public_accessibility,active_program,asserted_fields,source_url,publisher,source_title,retrieval_date,publication_date,source_strength,source_type,raw_source_identifier,extraction_method,validation_status
"Massachusetts Center for Native American Awareness","indigenous_community_organization","Native American cultural education, youth programs, community assistance, and public awareness","","","","https://www.mcnaa.org/","617-642-1683","mcnaa@aol.com","444 Broadway Martignetti Center Unit B Number 1064","Saugus","MA","01906","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://www.mcnaa.org/","Massachusetts Center for Native American Awareness","Massachusetts Center for Native American Awareness","2026-08-18","","4","official_organization_page","manual:round17:massachusetts-center-native-american-awareness:001:2026-08-18","manual","verified"
"Wampanoag Tribe of Gay Head (Aquinnah)","indigenous_community_organization","Tribal government, community services, cultural programs, and natural-resource stewardship","","","","https://wampanoagtribe-nsn.gov/","508-645-9265","","20 Black Brook Road","Aquinnah","MA","02535","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;street;city;state;zip;active_status;public_accessibility;active_program","https://wampanoagtribe-nsn.gov/personnel","Wampanoag Tribe of Gay Head (Aquinnah)","Personnel and Tribal Office Contact","2026-08-18","","4","official_organization_page","manual:round17:wampanoag-tribe-gay-head-aquinnah:001:2026-08-18","manual","verified"
"Aquinnah Cultural Center","indigenous_cultural_organization","Wampanoag cultural education, museum programs, preservation, and community engagement","","","","https://www.aquinnah.org/","508-645-7900","","35 Aquinnah Circle","Aquinnah","MA","02535","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;street;city;state;zip;active_status;public_accessibility;active_program","https://www.aquinnah.org/","Aquinnah Cultural Center","Aquinnah Cultural Center","2026-08-18","","4","official_organization_page","manual:round17:aquinnah-cultural-center:001:2026-08-18","manual","verified"
"Pokanoket Tribe","indigenous_community_organization","Indigenous cultural preservation, education, community events, and tribal programs","","","","https://www.pokanokettribe.org/","","contact@pokanokettribe.org","PO Box 172","Barrington","RI","02809","","","","active","1","1","canonical_name;organization_type;industry;website;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://www.pokanokettribe.org/about","Pokanoket Tribe","About Us","2026-08-18","","4","official_organization_page","manual:round17:pokanoket-tribe:001:2026-08-18","manual","verified"
"Seaconke Wampanoag Tribe","indigenous_community_organization","Indigenous cultural preservation, education, community programs, and tribal services","","","","https://www.seaconkewampanoag.org/","401-461-8222","seaconkewampanoagofficial@gmail.com","807 Broad Street Second Floor Room 224","Providence","RI","02907","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://www.seaconkewampanoag.org/contact","Seaconke Wampanoag Tribe","Contact","2026-08-18","","4","official_organization_page","manual:round17:seaconke-wampanoag-tribe:001:2026-08-18","manual","verified"
"Wôpanâak Language Reclamation Project","indigenous_cultural_organization","Wôpanâak language revitalization, educator development, cultural preservation, and community learning","","","","https://www.wlrp.org/","774-602-5490","info@wlrp.org","11 Cape Drive Suite 5","Mashpee","MA","02649","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://www.wlrp.org/","Wôpanâak Language Reclamation Project","Wôpanâak Language Reclamation Project","2026-08-18","","4","official_organization_page","manual:round17:wopanaak-language-reclamation-project:001:2026-08-18","manual","verified"
"Tomaquag Museum","indigenous_cultural_organization","Indigenous history, arts, education, cultural preservation, and public programming","","","","https://www.tomaquagmuseum.org/","401-491-9063","","390 A Summit Road","Exeter","RI","02822","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;street;city;state;zip;active_status;public_accessibility;active_program","https://www.tomaquagmuseum.org/contact-1","Tomaquag Museum","Contact Us","2026-08-18","","4","official_organization_page","manual:round17:tomaquag-museum:001:2026-08-18","manual","verified"
"Nipmuc Nation","indigenous_community_organization","Tribal government, cultural preservation, education, and community programs","","","","https://www.nipmucnation.org/","774-317-9138","","25 Main Street","South Grafton","MA","01560","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;street;city;state;zip;active_status;public_accessibility;active_program","https://www.nipmucnation.org/contact","Nipmuc Nation","Who To Contact - Tribal Government of the Nipmuc Nation","2026-08-18","","4","official_organization_page","manual:round17:nipmuc-nation:001:2026-08-18","manual","verified"
"Southeastern Massachusetts Agricultural Partnership","agriculture_support_organization","Farmer technical assistance, agricultural business support, local-food promotion, and regional networking","","","","https://semaponline.org/","","info@semaponline.org","PO Box 80625","South Dartmouth","MA","02748","","","","active","1","1","canonical_name;organization_type;industry;website;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://semaponline.org/contact-us","Southeastern Massachusetts Agricultural Partnership","Contact Us","2026-08-18","","4","official_organization_page","manual:round17:southeastern-massachusetts-agricultural-partnership:001:2026-08-18","manual","verified"
"Massachusetts Farm Bureau Federation","trade_association","Agricultural advocacy, farmer education, industry representation, and member services","","","","https://mfbf.net/","508-481-4766","info@mfbf.net","249 Lakeside Avenue","Marlborough","MA","01752","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://massachusetts-farm-bureau-federation.square.site/","Massachusetts Farm Bureau Federation","Massachusetts Farm Bureau Federation Contact","2026-08-18","","4","official_organization_page","manual:round17:massachusetts-farm-bureau-federation:001:2026-08-18","manual","verified"
"Farm Fresh Rhode Island","food_system_nonprofit","Farm and food markets, food aggregation, farmer services, education, and food access","","","","https://www.farmfreshri.org/","401-312-4250","","10 Sims Avenue Unit 103","Providence","RI","02909","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;street;city;state;zip;active_status;public_accessibility;active_program","https://www.farmfreshri.org/programs/","Farm Fresh Rhode Island","Programs","2026-08-18","","4","official_organization_page","manual:round17:farm-fresh-rhode-island:001:2026-08-18","manual","verified"
"Southside Community Land Trust","community_agriculture_nonprofit","Urban agriculture, farmer support, food access, land stewardship, and workforce development","","","","https://www.southsideclt.org/","401-273-9419","sclt@southsideclt.org","404 Broad Street","Providence","RI","02907","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://www.southsideclt.org/","Southside Community Land Trust","Southside Community Land Trust","2026-08-18","","4","official_organization_page","manual:round17:southside-community-land-trust:001:2026-08-18","manual","verified"
"Urban Farming Institute of Boston","community_agriculture_nonprofit","Urban farming, farmer training, land development, community food access, and agricultural education","","","","https://www.urbanfarminginstitute.org/","617-989-9920","info@urbanfarminginstitute.org","487 Norfolk Street","Mattapan","MA","02126","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://www.boston.gov/departments/growboston/community-garden-and-urban-farm-directory","City of Boston","Community Garden and Urban Farm Directory","2026-08-18","","4","official_government_directory","manual:round17:urban-farming-institute-boston:001:2026-08-18","manual","verified"
"Massachusetts FFA Association","agricultural_education_nonprofit","Agricultural education, career development, youth leadership, and workforce preparation","","","","https://www.massffa.org/","","","135 Center Street","Dighton","MA","02715","","","","active","1","1","canonical_name;organization_type;industry;website;street;city;state;zip;active_status;public_accessibility;active_program","https://www.massffa.org/contact","Massachusetts FFA Association","Contact","2026-08-18","","4","official_organization_page","manual:round17:massachusetts-ffa-association:001:2026-08-18","manual","verified"
"Rhode Island Food Policy Council","food_system_organization","Food-system policy, food access, nutrition security, coordination, and community engagement","","","","https://rifoodcouncil.org/","","info@rifoodcouncil.org","10 Davol Square Suite 100","Providence","RI","02903","","","","active","1","1","canonical_name;organization_type;industry;website;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://rifoodcouncil.org/wp-content/uploads/2023/04/Food-Access-Nutrition-Security-Program-Director-RI-Food-Policy-Council-Department-of-Health-Commerce-Food-Justice.pdf","Rhode Island Food Policy Council","Food Access and Nutrition Security Program Director","2026-08-18","2023-04-01","4","official_organization_document","manual:round17:rhode-island-food-policy-council:001:2026-08-18","manual","verified"
"Plymouth County Conservation District","agricultural_conservation_public_program","Agricultural conservation, natural-resource education, technical partnerships, and land stewardship","","","","https://www.plymouthconservation.org/","","PlymouthCCD.Office@gmail.com","8 Thatcher Lane","Wareham","MA","02571","","","","active","1","1","canonical_name;organization_type;industry;website;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://www.plymouthconservation.org/","Plymouth County Conservation District","Plymouth County Conservation District","2026-08-18","","4","official_organization_page","manual:round17:plymouth-county-conservation-district:001:2026-08-18","manual","verified"
"Massachusetts Lobstermen's Association","trade_association","Commercial fishing representation, marine-resource sustainability, safety, insurance, and industry services","","","","https://lobstermen.com/","781-545-6984","","8 Otis Place","Scituate","MA","02066","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;street;city;state;zip;active_status;public_accessibility;active_program","https://lobstermen.com/","Massachusetts Lobstermen's Association","Massachusetts Lobstermen's Association","2026-08-18","","4","official_organization_page","manual:round17:massachusetts-lobstermens-association:001:2026-08-18","manual","verified"
