canonical_name,organization_type,industry,union_affiliation,local_number,official_identifier,website,public_phone,public_email,street,city,state,zip,latitude,longitude,estimated_reach,active_status,public_accessibility,active_program,asserted_fields,source_url,publisher,source_title,retrieval_date,publication_date,source_strength,source_type,raw_source_identifier,extraction_method,validation_status
"Centerline Communications HQ (MA)","workplace","","","","","https://www.centerlinecommunications.com/","844-748-8878","contact@clinellc.com","","West Bridgewater","MA","","","","","","","","website;public_phone;public_email","https://cdn.centerlinecommunications.com/contact-us","Centerline Communications","Contact Us","2026-08-17","","4","contact_page","manual:round2:centerline-communications-hq-ma:001:2026-08-17","manual","verified"
"Sunrun Inc-695 Myles Standish Blvd","workplace","","","","","https://www.sunrun.com/","855-478-6786","","","Taunton","MA","","","","","","","","website;public_phone","https://www.sunrun.com/contact-us","Sunrun","Contact Us","2026-08-17","","4","contact_page","manual:round2:sunrun-inc-695-myles-standish-blvd:002:2026-08-17","manual","verified"
"D'Allessandro Corp","workplace","","","","","https://dallessandro.com/","508-559-6400","info@dallessandro.com","","West Bridgewater","MA","","","","","","","","website;public_phone;public_email","https://dallessandro.com/contact-us/","D'Allessandro Corporation","Contact Us","2026-08-17","","4","contact_page","manual:round2:d-allessandro-corp:003:2026-08-17","manual","verified"
"Energy Electrical Contractors","workplace","","","","","https://energyelectricne.com/","508-278-3200","","","Foxborough","MA","","","","","","","","website;public_phone","https://energyelectricne.com/contact.html","Energy Electrical Contractors","Contact","2026-08-17","","4","contact_page","manual:round2:energy-electrical-contractors:004:2026-08-17","manual","verified"
"Morton Hospital","workplace","","","","","https://www.brownhealth.org/locations/morton-hospital","508-828-7000","","","Taunton","MA","","","","","","","","website;public_phone","https://www.brownhealth.org/locations/morton-hospital/contact-us","Brown University Health","Contact Morton Hospital","2026-08-17","","4","contact_page","manual:round2:morton-hospital:005:2026-08-17","manual","verified"
"Xfinity Center","workplace","","","","","https://www.xfinitycenteramp.com/","508-339-2331","xfinityguestservices@livenation.com","","Mansfield","MA","","","","","","","","website;public_phone;public_email","https://www.xfinitycenteramp.com/drinks","Xfinity Center","Drinks and Guest Services","2026-08-17","","4","contact_page","manual:round2:xfinity-center:006:2026-08-17","manual","verified"
"GTR Manufacturing LLC","workplace","","","","","https://gtrmfg.com/","508-588-3240","","","Brockton","MA","","","","","","","","website;public_phone","https://gtrmfg.com/contact-us/","GTR Manufacturing","Contact Us","2026-08-17","","4","contact_page","manual:round2:gtr-manufacturing-llc:007:2026-08-17","manual","verified"
"GTR Finishing","workplace","","","","","https://gtrmfg.com/","508-588-3240","","","Brockton","MA","","","","","","","","website;public_phone","https://gtrmfg.com/contact-us/","GTR Manufacturing","Contact Us","2026-08-17","","4","contact_page","manual:round2:gtr-finishing:008:2026-08-17","manual","verified"
"GTR Protoplus","workplace","","","","","https://gtrmfg.com/","508-738-6753","","","Taunton","MA","","","","","","","","website;public_phone","https://gtrmfg.com/rapid-prototyping-electromechanical-assembly-taunton-ma/","GTR Manufacturing","Taunton Rapid Prototyping and Assembly","2026-08-17","","4","contact_page","manual:round2:gtr-protoplus:009:2026-08-17","manual","verified"
"WHITMAN TOOL & DIE CO INC.","workplace","","","","","https://www.whitmantoolanddie.com/","781-447-0421","sales@whitmantool.com","","Whitman","MA","","","","","","","","website;public_phone;public_email","https://www.whitmantoolanddie.com/contact-us/","Whitman Tool & Die","Contact Us","2026-08-17","","4","contact_page","manual:round2:whitman-tool-die-co-inc:010:2026-08-17","manual","verified"
"Future Foam Pouring Plant - Mansfield","workplace","","","","","https://www.futurefoam.com/","508-339-0354","mansfield@futurefoam.com","","Mansfield","MA","","","","","","","","website;public_phone;public_email","https://www.futurefoam.com/facility/mansfield-ma/","Future Foam","Mansfield, Massachusetts Facility","2026-08-17","","4","contact_page","manual:round2:future-foam-pouring-plant-mansfield:011:2026-08-17","manual","verified"
"Fabreeka International Inc","workplace","","","","","https://www.fabreeka.com/","781-341-3655","info@fabreeka.com","","Stoughton","MA","","","","","","","","website;public_phone;public_email","https://www.fabreeka.com/contact/","Fabreeka","Contact","2026-08-17","","4","contact_page","manual:round2:fabreeka-international-inc:012:2026-08-17","manual","verified"
"GenServ","workplace","","","","","https://www.genservcorp.com/","508-492-5130","info@genservcorp.com","","West Bridgewater","MA","","","","","","","","website;public_phone;public_email","https://www.genservcorp.com/contact/","GenServ","Contact","2026-08-17","","4","contact_page","manual:round2:genserv:013:2026-08-17","manual","verified"
"Chadwick-Baross Inc Whitman","workplace","","","","","https://www.chadwick-baross.com/","339-469-2558","","","Whitman","MA","","","","","","","","website;public_phone","https://www.chadwick-baross.com/locations/whitman-ma/","Chadwick-BaRoss","Whitman, MA Location","2026-08-17","","4","contact_page","manual:round2:chadwick-baross-inc-whitman:014:2026-08-17","manual","verified"
"Twin River Technologies","workplace","","","","","https://www.twinriverstechnologies.com/","888-929-8780","orders@trtlp.com","","Quincy","MA","","","","","","","","website;public_phone;public_email","https://www.twinriverstechnologies.com/contact-us/","Twin Rivers Technologies","Contact Us","2026-08-17","","4","contact_page","manual:round2:twin-river-technologies:015:2026-08-17","manual","verified"
"Shawmut Equipment","workplace","","","","","https://www.shawmutequipment.com/","508-238-1900","","","South Easton","MA","","","","","","","","website;public_phone","https://www.shawmutequipment.com/contact/shawmut_contact","Shawmut Equipment","Contact","2026-08-17","","4","contact_page","manual:round2:shawmut-equipment:016:2026-08-17","manual","verified"
"Blount Fine Foods","workplace","","","","","https://www.blountfinefoods.com/","774-888-1300","","","Fall River","MA","","","","","","","","website;public_phone","https://dev.blountfinefoods.com/contact","Blount Fine Foods","Contact","2026-08-17","","4","contact_page","manual:round2:blount-fine-foods:017:2026-08-17","manual","verified"
"GZA GeoEnvironmental, Inc.","workplace","","","","","https://www.gza.com/","781-278-3700","","","Norwood","MA","","","","","","","","website;public_phone","https://www.gza.com/office-locations","GZA GeoEnvironmental","Office Locations","2026-08-17","","4","contact_page","manual:round2:gza-geoenvironmental-inc:018:2026-08-17","manual","verified"
"Thielsch Engineering - DBA Analytical Balance","workplace","","","","","https://www.h2otest.net/","508-946-2225","","","Middleborough","MA","","","","","","","","website;public_phone","https://www.h2otest.net/","Analytical Balance","Water Testing Laboratory","2026-08-17","","4","contact_page","manual:round2:thielsch-engineering-dba-analytical-balance:019:2026-08-17","manual","verified"
"Air EnergyGroup LLC","workplace","","","","","https://airenergy.com/","508-230-9445","info@airenergy.com","","South Easton","MA","","","","","","","","website;public_phone;public_email","https://airenergy.com/wp-content/uploads/2024/10/AEG-Linecard.pdf","Air Energy Group","Air Energy Group Line Card","2026-08-17","2024-10-01","4","contact_page","manual:round2:air-energygroup-llc:020:2026-08-17","manual","verified"
"IQF Atlantic Capes Fisheries","workplace","","","","","https://www.atlanticcapes.com/","508-990-9040","","","Fall River","MA","","","","","","","","website;public_phone","https://www.atlanticcapes.com/contact","Atlantic Capes Fisheries","Contact","2026-08-17","","4","contact_page","manual:round2:iqf-atlantic-capes-fisheries:021:2026-08-17","manual","verified"
"B & D Construction Co. Inc.","workplace","","","","","https://www.banddconst.com/","508-500-1926","info@banddconst.com","","RAYNHAM","MA","","","","","","","","website;public_phone;public_email","https://www.banddconst.com/contact","B & D Construction","Contact","2026-08-17","","4","contact_page","manual:round2:b-d-construction-co-inc:022:2026-08-17","manual","verified"
"High Point & Affiliated Organizations","workplace","","","","","https://hptc.org/","774-628-1000","","","New Bedford","MA","","","","","","","","website;public_phone","https://hptc.org/service/administrative-office/","High Point Treatment Center","Administrative Office","2026-08-17","","4","contact_page","manual:round2:high-point-affiliated-organizations:023:2026-08-17","manual","verified"
"Vareika Construction, Inc.","workplace","","","","","https://vareika.com/","508-583-3999","office@vareika.com","","West Bridgewater","MA","","","","","","","","website;public_phone;public_email","https://vareika.com/","Vareika Construction","Home and Contact","2026-08-17","","4","contact_page","manual:round2:vareika-construction-inc:024:2026-08-17","manual","verified"
"American Insulated Panel, LLC","workplace","","","","","https://americaninsulatedpanel.com/","800-924-2774","sales@aipanel.com","","Taunton","MA","","","","","","","","website;public_phone;public_email","https://americaninsulatedpanel.com/contact-us/","American Insulated Panel","Contact Us","2026-08-17","","4","contact_page","manual:round2:american-insulated-panel-llc:025:2026-08-17","manual","verified"
"Middleborough Gas & Electric Department Electric Division","workplace","","","","","https://www.mged.com/","508-947-1371","","","Middleborough","MA","","","","","","","","website;public_phone","https://www.mged.com/Facilities","Middleborough Gas & Electric Department","Facilities","2026-08-17","","4","contact_page","manual:round2:middleborough-gas-electric-department-electric-division:026:2026-08-17","manual","verified"
