canonical_name,organization_type,industry,union_affiliation,local_number,official_identifier,website,public_phone,public_email,street,city,state,zip,latitude,longitude,estimated_reach,active_status,public_accessibility,active_program,asserted_fields,source_url,publisher,source_title,retrieval_date,publication_date,source_strength,source_type,raw_source_identifier,extraction_method,validation_status
"Vietnamese American Initiative for Development","multilingual_community_nonprofit","Vietnamese community economic development housing and small-business support","","","","https://vietaid.org/","617-822-3717","contact@vietaid.org","42 Charles Street Suite E","Dorchester","MA","02122","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://vietaid.org/about-us/contact-us/","Vietnamese American Initiative for Development","Contact Us","2026-08-18","","4","official_organization_page","manual:round13:vietnamese-american-initiative-for-development:001:2026-08-18","manual","verified"
"Association of Haitian Women in Boston","multilingual_community_nonprofit","Haitian women economic opportunity community support and violence prevention","","","","https://afab-kafanm.org/","617-287-0096","info@afab-kafanm.org","330 Fuller Street","Dorchester","MA","02124","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://afab-kafanm.org/","Association of Haitian Women in Boston","Home and Contact Information","2026-08-18","","4","official_organization_page","manual:round13:association-of-haitian-women-in-boston:002:2026-08-18","manual","verified"
"Haitian-American Public Health Initiatives","multilingual_community_nonprofit","Haitian and migrant health education ESL and community integration","","","","https://haphi.org/","617-298-8076","","1603 Blue Hill Avenue","Mattapan","MA","02126","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;street;city;state;zip;active_status;public_accessibility;active_program","https://www.mass.gov/doc/community-partners-directory-6/download","Massachusetts Office for Refugees and Immigrants","Community Partners Directory","2026-08-18","","5","government_document","manual:round13:haitian-american-public-health-initiatives:003:2026-08-18","manual","verified"
"African Community Health Initiatives","multilingual_community_nonprofit","Culturally competent health access and social services for African communities","","","","https://africancommunityhealthinitiatives.com/","","info@africancommunityhealthinitiatives.org","15 Court Square Suite 360","Boston","MA","02108","","","","active","1","1","canonical_name;organization_type;industry;website;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://africancommunityhealthinitiatives.com/contact-us","African Community Health Initiatives","Contact Us","2026-08-18","","4","official_organization_page","manual:round13:african-community-health-initiatives:004:2026-08-18","manual","verified"
"African Community Economic Development of New England","inclusive_business_association","African immigrant entrepreneurship housing workforce and economic development","","","","https://acedone.org/","617-708-0754","info@acedone.org","89 South Street Suite 203","Boston","MA","02111","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://acedone.org/","African Community Economic Development of New England","Home and Contact Information","2026-08-18","","4","official_organization_page","manual:round13:african-community-economic-development-of-new-england:005:2026-08-18","manual","verified"
"Algerian American Cultural Association - Boston Chapter","multilingual_community_nonprofit","Algerian community education mutual support and newcomer services","","","","https://aacaboston.org/","","contact@aacaboston.org","","Boston","MA","","","","","active","1","1","canonical_name;organization_type;industry;website;public_email;city;state;active_status;public_accessibility;active_program","https://aacaboston.org/","Algerian American Cultural Association - Boston Chapter","Home and Contact Information","2026-08-18","","4","official_organization_page","manual:round13:algerian-american-cultural-association-boston:006:2026-08-18","manual","verified"
"Boston Chinatown Neighborhood Center","multilingual_community_nonprofit","Asian immigrant workforce education family and community services","","","","https://bcnc.net/","617-635-5129","info@bcnc.net","885 Washington Street","Boston","MA","02111","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://bcnc.net/privacy-policy/","Boston Chinatown Neighborhood Center","Privacy Policy and Contact Information","2026-08-18","","4","official_organization_page","manual:round13:boston-chinatown-neighborhood-center:007:2026-08-18","manual","verified"
"Center for Southeast Asians","multilingual_community_nonprofit","Southeast Asian community leadership social services and violence prevention","","","","https://www.cseari.org/","401-274-8811","info@cseari.org","270 Elmwood Avenue","Providence","RI","02907","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://www.api-gbv.org/wp-content/uploads/2024/10/AANHPI-Services-Directory-Sept-2024.pdf","Asian Pacific Institute on Gender-Based Violence","Directory of AANHPI Domestic and Gender Violence Programs","2026-08-18","","3","verified_program_directory","manual:round13:center-for-southeast-asians:008:2026-08-18","manual","verified"
"La Alianza Hispana","multilingual_community_nonprofit","Spanish-speaking older-adult family health and community services","","","","https://laalianza.org/","617-427-7175","","1000 Massachusetts Avenue Suite 101","Boston","MA","02118","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;street;city;state;zip;active_status;public_accessibility;active_program","https://www.mass.gov/locations/la-alianza-hispana-mhvi","Commonwealth of Massachusetts","La Alianza Hispana: MHVI","2026-08-18","","5","government_page","manual:round13:la-alianza-hispana:009:2026-08-18","manual","verified"
"Sociedad Latina","youth_workforce_nonprofit","Latine youth workforce development education and leadership","","","","https://www.sociedadlatina.org/","617-442-4299","","1530 Tremont Street","Roxbury","MA","02120","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;street;city;state;zip;active_status;public_accessibility;active_program","https://www.bostonpublicschools.org/students-families/district-immigration-guidance/district-immigration-guidance-resources","Boston Public Schools","Immigration Guidance Resources","2026-08-18","","5","government_page","manual:round13:sociedad-latina:010:2026-08-18","manual","verified"
