organization_name,contact_name,contact_scope,is_public_professional,role_title,role_date,filing_year,public_email,public_phone,professional_url,source_url,publisher,source_title,retrieval_date,publication_date,source_strength,source_type,raw_source_identifier,extraction_method,validation_status
"Brockton Operator LLC","","role_based","yes","Facility main line","","","","508-580-6800","https://eohhs.ehs.state.ma.us/nursehome/FacilityInfo.aspx?Facility=0E4B","https://eohhs.ehs.state.ma.us/nursehome/FacilityInfo.aspx?Facility=0E4B","Massachusetts Executive Office of Health and Human Services","Brockton Post Acute Care facility information","2026-08-17","","5","public_registry","manual:round6:brockton-operator-llc:001:2026-08-17","manual","verified"
"Carvalho Grove Health & Rehab Center","","role_based","yes","Facility main line","","","","508-679-4866","https://alphasnf.com/our-facilities/carvalho-grove-center/","https://alphasnf.com/our-facilities/carvalho-grove-center/","Alpha Healthcare Management","Carvalho Grove Health and Rehabilitation Center","2026-08-17","","4","contact_page","manual:round6:carvalho-grove-health-rehab-center:002:2026-08-17","manual","verified"
"Newfield House LLC","","role_based","yes","Community main line","","","","508-746-2999","https://newfieldhouse.com/contact-us/","https://newfieldhouse.com/contact-us/","Newfield House","Contact Us","2026-08-17","","4","contact_page","manual:round6:newfield-house-llc:003:2026-08-17","manual","verified"
"St. Johns Nursing Home","","role_based","yes","Facility main line","","","","508-997-9396","https://maseniorcare.org/facility-locator/brandon-woods-new-bedford","https://maseniorcare.org/facility-locator/brandon-woods-new-bedford","Massachusetts Senior Care Association","Brandon Woods of New Bedford","2026-08-17","","3","business_directory","manual:round6:st-johns-nursing-home:004:2026-08-17","manual","verified"
"The Oaks","","role_based","yes","Facility main line","","","","508-998-7807","https://lcca.com/locations/ma/the-oaks/contact","https://lcca.com/locations/ma/the-oaks/contact","Life Care Centers of America","The Oaks contact page","2026-08-17","","4","contact_page","manual:round6:the-oaks:005:2026-08-17","manual","verified"
"VIBRA HOSPITAL SOUTHEASTERN MASSACHUSETTS","","role_based","yes","Hospital main line","","","","508-995-6900","https://vhmass.com/contact-us/","https://vhmass.com/contact-us/","Vibra Hospital of Southeastern Massachusetts","Contact Us","2026-08-17","","4","contact_page","manual:round6:vibra-hospital-southeastern-massachusetts:006:2026-08-17","manual","verified"
"60097 SUNRISE OF PLYMOUTH BEACH","","role_based","yes","Resident and family line","","","","508-746-9733","https://www.mass.gov/locations/sunrise-of-plymouth-beach","https://www.mass.gov/locations/sunrise-of-plymouth-beach","Commonwealth of Massachusetts","Sunrise of Plymouth Beach","2026-08-17","","5","public_registry","manual:round6:60097-sunrise-of-plymouth-beach:007:2026-08-17","manual","verified"
"KRE-BSL HUSKY WILLOW CROSSINGS OPERATION LLC","","role_based","yes","Community advisor","","","","508-964-0382","https://www.benchmarkseniorliving.com/senior-living/ma/mansfield/the-village-at-willow-crossings/","https://www.benchmarkseniorliving.com/senior-living/ma/mansfield/the-village-at-willow-crossings/","Benchmark Senior Living","The Village at Willow Crossings","2026-08-17","","4","contact_page","manual:round6:kre-bsl-husky-willow-crossings-operation-llc:008:2026-08-17","manual","verified"
"5020 - Halifax, MA","","role_based","yes","Branch main line","","","","781-293-2100","https://www.roadsafetraffic.com/massachusetts/","https://www.roadsafetraffic.com/massachusetts/","RoadSafe Traffic Systems","Massachusetts locations","2026-08-17","","4","contact_page","manual:round6:5020-halifax-ma:009:2026-08-17","manual","verified"
"5021 - Halifax MA - Leasing","","role_based","yes","Branch main line","","","","781-293-2100","https://www.roadsafetraffic.com/massachusetts/","https://www.roadsafetraffic.com/massachusetts/","RoadSafe Traffic Systems","Massachusetts locations","2026-08-17","","4","contact_page","manual:round6:5021-halifax-ma-leasing:010:2026-08-17","manual","verified"
"Boston Branch - Kaeser Compressors, Inc.","","role_based","yes","Boston branch inquiries","","","boston@kaeser.com","508-238-3228","https://us.kaeser.com/about-us/contacts/kaeser-usa-branch-locations/boston.aspx","https://us.kaeser.com/about-us/contacts/kaeser-usa-branch-locations/boston.aspx","Kaeser Compressors","Kaeser Compressors in Boston","2026-08-17","","4","contact_page","manual:round6:boston-branch-kaeser-compressors-inc:011:2026-08-17","manual","verified"
