organization_name,contact_name,contact_scope,is_public_professional,role_title,role_date,filing_year,public_email,public_phone,professional_url,source_url,publisher,source_title,retrieval_date,publication_date,source_strength,source_type,raw_source_identifier,extraction_method,validation_status
"25320159 TAUNTON, MA","","role_based","yes","Club main line","","","","508-823-6481","https://www.bjs.com/cl/taunton/0159","https://www.bjs.com/cl/taunton/0159","BJ's Wholesale Club","Taunton Club","2026-08-17","","4","contact_page","manual:round5:25320159-taunton-ma:001:2026-08-17","manual","verified"
"25320034 STOUGHTON, MA","","role_based","yes","Club main line","","","","781-341-3300","https://www.bjs.com/cl/stoughton/0034","https://www.bjs.com/cl/stoughton/0034","BJ's Wholesale Club","Stoughton Club","2026-08-17","","4","contact_page","manual:round5:25320034-stoughton-ma:002:2026-08-17","manual","verified"
"25320018 WEYMOUTH, MA","","role_based","yes","Club main line","","","","781-335-8500","https://www.bjs.com/cl/weymouth/0018","https://www.bjs.com/cl/weymouth/0018","BJ's Wholesale Club","Weymouth Club","2026-08-17","","4","contact_page","manual:round5:25320018-weymouth-ma:003:2026-08-17","manual","verified"
"25320113 PLYMOUTH, MA","","role_based","yes","Club main line","","","","508-591-1009","https://www.bjs.com/cl/plymouth/0113","https://www.bjs.com/cl/plymouth/0113","BJ's Wholesale Club","Plymouth Club","2026-08-17","","4","contact_page","manual:round5:25320113-plymouth-ma:004:2026-08-17","manual","verified"
"25320353 QUINCY, MA","","role_based","yes","Club main line","","","","857-403-2002","https://www.bjs.com/cl/quincy/0353","https://www.bjs.com/cl/quincy/0353","BJ's Wholesale Club","Quincy Club","2026-08-17","","4","contact_page","manual:round5:25320353-quincy-ma:005:2026-08-17","manual","verified"
"2608 QUINCY II","","role_based","yes","Store main line","","","","617-479-0707","https://www.homedepot.com/l/Quincy-II/MA/Quincy/02169/2608","https://www.homedepot.com/l/Quincy-II/MA/Quincy/02169/2608","The Home Depot","Quincy II Home Depot Store #2608","2026-08-17","","4","contact_page","manual:round5:2608-quincy-ii:006:2026-08-17","manual","verified"
"2680 PLYMOUTHMA","","role_based","yes","Store main line","","","","508-830-6702","https://www.homedepot.com/l/Plymouth/MA/Plymouth/02360/2680","https://www.homedepot.com/l/Plymouth/MA/Plymouth/02360/2680","The Home Depot","Plymouth Home Depot Store #2680","2026-08-17","","4","contact_page","manual:round5:2680-plymouthma:007:2026-08-17","manual","verified"
"2681 NORWOOD","","role_based","yes","Store main line","","","","781-762-9270","https://www.homedepot.com/l/Norwood/MA/Norwood/02062/2681","https://www.homedepot.com/l/Norwood/MA/Norwood/02062/2681","The Home Depot","Norwood Home Depot Store #2681","2026-08-17","","4","contact_page","manual:round5:2681-norwood:008:2026-08-17","manual","verified"
"01335 STORE 01335","","role_based","yes","Store main line","","","","774-632-0090","https://locations.dollartree.com/ma/raynham/600-south-st-w","https://locations.dollartree.com/ma/raynham/600-south-st-w","Dollar Tree","Cape Roads Plaza Dollar Tree","2026-08-17","","4","contact_page","manual:round5:01335-store-01335:009:2026-08-17","manual","verified"
"02725 STORE 02725","","role_based","yes","Store main line","","","","781-361-9925","https://locations.dollartree.com/ma/kingston/187-summer-street-suite-2","https://locations.dollartree.com/ma/kingston/187-summer-street-suite-2","Dollar Tree","Kingston Dollar Tree","2026-08-17","","4","contact_page","manual:round5:02725-store-02725:010:2026-08-17","manual","verified"
"03462 STORE 03462","","role_based","yes","Store main line","","","","508-894-7120","https://locations.dollartree.com/ma/brockton/700-crescent-st","https://locations.dollartree.com/ma/brockton/700-crescent-st","Dollar Tree","Crescent Plaza Dollar Tree","2026-08-17","","4","contact_page","manual:round5:03462-store-03462:011:2026-08-17","manual","verified"
"04510 STORE 04510","","role_based","yes","Store main line","","","","781-523-5760","https://locations.dollartree.com/ma/hanson/430-liberty-st","https://locations.dollartree.com/ma/hanson/430-liberty-st","Dollar Tree","Hanson Dollar Tree","2026-08-17","","4","contact_page","manual:round5:04510-store-04510:012:2026-08-17","manual","verified"
"04688 STORE 04688","","role_based","yes","Store main line","","","","508-916-6270","https://locations.dollartree.com/ma/fall-river/529-quarry-st","https://locations.dollartree.com/ma/fall-river/529-quarry-st","Dollar Tree","Quarry Street Dollar Tree","2026-08-17","","4","contact_page","manual:round5:04688-store-04688:013:2026-08-17","manual","verified"
"06401 STORE 06401","","role_based","yes","Store main line","","","","508-313-9398","https://locations.dollartree.com/ma/west-bridgewater/860-n-main-street","https://locations.dollartree.com/ma/west-bridgewater/860-n-main-street","Dollar Tree","West Bridgewater Dollar Tree","2026-08-17","","4","contact_page","manual:round5:06401-store-06401:014:2026-08-17","manual","verified"
"07611 STORE 07611","","role_based","yes","Store main line","","","","339-788-5636","https://locations.dollartree.com/ma/abington/1238-bedford-street","https://locations.dollartree.com/ma/abington/1238-bedford-street","Dollar Tree","Abington Dollar Tree","2026-08-17","","4","contact_page","manual:round5:07611-store-07611:015:2026-08-17","manual","verified"
"07635 STORE 07635","","role_based","yes","Store main line","","","","781-436-0494","https://locations.dollartree.com/ma/stoughton/525-washington-st","https://locations.dollartree.com/ma/stoughton/525-washington-st","Dollar Tree","Stoughton Dollar Tree","2026-08-17","","4","contact_page","manual:round5:07635-store-07635:016:2026-08-17","manual","verified"
"07662 STORE 07662","","role_based","yes","Store main line","","","","774-260-2114","https://locations.dollartree.com/ma/lakeville/56-main-street-unit-2","https://locations.dollartree.com/ma/lakeville/56-main-street-unit-2","Dollar Tree","Lakeville Dollar Tree","2026-08-17","","4","contact_page","manual:round5:07662-store-07662:017:2026-08-17","manual","verified"
"07708 STORE 07708","","role_based","yes","Store main line","","","","508-301-2510","https://locations.dollartree.com/ma/taunton/237-broadway","https://locations.dollartree.com/ma/taunton/237-broadway","Dollar Tree","Taunton Dollar Tree","2026-08-17","","4","contact_page","manual:round5:07708-store-07708:018:2026-08-17","manual","verified"
"07936 STORE 07936","","role_based","yes","Store main line","","","","339-469-7223","https://locations.dollartree.com/ma/rockland/201-market-street","https://locations.dollartree.com/ma/rockland/201-market-street","Dollar Tree","Rockland Dollar Tree","2026-08-17","","4","contact_page","manual:round5:07936-store-07936:019:2026-08-17","manual","verified"
