organization_name,contact_name,contact_scope,is_public_professional,role_title,role_date,filing_year,public_email,public_phone,professional_url,source_url,publisher,source_title,retrieval_date,publication_date,source_strength,source_type,raw_source_identifier,extraction_method,validation_status
"Urban Perinatal Education Center","","role_based","yes","Public perinatal education and doula-resource office","","","info@urbanperinatal.org","401-229-9225","https://urbanperinatal.org/contact-us","https://urbanperinatal.org/contact-us","Urban Perinatal Education Center","Contact Us","2026-08-18","","4","official_organization_page","manual:round19:urban-perinatal-education-center:001:2026-08-18","manual","verified"
"Mothers' Milk Bank Northeast","","role_based","yes","Public donor-milk and family-support office","","","info@milkbankne.org","617-527-6263","https://milkbankne.org/","https://milkbankne.org/","Mothers' Milk Bank Northeast","Donor Breast Milk","2026-08-18","","4","official_organization_page","manual:round19:mothers-milk-bank-northeast:001:2026-08-18","manual","verified"
"Massachusetts WIC Breastfeeding Initiative","","role_based","yes","Public statewide breastfeeding-support program","","","","617-624-6128","https://www.mass.gov/breastfeeding-initiative","https://www.mass.gov/breastfeeding-initiative","Massachusetts Department of Public Health","Breastfeeding Initiative","2026-08-18","","5","official_government_page","manual:round19:massachusetts-wic-breastfeeding-initiative:001:2026-08-18","manual","verified"
"Propa City Community Outreach","","role_based","yes","Public pregnancy and infant-loss support office","","","info@propacityco.org","617-407-5347","https://www.propacityco.org/","https://www.propacityco.org/","Propa City Community Outreach","Propa City Community Outreach","2026-08-18","","4","official_organization_page","manual:round19:propa-city-community-outreach:001:2026-08-18","manual","verified"
"Massachusetts Mind the Gap","","role_based","yes","Public perinatal mental-health policy coalition office","","","","617-852-7881","https://massppdfund.org/","https://massppdfund.org/","Massachusetts Mind the Gap","MASS PPD Fund","2026-08-18","","4","official_organization_page","manual:round19:massachusetts-mind-the-gap:001:2026-08-18","manual","verified"
"AllPaths Family Building","","role_based","yes","Public fertility and family-building support office","","","admin@allpathsfb.org","978-763-6504","https://allpathsfb.org/","https://allpathsfb.org/","AllPaths Family Building","AllPaths Family Building","2026-08-18","","4","official_organization_page","manual:round19:allpaths-family-building:001:2026-08-18","manual","verified"
"Boston Breastfeeding Coalition","","role_based","yes","Public lactation warmline and peer-support program","","","breastfeedingboston@gmail.com","857-301-8259","https://www.bmc.org/breastfeeding-equity-center/provider-resources","https://www.bmc.org/breastfeeding-equity-center/provider-resources","Boston Medical Center","The Breastfeeding and Lactation Medicine Center: Provider Resources","2026-08-18","","5","official_institution_page","manual:round19:boston-breastfeeding-coalition:001:2026-08-18","manual","verified"
"Rhode Island Birth","","role_based","yes","Public pregnancy, birth, and doula-resource office","","","friendsofdoulareimbursementact@gmail.com","833-743-6852","https://rhodeislandbirth.com/contact","https://rhodeislandbirth.com/contact","Rhode Island Birth","Contact Us","2026-08-18","","4","official_organization_page","manual:round19:rhode-island-birth:001:2026-08-18","manual","verified"
"Massachusetts Commission for the Blind","","role_based","yes","Public blindness services and general-information office","","","mcbinfo@mass.gov","617-727-5550","https://www.mass.gov/info-details/mcb-contact-information","https://www.mass.gov/info-details/mcb-contact-information","Massachusetts Commission for the Blind","MCB Contact Information","2026-08-18","","5","official_government_page","manual:round19:massachusetts-commission-for-the-blind:001:2026-08-18","manual","verified"
"Massachusetts Commission for the Deaf and Hard of Hearing","","role_based","yes","Public Deaf and hard-of-hearing services office","","","","617-740-1600","https://www.mass.gov/orgs/massachusetts-commission-for-the-deaf-and-hard-of-hearing","https://www.mass.gov/orgs/massachusetts-commission-for-the-deaf-and-hard-of-hearing","Massachusetts Commission for the Deaf and Hard of Hearing","Massachusetts Commission for the Deaf and Hard of Hearing","2026-08-18","","5","official_government_page","manual:round19:massachusetts-commission-for-the-deaf-and-hard-of-hearing:001:2026-08-18","manual","verified"
"Rhode Island Commission on the Deaf and Hard of Hearing","","role_based","yes","Public information, referral, and communication-access office","","","cdhh.main@cdhh.ri.gov","401-256-5511","https://cdhh.ri.gov/contact","https://cdhh.ri.gov/contact","Rhode Island Commission on the Deaf and Hard of Hearing","Contact Information","2026-08-18","","5","official_government_page","manual:round19:rhode-island-commission-deaf-hard-hearing:001:2026-08-18","manual","verified"
