canonical_name,organization_type,industry,union_affiliation,local_number,official_identifier,website,public_phone,public_email,street,city,state,zip,latitude,longitude,estimated_reach,active_status,public_accessibility,active_program,asserted_fields,source_url,publisher,source_title,retrieval_date,publication_date,source_strength,source_type,raw_source_identifier,extraction_method,validation_status
"Black Economic Council of Massachusetts","inclusive_business_association","Black-owned business support and economic development","","","","https://becma.org/","857-308-4623","info@becma.org","1234 Columbus Avenue Building 3","Roxbury Crossing","MA","02119","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://becma.org/","Black Economic Council of Massachusetts","Home and Contact Information","2026-08-18","","4","official_organization_page","manual:round12:black-economic-council-of-massachusetts:001:2026-08-18","manual","verified"
"Massachusetts LGBT Chamber of Commerce","inclusive_business_association","LGBTQ-owned business development and supplier access","","","","https://malgbtcc.org/","857-529-8010","info@malgbtcc.org","50 Milk Street","Boston","MA","02109","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://malgbtcc.org/about-us/","Massachusetts LGBT Chamber of Commerce","About Us","2026-08-18","","4","official_organization_page","manual:round12:massachusetts-lgbt-chamber-of-commerce:002:2026-08-18","manual","verified"
"Rhode Island Black Business Association","inclusive_business_association","Black-owned business support and workforce development","","","","https://ribba.org/","401-383-1179","info@ribba.org","220 Smith Street","Providence","RI","02908","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://members.ribba.org/contact","Rhode Island Black Business Association","Contact Us","2026-08-18","","4","official_organization_page","manual:round12:rhode-island-black-business-association:003:2026-08-18","manual","verified"
"CommonWealth Kitchen","inclusive_business_association","Inclusive food-business incubation and workforce development","","","","https://commonwealthkitchen.org/","617-522-7900","info@commonwealthkitchen.org","196 Quincy Street","Dorchester","MA","02121","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://commonwealthkitchen.org/about/contact-us/","CommonWealth Kitchen","Contact Us","2026-08-18","","4","official_organization_page","manual:round12:commonwealth-kitchen:004:2026-08-18","manual","verified"
"Center for Women & Enterprise - Eastern Massachusetts","inclusive_business_association","Women entrepreneurship and small-business development","","","","https://cweonline.org/","617-536-0700","","24 School Street Floor 2","Boston","MA","02108","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;street;city;state;zip;active_status;public_accessibility;active_program","https://cweonline.org/about-us/contact-us","Center for Women & Enterprise","Contact Us","2026-08-18","","4","official_organization_page","manual:round12:center-for-women-enterprise-eastern-massachusetts:005:2026-08-18","manual","verified"
"Center for Women & Enterprise - Rhode Island","inclusive_business_association","Women entrepreneurship and small-business development","","","","https://cweonline.org/","401-277-0800","","132 George M. Cohan Boulevard","Providence","RI","02903","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;street;city;state;zip;active_status;public_accessibility;active_program","https://cweonline.org/about-us/contact-us","Center for Women & Enterprise","Contact Us","2026-08-18","","4","official_organization_page","manual:round12:center-for-women-enterprise-rhode-island:006:2026-08-18","manual","verified"
"Greater New England Minority Supplier Development Council","inclusive_business_association","Minority-owned supplier development and corporate procurement access","","","","https://gnemsdc.org/","617-578-8900","gnemsdc@gnemsdc.org","101 Huntington Avenue 17th Floor","Boston","MA","02199","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://gnemsdc.org/contact/","Greater New England Minority Supplier Development Council","Contact","2026-08-18","","4","official_organization_page","manual:round12:greater-new-england-minority-supplier-development-council:007:2026-08-18","manual","verified"
"Women's Fund SouthCoast","women_economic_justice_nonprofit","Gender and racial economic justice and leadership development","","","","https://womensfundsouthcoast.org/","508-219-6102","","628 Pleasant Street Suite 322","New Bedford","MA","02740","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;street;city;state;zip;active_status;public_accessibility;active_program","https://womensfundsouthcoast.org/","Women's Fund SouthCoast","Home and Contact Information","2026-08-18","","4","official_organization_page","manual:round12:women-s-fund-southcoast:008:2026-08-18","manual","verified"
"We Are ALX","inclusive_business_association","Latino entrepreneurship leadership and economic mobility","","","","https://wearealx.org/","","info@wearealx.org","18 Grove Street Suite 4","Wellesley","MA","02482","","","","active","1","1","canonical_name;organization_type;industry;website;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://wearealx.org/","We Are ALX","Home and Contact Information","2026-08-18","","4","official_organization_page","manual:round12:we-are-alx:009:2026-08-18","manual","verified"
"Asian Community Development Corporation","inclusive_community_nonprofit","Asian American community development and economic opportunity","","","","https://asiancdc.org/","617-482-2380","","38 Oak Street","Boston","MA","02111","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;street;city;state;zip;active_status;public_accessibility;active_program","https://asiancdc.org/directory","Asian Community Development Corporation","Staff Directory and Contact Information","2026-08-18","","4","official_organization_page","manual:round12:asian-community-development-corporation:010:2026-08-18","manual","verified"
