organization_name,contact_name,contact_scope,is_public_professional,role_title,role_date,filing_year,public_email,public_phone,professional_url,source_url,publisher,source_title,retrieval_date,publication_date,source_strength,source_type,raw_source_identifier,extraction_method,validation_status
"Vietnamese American Initiative for Development","","role_based","yes","Vietnamese community development public office","","","contact@vietaid.org","617-822-3717","https://vietaid.org/about-us/contact-us/","https://vietaid.org/about-us/contact-us/","Vietnamese American Initiative for Development","Contact Us","2026-08-18","","4","official_organization_page","manual:round13:vietnamese-american-initiative-for-development:001:2026-08-18","manual","verified"
"Association of Haitian Women in Boston","","role_based","yes","Haitian women's community services public office","","","info@afab-kafanm.org","617-287-0096","https://afab-kafanm.org/","https://afab-kafanm.org/","Association of Haitian Women in Boston","Home and Contact Information","2026-08-18","","4","official_organization_page","manual:round13:association-of-haitian-women-in-boston:002:2026-08-18","manual","verified"
"Haitian-American Public Health Initiatives","","role_based","yes","Haitian community health public office","","","","617-298-8076","https://www.mass.gov/doc/community-partners-directory-6/download","https://www.mass.gov/doc/community-partners-directory-6/download","Massachusetts Office for Refugees and Immigrants","Community Partners Directory","2026-08-18","","5","government_document","manual:round13:haitian-american-public-health-initiatives:003:2026-08-18","manual","verified"
"African Community Health Initiatives","","role_based","yes","African community health public office","","","info@africancommunityhealthinitiatives.org","","https://africancommunityhealthinitiatives.com/contact-us","https://africancommunityhealthinitiatives.com/contact-us","African Community Health Initiatives","Contact Us","2026-08-18","","4","official_organization_page","manual:round13:african-community-health-initiatives:004:2026-08-18","manual","verified"
"African Community Economic Development of New England","","role_based","yes","African community economic development public office","","","info@acedone.org","617-708-0754","https://acedone.org/","https://acedone.org/","African Community Economic Development of New England","Home and Contact Information","2026-08-18","","4","official_organization_page","manual:round13:african-community-economic-development-of-new-england:005:2026-08-18","manual","verified"
"Algerian American Cultural Association - Boston Chapter","","role_based","yes","Algerian community public office","","","contact@aacaboston.org","","https://aacaboston.org/","https://aacaboston.org/","Algerian American Cultural Association - Boston Chapter","Home and Contact Information","2026-08-18","","4","official_organization_page","manual:round13:algerian-american-cultural-association-boston:006:2026-08-18","manual","verified"
"Boston Chinatown Neighborhood Center","","role_based","yes","Asian immigrant community services public office","","","info@bcnc.net","617-635-5129","https://bcnc.net/privacy-policy/","https://bcnc.net/privacy-policy/","Boston Chinatown Neighborhood Center","Privacy Policy and Contact Information","2026-08-18","","4","official_organization_page","manual:round13:boston-chinatown-neighborhood-center:007:2026-08-18","manual","verified"
"Center for Southeast Asians","","role_based","yes","Southeast Asian community services public office","","","info@cseari.org","401-274-8811","https://www.api-gbv.org/wp-content/uploads/2024/10/AANHPI-Services-Directory-Sept-2024.pdf","https://www.api-gbv.org/wp-content/uploads/2024/10/AANHPI-Services-Directory-Sept-2024.pdf","Asian Pacific Institute on Gender-Based Violence","Directory of AANHPI Domestic and Gender Violence Programs","2026-08-18","","3","verified_program_directory","manual:round13:center-for-southeast-asians:008:2026-08-18","manual","verified"
"La Alianza Hispana","","role_based","yes","Spanish-speaking community services public office","","","","617-427-7175","https://www.mass.gov/locations/la-alianza-hispana-mhvi","https://www.mass.gov/locations/la-alianza-hispana-mhvi","Commonwealth of Massachusetts","La Alianza Hispana: MHVI","2026-08-18","","5","government_page","manual:round13:la-alianza-hispana:009:2026-08-18","manual","verified"
"Sociedad Latina","","role_based","yes","Latine youth workforce public office","","","","617-442-4299","https://www.bostonpublicschools.org/students-families/district-immigration-guidance/district-immigration-guidance-resources","https://www.bostonpublicschools.org/students-families/district-immigration-guidance/district-immigration-guidance-resources","Boston Public Schools","Immigration Guidance Resources","2026-08-18","","5","government_page","manual:round13:sociedad-latina:010:2026-08-18","manual","verified"
"Boston Ujima Project","","role_based","yes","Cooperative economy public office","","","info@ujimaboston.com","","https://www.ujimaboston.com/about","https://www.ujimaboston.com/about","Boston Ujima Project","About Us","2026-08-18","","4","official_organization_page","manual:round13:boston-ujima-project:011:2026-08-18","manual","verified"
"Dudley Street Neighborhood Initiative","","role_based","yes","Community development public office","","","urbanvillage@dsni.org","617-442-9670","https://www.dsni.org/contact","https://www.dsni.org/contact","Dudley Street Neighborhood Initiative","Contact Us","2026-08-18","","4","official_organization_page","manual:round13:dudley-street-neighborhood-initiative:012:2026-08-18","manual","verified"
"Center for Cooperative Development and Solidarity","","role_based","yes","Worker cooperative development public office","","","info@ccdseastboston.org","617-544-1001","https://www.ccdseastboston.org/","https://www.ccdseastboston.org/","Center for Cooperative Development and Solidarity","Home and Contact Information","2026-08-18","","4","official_organization_page","manual:round13:center-for-cooperative-development-and-solidarity:013:2026-08-18","manual","verified"
"Dorchester Food Co-op","","role_based","yes","Community cooperative public office","","","info@dorchesterfoodcoop.com","617-297-5943","https://www.dorchesterfoodcoop.com/contact","https://www.dorchesterfoodcoop.com/contact","Dorchester Food Co-op","Contact","2026-08-18","","4","official_organization_page","manual:round13:dorchester-food-co-op:014:2026-08-18","manual","verified"
"Cooperative Fund of the Northeast","","role_based","yes","Cooperative finance public office","","","cfne@coopfund.coop","800-818-7833","https://cooperativefund.org/","https://cooperativefund.org/","Cooperative Fund of the Northeast","Home and Contact Information","2026-08-18","","4","official_organization_page","manual:round13:cooperative-fund-of-the-northeast:015:2026-08-18","manual","verified"
"Local Enterprise Assistance Fund","","role_based","yes","Cooperative lending public office","","","leaf@leaffund.org","617-232-1551","https://leaffund.org/","https://leaffund.org/","Local Enterprise Assistance Fund","Home and Contact Information","2026-08-18","","4","official_organization_page","manual:round13:local-enterprise-assistance-fund:016:2026-08-18","manual","verified"
"NeighborWorks Housing Solutions - Brockton","","role_based","yes","Housing services public office","","","info@nhsmass.org","617-770-2227","https://nhsmass.org/contact/","https://nhsmass.org/contact/","NeighborWorks Housing Solutions","Contact","2026-08-18","","4","official_organization_page","manual:round13:neighborworks-housing-solutions-brockton:017:2026-08-18","manual","verified"
"NeighborWorks Housing Solutions - Kingston","","role_based","yes","Housing services public office","","","info@nhsmass.org","781-422-4200","https://nhsmass.org/contact/","https://nhsmass.org/contact/","NeighborWorks Housing Solutions","Contact","2026-08-18","","4","official_organization_page","manual:round13:neighborworks-housing-solutions-kingston:018:2026-08-18","manual","verified"
"Justice Center of Southeast Massachusetts","","role_based","yes","Civil legal aid public office","","","","508-586-2110","https://sccls.org/contact/","https://sccls.org/contact/","South Coastal Counties Legal Services","Our Locations","2026-08-18","","4","official_organization_page","manual:round13:justice-center-of-southeast-massachusetts:019:2026-08-18","manual","verified"
"South Coastal Counties Legal Services - Fall River","","role_based","yes","Civil legal aid public office","","","","508-676-6265","https://sccls.org/contact/","https://sccls.org/contact/","South Coastal Counties Legal Services","Our Locations","2026-08-18","","4","official_organization_page","manual:round13:south-coastal-counties-legal-services-fall-river:020:2026-08-18","manual","verified"
"New Hope, Inc.","","role_based","yes","Survivor services public office","","","new-hope@new-hope.org","508-226-4015","https://www.new-hope.org/contact-us/","https://www.new-hope.org/contact-us/","New Hope, Inc.","Contact Us","2026-08-18","","4","official_organization_page","manual:round13:new-hope-inc:021:2026-08-18","manual","verified"
"Family and Community Resources, Inc.","","role_based","yes","Trauma and survivor services public office","","","","508-583-6498","https://www.fcr-ma.org/contact-us","https://www.fcr-ma.org/contact-us","Family and Community Resources, Inc.","Contact Us","2026-08-18","","4","official_organization_page","manual:round13:family-and-community-resources-inc:022:2026-08-18","manual","verified"
"Jane Doe Inc.","","role_based","yes","Survivor advocacy coalition public office","","","info@janedoe.org","617-248-0922","https://www.janedoe.org/contact-us/","https://www.janedoe.org/contact-us/","Jane Doe Inc.","Contact Us","2026-08-18","","4","official_organization_page","manual:round13:jane-doe-inc:023:2026-08-18","manual","verified"
"The Women's Center - New Bedford","","role_based","yes","Survivor services public office","","","info@thewomenscentersc.com","508-996-3343","https://www.thewomenscentersc.com/contact","https://www.thewomenscentersc.com/contact","The Women's Center","Contact","2026-08-18","","4","official_organization_page","manual:round13:the-women-s-center-new-bedford:024:2026-08-18","manual","verified"
"Health Imperatives","","role_based","yes","Health and survivor services public office","","","info@healthimperatives.org","508-583-3005","https://healthimperatives.org/wp-content/uploads/2026/04/HI_2024-2025-Annual-Report-FINAL-ONLINE-VERSION-FOR-WEBSITE.pdf","https://healthimperatives.org/wp-content/uploads/2026/04/HI_2024-2025-Annual-Report-FINAL-ONLINE-VERSION-FOR-WEBSITE.pdf","Health Imperatives","2024-2025 Annual Report","2026-08-18","","4","official_organization_document","manual:round13:health-imperatives:025:2026-08-18","manual","verified"
"South Shore Resource and Advocacy Center","","role_based","yes","South Shore survivor services public office","","","","508-746-2664","https://www.mass.gov/locations/south-shore-resource-and-advocacy-centersoutheast-family-services","https://www.mass.gov/locations/south-shore-resource-and-advocacy-centersoutheast-family-services","Commonwealth of Massachusetts","South Shore Resource and Advocacy Center/Southeast Family Services","2026-08-18","","5","government_page","manual:round13:south-shore-resource-and-advocacy-center:026:2026-08-18","manual","verified"
"DOVE, Inc.","","role_based","yes","Domestic-violence advocacy public office","","","","617-770-4065","https://www.dovema.org/_files/ugd/f6703a_bb80b7c8b2c94dbbb5dddbf4fff58a41.pdf","https://www.dovema.org/_files/ugd/f6703a_bb80b7c8b2c94dbbb5dddbf4fff58a41.pdf","DOVE, Inc.","Healthy Relationship Education and Abuse Prevention","2026-08-18","","4","official_organization_document","manual:round13:dove-inc:027:2026-08-18","manual","verified"
"Old Colony Elder Services","","role_based","yes","Older-adult services public office","","","","508-584-1561","https://ocesma.org/contact-us","https://ocesma.org/contact-us","Old Colony Elder Services","Contact Us","2026-08-18","","4","official_organization_page","manual:round13:old-colony-elder-services:028:2026-08-18","manual","verified"
"South Shore Elder Services","","role_based","yes","Older-adult advocacy public office","","","","781-848-3910","https://sselder.org/","https://sselder.org/","South Shore Elder Services","Home and Contact Information","2026-08-18","","4","official_organization_page","manual:round13:south-shore-elder-services:029:2026-08-18","manual","verified"
"Bristol Aging and Wellness","","role_based","yes","Older-adult services public office","","","","508-675-2101","https://www.bristolaging.org/services/","https://www.bristolaging.org/services/","Bristol Aging and Wellness","Services","2026-08-18","","4","official_organization_page","manual:round13:bristol-aging-and-wellness:030:2026-08-18","manual","verified"
"Operation A.B.L.E.","","role_based","yes","Older-worker employment public office","","","","617-542-4180","https://www.boston.gov/departments/age-strong-commission/age-friendly-boston/job-resources-seniors","https://www.boston.gov/departments/age-strong-commission/age-friendly-boston/job-resources-seniors","City of Boston","Job Resources for Seniors","2026-08-18","","5","government_page","manual:round13:operation-able:031:2026-08-18","manual","verified"
"SER-Jobs for Progress - Fall River","","role_based","yes","Multilingual workforce public office","","","","508-676-1916","https://www.mass.gov/locations/ser-jobs-for-progress","https://www.mass.gov/locations/ser-jobs-for-progress","Commonwealth of Massachusetts","SER-Jobs for Progress","2026-08-18","","5","government_page","manual:round13:ser-jobs-for-progress-fall-river:032:2026-08-18","manual","verified"
"AFSCME Council 93","","role_based","yes","Union headquarters public office","","","","617-367-6000","https://afscme93.org/headquarters","https://afscme93.org/headquarters","AFSCME Council 93","Headquarters","2026-08-18","","4","official_union_page","manual:round13:afscme-council-93:033:2026-08-18","manual","verified"
"UNITE HERE Local 26","","role_based","yes","Hospitality union public office","","","","617-832-6699","https://www.local26.org/about/","https://www.local26.org/about/","UNITE HERE Local 26","About Local 26","2026-08-18","","4","official_union_page","manual:round13:unite-here-local-26:034:2026-08-18","manual","verified"
"Boston Carmen's Union Local 589","","role_based","yes","Transit union public office","","","","617-542-8212","https://carmensunion589.org/contact-us/","https://carmensunion589.org/contact-us/","Boston Carmen's Union Local 589","Contact Us","2026-08-18","","4","official_union_page","manual:round13:boston-carmen-s-union-local-589:035:2026-08-18","manual","verified"
"Professional Fire Fighters of Massachusetts","","role_based","yes","Firefighter union public office","","","","617-523-4506","https://www.pffm.org/?page=About&zone=%2Funionactive%2Fview_page.cfm","https://www.pffm.org/?page=About&zone=%2Funionactive%2Fview_page.cfm","Professional Fire Fighters of Massachusetts","About","2026-08-18","","4","official_union_page","manual:round13:professional-fire-fighters-of-massachusetts:036:2026-08-18","manual","verified"
"32BJ SEIU - Boston Office","","role_based","yes","Building-service union public office","","","","617-523-6150","https://www.seiu32bj.org/contact-us/","https://www.seiu32bj.org/contact-us/","32BJ SEIU","Contact Us","2026-08-18","","4","official_union_page","manual:round13:32bj-seiu-boston-office:037:2026-08-18","manual","verified"
"North Atlantic States Regional Council of Carpenters","","role_based","yes","Carpenters union public office","","","contactnasrcc@nasrcc.org","617-268-3400","https://map.carpenters.org/?councils=council-4064","https://map.carpenters.org/?councils=council-4064","United Brotherhood of Carpenters","North Atlantic States Regional Council","2026-08-18","","4","official_union_page","manual:round13:north-atlantic-states-regional-council-of-carpenters:038:2026-08-18","manual","verified"
"SEIU Local 509","","role_based","yes","Human-service and education union public office","","","connect@seiu509.org","774-843-7509","https://www.seiu509.org/contact/","https://www.seiu509.org/contact/","SEIU Local 509","Contact Us","2026-08-18","","4","official_union_page","manual:round13:seiu-local-509:039:2026-08-18","manual","verified"
"IATSE Local 481","","role_based","yes","Motion-picture technicians union public office","","","","781-376-0074","https://www.iatse481.com/our-union/","https://www.iatse481.com/our-union/","IATSE Local 481","Our Union","2026-08-18","","4","official_union_page","manual:round13:iatse-local-481:040:2026-08-18","manual","verified"
