organization_name,contact_name,contact_scope,is_public_professional,role_title,role_date,filing_year,public_email,public_phone,professional_url,source_url,publisher,source_title,retrieval_date,publication_date,source_strength,source_type,raw_source_identifier,extraction_method,validation_status
"Black Economic Council of Massachusetts","","role_based","yes","Black business support public office","","","info@becma.org","857-308-4623","https://becma.org/","https://becma.org/","Black Economic Council of Massachusetts","Home and Contact Information","2026-08-18","","4","official_organization_page","manual:round12:black-economic-council-of-massachusetts:001:2026-08-18","manual","verified"
"Massachusetts LGBT Chamber of Commerce","","role_based","yes","LGBTQ business support public office","","","info@malgbtcc.org","857-529-8010","https://malgbtcc.org/about-us/","https://malgbtcc.org/about-us/","Massachusetts LGBT Chamber of Commerce","About Us","2026-08-18","","4","official_organization_page","manual:round12:massachusetts-lgbt-chamber-of-commerce:002:2026-08-18","manual","verified"
"Rhode Island Black Business Association","","role_based","yes","Black business support public office","","","info@ribba.org","401-383-1179","https://members.ribba.org/contact","https://members.ribba.org/contact","Rhode Island Black Business Association","Contact Us","2026-08-18","","4","official_organization_page","manual:round12:rhode-island-black-business-association:003:2026-08-18","manual","verified"
"CommonWealth Kitchen","","role_based","yes","Food business and workforce public office","","","info@commonwealthkitchen.org","617-522-7900","https://commonwealthkitchen.org/about/contact-us/","https://commonwealthkitchen.org/about/contact-us/","CommonWealth Kitchen","Contact Us","2026-08-18","","4","official_organization_page","manual:round12:commonwealth-kitchen:004:2026-08-18","manual","verified"
"Center for Women & Enterprise - Eastern Massachusetts","","role_based","yes","Women's business support public office","","","","617-536-0700","https://cweonline.org/about-us/contact-us","https://cweonline.org/about-us/contact-us","Center for Women & Enterprise","Contact Us","2026-08-18","","4","official_organization_page","manual:round12:center-for-women-enterprise-eastern-massachusetts:005:2026-08-18","manual","verified"
"Center for Women & Enterprise - Rhode Island","","role_based","yes","Women's business support public office","","","","401-277-0800","https://cweonline.org/about-us/contact-us","https://cweonline.org/about-us/contact-us","Center for Women & Enterprise","Contact Us","2026-08-18","","4","official_organization_page","manual:round12:center-for-women-enterprise-rhode-island:006:2026-08-18","manual","verified"
"Greater New England Minority Supplier Development Council","","role_based","yes","Minority supplier development public office","","","gnemsdc@gnemsdc.org","617-578-8900","https://gnemsdc.org/contact/","https://gnemsdc.org/contact/","Greater New England Minority Supplier Development Council","Contact","2026-08-18","","4","official_organization_page","manual:round12:greater-new-england-minority-supplier-development-council:007:2026-08-18","manual","verified"
"Women's Fund SouthCoast","","role_based","yes","Women's economic justice public office","","","","508-219-6102","https://womensfundsouthcoast.org/","https://womensfundsouthcoast.org/","Women's Fund SouthCoast","Home and Contact Information","2026-08-18","","4","official_organization_page","manual:round12:women-s-fund-southcoast:008:2026-08-18","manual","verified"
"We Are ALX","","role_based","yes","Latino economic mobility public office","","","info@wearealx.org","","https://wearealx.org/","https://wearealx.org/","We Are ALX","Home and Contact Information","2026-08-18","","4","official_organization_page","manual:round12:we-are-alx:009:2026-08-18","manual","verified"
"Asian Community Development Corporation","","role_based","yes","Community development public office","","","","617-482-2380","https://asiancdc.org/directory","https://asiancdc.org/directory","Asian Community Development Corporation","Staff Directory and Contact Information","2026-08-18","","4","official_organization_page","manual:round12:asian-community-development-corporation:010:2026-08-18","manual","verified"
"Cape Verdean Association of Brockton","","role_based","yes","Cape Verdean community services public office","","","info@cvassociation.org","508-559-0056","https://www.cvassociation.org/contact","https://www.cvassociation.org/contact","Cape Verdean Association of Brockton","Contact","2026-08-18","","4","official_organization_page","manual:round12:cape-verdean-association-of-brockton:011:2026-08-18","manual","verified"
