organization_name,contact_name,contact_scope,is_public_professional,role_title,role_date,filing_year,public_email,public_phone,professional_url,source_url,publisher,source_title,retrieval_date,publication_date,source_strength,source_type,raw_source_identifier,extraction_method,validation_status
"Cambodian Mutual Assistance Association of Greater Lowell","","role_based","yes","Public Cambodian community association office","","","info@cmaalowell.org","978-454-6200","https://www.cmaalowell.org/","https://www.cmaalowell.org/","Cambodian Mutual Assistance Association of Greater Lowell","CMAA Lowell","2026-08-18","","4","official_organization_page","manual:round23:cambodian-mutual-assistance-association-greater-lowell:001:2026-08-18","manual","verified"
"Dominican Development Center","","role_based","yes","Public Dominican immigrant workforce and community center contact","","","","","https://dominicandevelopmentcenter.org/about-us","https://dominicandevelopmentcenter.org/about-us","Dominican Development Center","About Us","2026-08-18","","4","official_organization_page","manual:round23:dominican-development-center:001:2026-08-18","manual","verified"
"Congolese Development Center","","role_based","yes","Public Congolese refugee and immigrant service center office","","","","781-593-0100","https://www.mass.gov/info-details/ori-community-partners-directory","https://www.mass.gov/info-details/ori-community-partners-directory","Massachusetts Office for Refugees and Immigrants","ORI Community Partners Directory","2026-08-18","","5","official_government_page","manual:round23:congolese-development-center:001:2026-08-18","manual","verified"
"Bosnian Community Center for Resource Development, Inc.","","role_based","yes","Public Bosnian refugee and immigrant resource center office","","","office@bccrd.org","781-593-0100","https://www.mass.gov/doc/community-partners-directory-0/download","https://www.mass.gov/doc/community-partners-directory-0/download","Massachusetts Office for Refugees and Immigrants","Community Partners Directory","2026-08-18","","5","official_government_document","manual:round23:bosnian-community-center-resource-development:001:2026-08-18","manual","verified"
"New American Association of Massachusetts","","role_based","yes","Public newcomer and refugee service center office","","","info@naamass.org","781-593-0100","https://www.mass.gov/info-details/ori-community-partners-directory","https://www.mass.gov/info-details/ori-community-partners-directory","Massachusetts Office for Refugees and Immigrants","ORI Community Partners Directory","2026-08-18","","5","official_government_page","manual:round23:new-american-association-massachusetts:001:2026-08-18","manual","verified"
"Oasis International","","role_based","yes","Public African immigrant community center office","","","","401-421-1252","https://www.oasisri.org/contact","https://www.oasisri.org/contact","Oasis International","Contact","2026-08-18","","4","official_organization_page","manual:round23:oasis-international:001:2026-08-18","manual","verified"
"Laotian Community Center of Rhode Island, Inc.","","role_based","yes","Public Laotian cultural community center contact","","","","","https://preservation.ri.gov/cultural-heritage/organizations","https://preservation.ri.gov/cultural-heritage/organizations","Rhode Island Historical Preservation and Heritage Commission","Organizations","2026-08-18","","5","official_government_page","manual:round23:laotian-community-center-rhode-island:001:2026-08-18","manual","verified"
"Portuguese National Club","","role_based","yes","Public Portuguese cultural and civic club office","","","portuguesenational@portuguesenational.com","781-344-9890","https://www.portuguesenational.com/contact-us/","https://www.portuguesenational.com/contact-us/","Portuguese National Club","Contact Us","2026-08-18","","4","official_organization_page","manual:round23:portuguese-national-club:001:2026-08-18","manual","verified"
"Dharma Drum Mountain Massachusetts Buddhist Association","","role_based","yes","Public Chan Buddhist center office","","","","781-863-1936","https://www.ddmmba.org/contact-us/?lang=en","https://www.ddmmba.org/contact-us/?lang=en","Dharma Drum Mountain Massachusetts Buddhist Association","Contact Us","2026-08-18","","4","official_organization_page","manual:round23:dharma-drum-mountain-massachusetts:001:2026-08-18","manual","verified"
"Wat Nawamintararachutis","","role_based","yes","Public Thai Buddhist temple office","","","info@watnawamin.org","508-823-1800","https://watnawamin.org/contact/","https://watnawamin.org/contact/","Wat Nawamintararachutis","Contact","2026-08-18","","4","official_organization_page","manual:round23:wat-nawamintararachutis:001:2026-08-18","manual","verified"
