canonical_name,organization_type,industry,union_affiliation,local_number,official_identifier,website,public_phone,public_email,street,city,state,zip,latitude,longitude,estimated_reach,active_status,public_accessibility,active_program,asserted_fields,source_url,publisher,source_title,retrieval_date,publication_date,source_strength,source_type,raw_source_identifier,extraction_method,validation_status
"Urban Perinatal Education Center","maternal_health_education_nonprofit","Culturally responsive perinatal education, doula services, lactation support, and family resources","","","","https://urbanperinatal.org/","401-229-9225","info@urbanperinatal.org","215 Cottage Street","Pawtucket","RI","02860","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://urbanperinatal.org/contact-us","Urban Perinatal Education Center","Contact Us","2026-08-18","","4","official_organization_page","manual:round19:urban-perinatal-education-center:001:2026-08-18","manual","verified"
"Mothers' Milk Bank Northeast","donor_milk_public_health_nonprofit","Donor human milk screening, processing, distribution, lactation education, and family support","","","","https://milkbankne.org/","617-527-6263","info@milkbankne.org","377 Elliot Street","Newton Upper Falls","MA","02464","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://milkbankne.org/","Mothers' Milk Bank Northeast","Donor Breast Milk","2026-08-18","","4","official_organization_page","manual:round19:mothers-milk-bank-northeast:001:2026-08-18","manual","verified"
"Massachusetts WIC Breastfeeding Initiative","public_maternal_infant_health_program","Statewide breastfeeding education, peer counseling, lactation support, and maternal-infant health resources","","","","https://www.mass.gov/breastfeeding-initiative","617-624-6128","","250 Washington Street 6th Floor","Boston","MA","02108","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;street;city;state;zip;active_status;public_accessibility;active_program","https://www.mass.gov/breastfeeding-initiative","Massachusetts Department of Public Health","Breastfeeding Initiative","2026-08-18","","5","official_government_page","manual:round19:massachusetts-wic-breastfeeding-initiative:001:2026-08-18","manual","verified"
"Propa City Community Outreach","pregnancy_infant_loss_support_nonprofit","Pregnancy and infant-loss grief support, community education, remembrance programs, and professional training","","","","https://www.propacityco.org/","617-407-5347","info@propacityco.org","","","","","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;public_email;active_status;public_accessibility;active_program","https://www.propacityco.org/","Propa City Community Outreach","Propa City Community Outreach","2026-08-18","","4","official_organization_page","manual:round19:propa-city-community-outreach:001:2026-08-18","manual","verified"
"Massachusetts Mind the Gap","perinatal_mental_health_policy_coalition","Perinatal mental-health policy, birth-justice advocacy, provider education, and community coalition building","","","","https://massppdfund.org/","617-852-7881","","PO Box 320526","West Roxbury","MA","02132","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;street;city;state;zip;active_status;public_accessibility;active_program","https://massppdfund.org/","Massachusetts Mind the Gap","MASS PPD Fund","2026-08-18","","4","official_organization_page","manual:round19:massachusetts-mind-the-gap:001:2026-08-18","manual","verified"
"AllPaths Family Building","fertility_family_building_support_nonprofit","Fertility, adoption, donor conception, pregnancy-loss, and family-building peer support and advocacy","","","","https://allpathsfb.org/","978-763-6504","admin@allpathsfb.org","300 Baker Avenue Suite 300","Concord","MA","01742","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://allpathsfb.org/","AllPaths Family Building","AllPaths Family Building","2026-08-18","","4","official_organization_page","manual:round19:allpaths-family-building:001:2026-08-18","manual","verified"
"Boston Breastfeeding Coalition","community_lactation_support_coalition","Free lactation warmline, peer counseling, Baby Cafe support, provider resources, and breastfeeding equity advocacy","","","","https://www.vitalvillage.org/","857-301-8259","breastfeedingboston@gmail.com","","Boston","MA","","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;public_email;city;state;active_status;public_accessibility;active_program","https://www.bmc.org/breastfeeding-equity-center/provider-resources","Boston Medical Center","The Breastfeeding and Lactation Medicine Center: Provider Resources","2026-08-18","","5","official_institution_page","manual:round19:boston-breastfeeding-coalition:001:2026-08-18","manual","verified"
"Rhode Island Birth","maternal_health_resource_network","Pregnancy, birth, doula, lactation, postpartum, and pregnancy-loss resource navigation and advocacy","","","","https://rhodeislandbirth.com/","833-743-6852","friendsofdoulareimbursementact@gmail.com","","","RI","","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;public_email;state;active_status;public_accessibility;active_program","https://rhodeislandbirth.com/contact","Rhode Island Birth","Contact Us","2026-08-18","","4","official_organization_page","manual:round19:rhode-island-birth:001:2026-08-18","manual","verified"
"Massachusetts Commission for the Blind","state_blind_services_agency","Blindness rehabilitation, vocational services, independent-living support, orientation, and public information","","","","https://www.mass.gov/orgs/massachusetts-commission-for-the-blind","617-727-5550","mcbinfo@mass.gov","40 Broad Street","Boston","MA","02109","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://www.mass.gov/info-details/mcb-contact-information","Massachusetts Commission for the Blind","MCB Contact Information","2026-08-18","","5","official_government_page","manual:round19:massachusetts-commission-for-the-blind:001:2026-08-18","manual","verified"
"Massachusetts Commission for the Deaf and Hard of Hearing","state_deaf_access_agency","Communication access, interpreting referral, case management, technology support, and Deaf community services","","","","https://www.mass.gov/orgs/massachusetts-commission-for-the-deaf-and-hard-of-hearing","617-740-1600","","40 Broad Street","Boston","MA","02109","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;street;city;state;zip;active_status;public_accessibility;active_program","https://www.mass.gov/orgs/massachusetts-commission-for-the-deaf-and-hard-of-hearing","Massachusetts Commission for the Deaf and Hard of Hearing","Massachusetts Commission for the Deaf and Hard of Hearing","2026-08-18","","5","official_government_page","manual:round19:massachusetts-commission-for-the-deaf-and-hard-of-hearing:001:2026-08-18","manual","verified"
