organization_name,contact_name,contact_scope,is_public_professional,role_title,role_date,filing_year,public_email,public_phone,professional_url,source_url,publisher,source_title,retrieval_date,publication_date,source_strength,source_type,raw_source_identifier,extraction_method,validation_status
"Plymouth Area Coalition for the Homeless","","role_based","yes","Housing and basic-needs public office","","","info@plymouthareacoalition.org","781-582-2010","https://plymouthareacoalition.org/contact/","https://plymouthareacoalition.org/contact/","Plymouth Area Coalition for the Homeless","Contact","2026-08-18","","4","official_organization_page","manual:round15:plymouth-area-coalition-homeless:001:2026-08-18","manual","verified"
"School on Wheels of Massachusetts","","role_based","yes","Education support public office","","","","508-587-9091","https://www.sowma.org/contact/","https://www.sowma.org/contact/","School on Wheels of Massachusetts","Contact Us","2026-08-18","","4","official_organization_page","manual:round15:school-on-wheels-massachusetts:001:2026-08-18","manual","verified"
"Massachusetts Housing & Shelter Alliance","","role_based","yes","Housing policy and provider-network public office","","","info@mhsa.net","617-367-6447","https://mhsa.net/contact-us/","https://mhsa.net/contact-us/","Massachusetts Housing & Shelter Alliance","Contact Us","2026-08-18","","4","official_organization_page","manual:round15:massachusetts-housing-shelter-alliance:001:2026-08-18","manual","verified"
"Housing Families","","role_based","yes","Housing and family-services public office","","","communications@housingfamilies.org","781-322-9119","https://housingfamilies.org/","https://housingfamilies.org/","Housing Families","Home","2026-08-18","","4","official_organization_page","manual:round15:housing-families:001:2026-08-18","manual","verified"
"Rhode Island Coalition to End Homelessness","","role_based","yes","Housing-coalition public office","","","","401-213-5618","https://rihomeless.org/careers/","https://rihomeless.org/careers/","Rhode Island Coalition to End Homelessness","Join the Team and Get in Touch","2026-08-18","","4","official_organization_page","manual:round15:rhode-island-coalition-end-homelessness:001:2026-08-18","manual","verified"
"Crossroads Rhode Island","","role_based","yes","General inquiries office","","","information@crossroadsri.org","401-521-2255","https://www.crossroadsri.org/about/our-work-team/about-us/contact-us","https://www.crossroadsri.org/about/our-work-team/about-us/contact-us","Crossroads Rhode Island","Contact Us","2026-08-18","","4","official_organization_page","manual:round15:crossroads-rhode-island:001:2026-08-18","manual","verified"
"Amos House","","role_based","yes","General inquiries office","","","info@amoshouse.com","401-272-0220","https://amoshouse.com/contact","https://amoshouse.com/contact","Amos House","Contact Us","2026-08-18","","4","official_organization_page","manual:round15:amos-house:001:2026-08-18","manual","verified"
"House of Hope Community Development Corporation","","role_based","yes","Housing and outreach public office","","","info@thehouseofhopecdc.org","401-463-3324","https://thehouseofhopecdc.org/contact-us/","https://thehouseofhopecdc.org/contact-us/","House of Hope Community Development Corporation","Contact Us","2026-08-18","","4","official_organization_page","manual:round15:house-of-hope-cdc:001:2026-08-18","manual","verified"
"NAMI Massachusetts","","role_based","yes","General mental-health information office","","","info@namimass.org","617-580-8541","https://namimass.org/contact-us/","https://namimass.org/contact-us/","NAMI Massachusetts","Contact Us","2026-08-18","","4","official_organization_page","manual:round15:nami-massachusetts:001:2026-08-18","manual","verified"
"NAMI Plymouth Area","","role_based","yes","Local affiliate public office","","","info@namiplymoutharea.org","508-333-6727","https://www.namiplymoutharea.org/","https://namimass.org/local-nami-affiliates/","NAMI Massachusetts","Local NAMI Affiliates in Massachusetts","2026-08-18","","4","official_umbrella_directory","manual:round15:nami-plymouth-area:001:2026-08-18","manual","verified"
"NAMI South Shore","","role_based","yes","Local affiliate and help-line office","","","namisouthshore@gmail.com","617-657-9055","https://www.namisouthshore.org/","https://www.namisouthshore.org/","NAMI South Shore","Support, Education & Advocacy","2026-08-18","","4","official_organization_page","manual:round15:nami-south-shore:001:2026-08-18","manual","verified"
"NAMI Bristol County","","role_based","yes","Local affiliate public office","","","namibristolcounty@comcast.net","508-493-9048","http://www.namibristolcounty.org/","https://namimass.org/local-nami-affiliates/","NAMI Massachusetts","Local NAMI Affiliates in Massachusetts","2026-08-18","","4","official_umbrella_directory","manual:round15:nami-bristol-county:001:2026-08-18","manual","verified"
"Samaritans, Inc.","","role_based","yes","Suicide-prevention organization business office","","","","617-536-2460","https://samaritanshope.org/","https://samaritanshope.org/wp-content/uploads/2025/01/Samaritans-2023-Form-990.pdf","Samaritans, Inc.","Samaritans FY2023 Form 990","2026-08-18","","4","official_organization_filing","manual:round15:samaritans-inc:001:2026-08-18","manual","verified"
"Samaritans Southcoast","","role_based","yes","Suicide-prevention organization business office","","","","508-679-9777","https://www.samaritanssoco.org/","https://www.samaritanssoco.org/","Samaritans Southcoast","Home","2026-08-18","","4","official_organization_page","manual:round15:samaritans-southcoast:001:2026-08-18","manual","verified"
"Mental Health Association of Rhode Island","","role_based","yes","Mental-health advocacy public office","","","info@mhari.org","401-726-2285","https://mhari.org/","https://mhari.org/","Mental Health Association of Rhode Island","Home","2026-08-18","","4","official_organization_page","manual:round15:mental-health-association-rhode-island:001:2026-08-18","manual","verified"
"Oasis Wellness & Recovery Community Center","","role_based","yes","Peer recovery center public line","","","","401-831-6937","https://recoveryfriendly.ri.gov/recovery-resources/recovery-community-centers","https://recoveryfriendly.ri.gov/recovery-resources/recovery-community-centers","Rhode Island Recovery Friendly Workplace Initiative","Recovery Community Centers","2026-08-18","","5","official_government_page","manual:round15:oasis-wellness-recovery:001:2026-08-18","manual","verified"
"Boys & Girls Clubs of Metro South","","role_based","yes","Youth-program public office","","","info@bgcmetrosouth.org","508-812-3119","https://www.bgcmetrosouth.org/contact","https://www.bgcmetrosouth.org/contact","Boys & Girls Clubs of Metro South","Contact Us","2026-08-18","","4","official_organization_page","manual:round15:boys-girls-clubs-metro-south:001:2026-08-18","manual","verified"
"Boys & Girls Club of Marshfield","","role_based","yes","Youth-program public office","","","","781-834-2582","https://www.bgcmarshfield.org/contact","https://www.bgcmarshfield.org/contact","Boys & Girls Club of Marshfield","Contact Us","2026-08-18","","4","official_organization_page","manual:round15:boys-girls-club-marshfield:001:2026-08-18","manual","verified"
"Boys & Girls Club of Plymouth","","role_based","yes","Youth-program public office","","","info@bgcplymouth.org","508-746-6070","https://www.bgcplymouth.org/","https://www.bgcplymouth.org/","Boys & Girls Club of Plymouth","Home","2026-08-18","","4","official_organization_page","manual:round15:boys-girls-club-plymouth:001:2026-08-18","manual","verified"
