canonical_name,organization_type,industry,union_affiliation,local_number,official_identifier,website,public_phone,public_email,street,city,state,zip,latitude,longitude,estimated_reach,active_status,public_accessibility,active_program,asserted_fields,source_url,publisher,source_title,retrieval_date,publication_date,source_strength,source_type,raw_source_identifier,extraction_method,validation_status
"Taiwanese Association of America Boston","taiwanese_american_cultural_association","Taiwanese-American cultural connection, community events, and heritage programming","","","","https://www.taa-usa.org/recipes/taiwanese-association-of-america-boston","","taa.boston1@gmail.com","","Boston","MA","","","","","active","1","1","canonical_name;organization_type;industry;website;public_email;city;state;active_status;public_accessibility;active_program","https://www.taa-usa.org/recipes/taiwanese-association-of-america-boston","Taiwanese Association of America","Taiwanese Association of America Boston","2026-08-18","2025-03-11","4","official_organization_page","manual:round22:taiwanese-association-of-america-boston:001:2026-08-18","manual","verified"
"New England Teochew Association","teochew_chinese_cultural_association","Teochew cultural preservation, community connection, and public cultural programming","","","","https://www.tcaone.com/en","617-426-5508","teochewassociation8@gmail.com","9 Knapp Street #3","Boston","MA","02111","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://www.tcaone.com/en","New England Teochew Association","Our Services","2026-08-18","","4","official_organization_page","manual:round22:new-england-teochew-association:001:2026-08-18","manual","verified"
"American Lebanese Chamber of Commerce of New England","lebanese_american_business_association","Lebanese-American business networking, professional connection, and community development","","","","https://www.alccne.org/","","team@alccne.org","665 Washington Street","Boston","MA","02111","","","","active","1","1","canonical_name;organization_type;industry;website;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://www.alccne.org/contact-us","American Lebanese Chamber of Commerce of New England","Contact Us","2026-08-18","","4","official_organization_page","manual:round22:american-lebanese-chamber-of-commerce-of-new-england:001:2026-08-18","manual","verified"
"Lebanon American Society","lebanese_american_cultural_society","Lebanese-American cultural heritage, charitable activity, scholarships, and community events","","","","https://www.lebanonamericansociety.com/","","","","Fall River","MA","","","","","active","1","1","canonical_name;organization_type;industry;website;city;state;active_status;public_accessibility;active_program","https://www.lebanonamericansociety.com/","Lebanon American Society","Celebrating Cultural Diversity","2026-08-18","","4","official_organization_page","manual:round22:lebanon-american-society:001:2026-08-18","manual","verified"
"New England Community Center","brazilian_immigrant_community_center","Brazilian immigrant and newcomer community connection, education, and family support","","","","https://www.newenglandcommunitycenter.com/","781-436-3190","","2 Canton Street Unit 115","Stoughton","MA","02072","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;street;city;state;zip;active_status;public_accessibility;active_program","https://www.newenglandcommunitycenter.com/home","New England Community Center","Home","2026-08-18","","4","official_organization_page","manual:round22:new-england-community-center:001:2026-08-18","manual","verified"
"Puerto Rican Institute for the Arts and Advocacy, Inc.","puerto_rican_arts_advocacy_nonprofit","Puerto Rican and Latin American arts, cultural heritage, education, and advocacy","","","","https://www.priaa-ri.org/","","","1005 Main Street Suite 2228","Pawtucket","RI","02860","","","","active","1","1","canonical_name;organization_type;industry;website;street;city;state;zip;active_status;public_accessibility;active_program","https://www.priaa-ri.org/history","Puerto Rican Institute for the Arts and Advocacy, Inc.","Our History","2026-08-18","","4","official_organization_page","manual:round22:puerto-rican-institute-for-the-arts-and-advocacy:001:2026-08-18","manual","verified"
"Guatemalan Center of New England","guatemalan_immigrant_community_center","Guatemalan immigrant community services, cultural connection, education, and advocacy","","","","https://www.guatemalancenter.org/","401-238-6149","hello@guatemalancenter.org","50 Sims Avenue Suite 218","Providence","RI","02909","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://www.guatemalancenter.org/contact","Guatemalan Center of New England","Contact","2026-08-18","","4","official_organization_page","manual:round22:guatemalan-center-of-new-england:001:2026-08-18","manual","verified"
"Korean-American Association of Rhode Island","korean_american_cultural_association","Korean-American cultural connection, community events, and heritage programming","","","","https://rikorean.org/english","","info@rikorean.org","1140 Park Avenue","Cranston","RI","02910","","","","active","1","1","canonical_name;organization_type;industry;website;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://rikorean.org/english","Korean-American Association of Rhode Island","Home","2026-08-18","","4","official_organization_page","manual:round22:korean-american-association-of-rhode-island:001:2026-08-18","manual","verified"
"Greater Boston Interfaith Organization","interfaith_community_organizing_network","Interfaith community organizing, civic leadership, advocacy, and congregational collaboration","","","","https://www.gbio.org/","","info@gbio.org","1803 Dorchester Avenue","Dorchester","MA","02124","","","","active","1","1","canonical_name;organization_type;industry;website;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://www.gbio.org/about","Greater Boston Interfaith Organization","About GBIO","2026-08-18","","4","official_organization_page","manual:round22:greater-boston-interfaith-organization:001:2026-08-18","manual","verified"
"Massachusetts Council of Churches","ecumenical_church_council","Ecumenical Christian collaboration, public witness, education, and congregational connection","","","","https://www.masscouncilofchurches.org/","","council@masscouncilofchurches.org","138 Tremont Street","Boston","MA","02111","","","","active","1","1","canonical_name;organization_type;industry;website;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://www.masscouncilofchurches.org/mission","Massachusetts Council of Churches","Mission","2026-08-18","","4","official_organization_page","manual:round22:massachusetts-council-of-churches:001:2026-08-18","manual","verified"
