organization_name,contact_name,contact_scope,is_public_professional,role_title,role_date,filing_year,public_email,public_phone,professional_url,source_url,publisher,source_title,retrieval_date,publication_date,source_strength,source_type,raw_source_identifier,extraction_method,validation_status
"Fair Housing Center of Greater Boston","","role_based","yes","Public fair housing advocacy office","","","info@bostonfairhousing.org","617-399-0491","https://www.bostonfairhousing.org/files/docs/SomaliNational.pdf","https://www.bostonfairhousing.org/files/docs/SomaliNational.pdf","Fair Housing Center of Greater Boston","Somali National Origin Fair Housing Guide","2026-08-18","","4","official_organization_document","manual:round21:fair-housing-center-of-greater-boston:001:2026-08-18","manual","verified"
"Citizens' Housing and Planning Association","","role_based","yes","Public affordable housing policy office","","","","617-742-0820","https://chapa.org/ways-to-engage/contact/","https://chapa.org/ways-to-engage/contact/","Citizens' Housing and Planning Association","Contact Us","2026-08-18","","4","official_organization_page","manual:round21:citizens-housing-and-planning-association:001:2026-08-18","manual","verified"
"HousingWorks RI","","role_based","yes","Public Rhode Island housing research office","","","hwri@rwu.edu","401-276-4806","https://www.housingworksri.org/about/contact-us","https://www.housingworksri.org/about/contact-us","HousingWorks RI at Roger Williams University","Contact Us","2026-08-18","","5","official_institution_page","manual:round21:housingworks-ri:001:2026-08-18","manual","verified"
"FamilyAid","","role_based","yes","Public family homelessness services office","","","info@familyaidboston.org","617-542-7286","https://familyaidboston.org/about-us/","https://familyaidboston.org/about-us/","FamilyAid","About Us","2026-08-18","","4","official_organization_page","manual:round21:familyaid:001:2026-08-18","manual","verified"
"Pine Street Inn","","role_based","yes","Public homelessness housing and outreach office","","","info@pinestreetinn.org","617-892-9100","https://www.pinestreetinn.org/about-us/contact-us/","https://www.pinestreetinn.org/about-us/contact-us/","Pine Street Inn","Contact Us","2026-08-18","","4","official_organization_page","manual:round21:pine-street-inn:001:2026-08-18","manual","verified"
"Heading Home","","role_based","yes","Public homelessness prevention office","","","info@headinghomeinc.org","617-864-8140","https://headinghomeinc.org/","https://headinghomeinc.org/","Heading Home","Preventing & Ending Homelessness in Greater Boston","2026-08-18","","4","official_organization_page","manual:round21:heading-home:001:2026-08-18","manual","verified"
"Bridge Over Troubled Waters","","role_based","yes","Public youth homelessness services office","","","bridge@bridgeotw.org","617-423-9575","https://bridgeotw.org/get-help/","https://bridgeotw.org/get-help/","Bridge Over Troubled Waters","Get Help","2026-08-18","","4","official_organization_page","manual:round21:bridge-over-troubled-waters:001:2026-08-18","manual","verified"
"Boston Health Care for the Homeless Program","","role_based","yes","Public homeless health care program office","","","info@bhchp.org","857-654-1000","https://www.bhchp.org/contact/","https://www.bhchp.org/contact/","Boston Health Care for the Homeless Program","Contact","2026-08-18","","4","official_organization_page","manual:round21:boston-health-care-for-the-homeless-program:001:2026-08-18","manual","verified"
"Ukrainian Cultural Center of New England","","role_based","yes","Public Ukrainian cultural community contact","","","","","https://www.uccn.org/donate/","https://www.uccn.org/donate/","Ukrainian Cultural Center of New England","Donate to UCCN","2026-08-18","","4","official_organization_page","manual:round21:ukrainian-cultural-center-of-new-england:001:2026-08-18","manual","verified"
"Irish Cultural Centre of Greater Boston","","role_based","yes","Public Irish cultural center office","","","info@irishculture.org","781-821-8291","https://www.irishculture.org/about-us/staff/","https://www.irishculture.org/about-us/staff/","Irish Cultural Centre of Greater Boston","Staff","2026-08-18","","4","official_organization_page","manual:round21:irish-cultural-centre-of-greater-boston:001:2026-08-18","manual","verified"
"Scandinavian Cultural Center & Library","","role_based","yes","Public Scandinavian cultural center office","","","","617-795-1914","https://scandicenter.org/","https://scandicenter.org/","Scandinavian Cultural Center & Library","Scandinavian Cultural Center & Library","2026-08-18","","4","official_organization_page","manual:round21:scandinavian-cultural-center-and-library:001:2026-08-18","manual","verified"
"Maliotis Cultural Center","","role_based","yes","Public Hellenic cultural center inbox","","","maliotis@hchc.edu","","https://maliotis.hchc.edu/visit-us/","https://maliotis.hchc.edu/visit-us/","Maliotis Cultural Center / Hellenic College Holy Cross","Visit Us","2026-08-18","","5","official_institution_page","manual:round21:maliotis-cultural-center:001:2026-08-18","manual","verified"
"South Boston Lithuanian Citizens' Association","","role_based","yes","Public Lithuanian cultural association office","","","info@sblca.org","617-268-9058","https://www.sblca.org/","https://www.sblca.org/","South Boston Lithuanian Citizens' Association","South Boston Lithuanian Citizens' Association","2026-08-18","","4","official_organization_page","manual:round21:south-boston-lithuanian-citizens-association:001:2026-08-18","manual","verified"
"Czech and Slovak Association, Inc.","","role_based","yes","Public Czech and Slovak cultural association office","","","","617-567-2437","https://www.czskboston.org/","https://www.czskboston.org/","Czech and Slovak Association, Inc.","Czech and Slovak Association","2026-08-18","","4","official_organization_page","manual:round21:czech-and-slovak-association:001:2026-08-18","manual","verified"
