canonical_name,organization_type,industry,union_affiliation,local_number,official_identifier,website,public_phone,public_email,street,city,state,zip,latitude,longitude,estimated_reach,active_status,public_accessibility,active_program,asserted_fields,source_url,publisher,source_title,retrieval_date,publication_date,source_strength,source_type,raw_source_identifier,extraction_method,validation_status
"Cambodian Mutual Assistance Association of Greater Lowell","cambodian_refugee_mutual_assistance_association","Cambodian refugee and immigrant family support, youth services, civic engagement, and cultural programming","","","","https://www.cmaalowell.org/","978-454-6200","info@cmaalowell.org","465 School Street","Lowell","MA","01851","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://www.cmaalowell.org/","Cambodian Mutual Assistance Association of Greater Lowell","CMAA Lowell","2026-08-18","","4","official_organization_page","manual:round23:cambodian-mutual-assistance-association-greater-lowell:001:2026-08-18","manual","verified"
"Dominican Development Center","dominican_immigrant_workforce_development_center","Dominican immigrant education, workforce training, workers' rights, and community development","","","","https://dominicandevelopmentcenter.org/","","","","Boston","MA","","","","","active","1","1","canonical_name;organization_type;industry;website;city;state;active_status;public_accessibility;active_program","https://dominicandevelopmentcenter.org/about-us","Dominican Development Center","About Us","2026-08-18","","4","official_organization_page","manual:round23:dominican-development-center:001:2026-08-18","manual","verified"
"Congolese Development Center","congolese_refugee_immigrant_service_center","Culturally and linguistically responsive refugee health, elder, social, and community services","","","","https://www.cd-c.org/","781-593-0100","","330 Lynnway Suite 304","Lynn","MA","01901","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;street;city;state;zip;active_status;public_accessibility;active_program","https://www.mass.gov/info-details/ori-community-partners-directory","Massachusetts Office for Refugees and Immigrants","ORI Community Partners Directory","2026-08-18","","5","official_government_page","manual:round23:congolese-development-center:001:2026-08-18","manual","verified"
"Bosnian Community Center for Resource Development, Inc.","bosnian_refugee_immigrant_resource_center","Refugee and immigrant social services, citizenship support, employment training, and multicultural programming","","","","https://www.bccrd.org/","781-593-0100","office@bccrd.org","330 Lynnway Suite 392","Lynn","MA","01901","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://www.mass.gov/doc/community-partners-directory-0/download","Massachusetts Office for Refugees and Immigrants","Community Partners Directory","2026-08-18","","5","official_government_document","manual:round23:bosnian-community-center-resource-development:001:2026-08-18","manual","verified"
"New American Association of Massachusetts","newcomer_refugee_immigrant_service_center","Refugee and immigrant English, employment, legal, youth, vocational, and trauma-informed services","","","","https://naamass.org/","781-593-0100","info@naamass.org","330 Lynnway Suite 302","Lynn","MA","01901","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://www.mass.gov/info-details/ori-community-partners-directory","Massachusetts Office for Refugees and Immigrants","ORI Community Partners Directory","2026-08-18","","5","official_government_page","manual:round23:new-american-association-massachusetts:001:2026-08-18","manual","verified"
"Oasis International","african_immigrant_community_center","African immigrant community, youth, health, cultural, economic-literacy, and civic programs","","","","https://www.oasisri.org/","401-421-1252","","600 Broad Street","Providence","RI","02907","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;street;city;state;zip;active_status;public_accessibility;active_program","https://www.oasisri.org/contact","Oasis International","Contact","2026-08-18","","4","official_organization_page","manual:round23:oasis-international:001:2026-08-18","manual","verified"
"Laotian Community Center of Rhode Island, Inc.","laotian_cultural_community_center","Laotian arts, cultural preservation, youth development, and community engagement","","","","https://preservation.ri.gov/cultural-heritage/organizations","","","","","RI","","","","","active","1","1","canonical_name;organization_type;industry;website;state;active_status;public_accessibility;active_program","https://preservation.ri.gov/cultural-heritage/organizations","Rhode Island Historical Preservation and Heritage Commission","Organizations","2026-08-18","","5","official_government_page","manual:round23:laotian-community-center-rhode-island:001:2026-08-18","manual","verified"
"Portuguese National Club","portuguese_cultural_civic_club","Portuguese cultural heritage, educational, social, athletic, civic, and scholarship activities","","","","https://www.portuguesenational.com/","781-344-9890","portuguesenational@portuguesenational.com","21 Railroad Avenue","Stoughton","MA","02072","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://www.portuguesenational.com/contact-us/","Portuguese National Club","Contact Us","2026-08-18","","4","official_organization_page","manual:round23:portuguese-national-club:001:2026-08-18","manual","verified"
"Dharma Drum Mountain Massachusetts Buddhist Association","chinese_chan_buddhist_cultural_center","Chan Buddhist practice, public worship, meditation, education, and community programming","","","","https://www.ddmmba.org/","781-863-1936","","319 Lowell Street","Lexington","MA","02420","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;street;city;state;zip;active_status;public_accessibility;active_program","https://www.ddmmba.org/contact-us/?lang=en","Dharma Drum Mountain Massachusetts Buddhist Association","Contact Us","2026-08-18","","4","official_organization_page","manual:round23:dharma-drum-mountain-massachusetts:001:2026-08-18","manual","verified"
"Wat Nawamintararachutis","thai_buddhist_cultural_center","Thai Buddhist worship, meditation, language, arts, cultural education, and public programs","","","","https://watnawamin.org/","508-823-1800","info@watnawamin.org","382 South Street East","Raynham","MA","02767","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://watnawamin.org/contact/","Wat Nawamintararachutis","Contact","2026-08-18","","4","official_organization_page","manual:round23:wat-nawamintararachutis:001:2026-08-18","manual","verified"
