canonical_name,organization_type,industry,union_affiliation,local_number,official_identifier,website,public_phone,public_email,street,city,state,zip,latitude,longitude,estimated_reach,active_status,public_accessibility,active_program,asserted_fields,source_url,publisher,source_title,retrieval_date,publication_date,source_strength,source_type,raw_source_identifier,extraction_method,validation_status
"Metro South Chamber of Commerce","business_association","Regional business association","","","","https://metrosouthchamber.com/","508-586-0500","info@metrosouthchamber.com","60 School Street","Brockton","MA","02301","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://metrosouthchamber.com/about-the-chamber/contact/","Metro South Chamber of Commerce","Contact","2026-08-17","","4","official_organization_page","manual:round10:metro-south-chamber-of-commerce:001:2026-08-17","manual","verified"
"Bridgewater Business Association","business_association","Local business association","","","","https://bridgewaterbiz.biz/","508-326-1867","","PO Box 19","Bridgewater","MA","02324","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;street;city;state;zip;active_status;public_accessibility;active_program","https://metrosouthchamber.com/about-the-chamber/affiliates/","Metro South Chamber of Commerce","Chamber Affiliates","2026-08-17","","4","official_organization_page","manual:round10:bridgewater-business-association:002:2026-08-17","manual","verified"
"East Bridgewater Business Association","business_association","Local business association","","","","https://www.jointheebba.com/","508-521-9350","info@jointheebba.com","PO Box 25","East Bridgewater","MA","02333","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://www.jointheebba.com/events","East Bridgewater Business Association","Events and Contact Information","2026-08-17","","4","official_organization_page","manual:round10:east-bridgewater-business-association:003:2026-08-17","manual","verified"
"Easton Chamber of Commerce","business_association","Local business association","","","","https://www.easton-chamber.com/","508-238-2225","info@easton-chamber.com","50 Main Street Building 9","North Easton","MA","02356","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://www.easton-chamber.com/about-us","Easton Chamber of Commerce","About Us","2026-08-17","","4","official_organization_page","manual:round10:easton-chamber-of-commerce:004:2026-08-17","manual","verified"
"Norwell Chamber of Commerce","business_association","Local business association","","","","https://norwellchamberofcommerce.com/","781-763-7500","","PO Box 322","Norwell","MA","02061","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;street;city;state;zip;active_status;public_accessibility;active_program","https://metrosouthchamber.com/about-the-chamber/affiliates/","Metro South Chamber of Commerce","Chamber Affiliates","2026-08-17","","4","official_organization_page","manual:round10:norwell-chamber-of-commerce:005:2026-08-17","manual","verified"
"Avon Industrial Park Association","business_association","Industrial park business association","","","","https://avonindustrialpark.org/","508-586-0900","","145 Bodwell Street","Avon","MA","02322","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;street;city;state;zip;active_status;public_accessibility;active_program","https://metrosouthchamber.com/about-the-chamber/affiliates/","Metro South Chamber of Commerce","Chamber Affiliates","2026-08-17","","4","official_organization_page","manual:round10:avon-industrial-park-association:006:2026-08-17","manual","verified"
"South Shore Women's Business Network","business_association","Regional business network","","","","https://sswbn.org/","","info@sswbn.org","PO Box 1390","Plymouth","MA","02362","","","","active","1","1","canonical_name;organization_type;industry;website;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://sswbn.org/contact-us/","South Shore Women's Business Network","Contact Us","2026-08-17","","4","official_organization_page","manual:round10:south-shore-women-s-business-network:007:2026-08-17","manual","verified"
"Pembroke Chamber of Commerce","business_association","Local business association","","","","https://pembrokechamber.org/","","pembrokechamberofcommerce@gmail.com","PO Box 843","Pembroke","MA","02359","","","","active","1","1","canonical_name;organization_type;industry;website;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://pembrokechamber.org/","Pembroke Chamber of Commerce","Home","2026-08-17","","4","official_organization_page","manual:round10:pembroke-chamber-of-commerce:008:2026-08-17","manual","verified"
"Hanover Chamber of Commerce","business_association","Local business association","","","","https://www.hanovermachamber.com/","","chamber@hanovermachamber.com","PO Box 68","Hanover","MA","02339","","","","active","1","1","canonical_name;organization_type;industry;website;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://www.hanovermachamber.com/","Hanover Chamber of Commerce","Home","2026-08-17","","4","official_organization_page","manual:round10:hanover-chamber-of-commerce:009:2026-08-17","manual","verified"
"Plymouth Area Chamber of Commerce","business_association","Regional business association","","","","https://www.plymouthchamber.com/","508-830-1620","info@plymouthchamber.com","100 Armstrong Road Suite 204","Plymouth","MA","02360","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://www.plymouthchamber.com/contact","Plymouth Area Chamber of Commerce","Contact","2026-08-17","","4","official_organization_page","manual:round10:plymouth-area-chamber-of-commerce:010:2026-08-17","manual","verified"
"One SouthCoast Chamber","business_association","Regional business association","","","","https://onesouthcoast.com/","508-676-8226","info@onesouthcoast.com","200 Pocasset Street","Fall River","MA","02721","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://onesouthcoast.com/contact-us/","One SouthCoast Chamber","Contact Us","2026-08-17","","4","official_organization_page","manual:round10:one-southcoast-chamber:011:2026-08-17","manual","verified"
"South Shore Chamber of Commerce","business_association","Regional business association","","","","https://www.southshorechamber.org/","781-421-3900","info@southshorechamber.org","4 Pond Park Road Suite 101","Hingham","MA","02043","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://www.southshorechamber.org/","South Shore Chamber of Commerce","Home","2026-08-17","","4","official_organization_page","manual:round10:south-shore-chamber-of-commerce:012:2026-08-17","manual","verified"
"Cranberry Country Chamber of Commerce","business_association","Regional business association","","","","https://cranberrycountry.org/","508-947-1499","","9 Clayton Road","Middleborough","MA","02346","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;street;city;state;zip;active_status;public_accessibility;active_program","https://cranberrycountry.org/staff/","Cranberry Country Chamber of Commerce","Chamber Staff","2026-08-17","","4","official_organization_page","manual:round10:cranberry-country-chamber-of-commerce:013:2026-08-17","manual","verified"
"Tri-Town Chamber of Commerce","business_association","Regional business association","","","","https://www.tri-townchamber.org/","508-339-5655","office@tri-townchamber.org","280 School Street Building L100","Mansfield","MA","02048","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://www.tri-townchamber.org/contact","Tri-Town Chamber of Commerce","Contact","2026-08-17","","4","official_organization_page","manual:round10:tri-town-chamber-of-commerce:014:2026-08-17","manual","verified"
"United Regional Chamber of Commerce","business_association","Regional business association","","","","https://unitedregionalchamber.org/","508-316-0861","","715 East Washington Street","North Attleborough","MA","02760","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;street;city;state;zip;active_status;public_accessibility;active_program","https://unitedregionalchamber.org/contact/","United Regional Chamber of Commerce","Contact Us","2026-08-17","","4","official_organization_page","manual:round10:united-regional-chamber-of-commerce:015:2026-08-17","manual","verified"
"Neponset River Regional Chamber","business_association","Regional business association","","","","https://www.nrrchamber.com/","781-769-1126","info@nrrchamber.com","83 Morse Street Suite 6","Norwood","MA","02062","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://www.nrrchamber.com/","Neponset River Regional Chamber","Home","2026-08-17","","4","official_organization_page","manual:round10:neponset-river-regional-chamber:016:2026-08-17","manual","verified"
