organization_name,contact_name,contact_scope,is_public_professional,role_title,role_date,filing_year,public_email,public_phone,professional_url,source_url,publisher,source_title,retrieval_date,publication_date,source_strength,source_type,raw_source_identifier,extraction_method,validation_status
"Association for Autism and Neurodiversity","","role_based","yes","Public autism and neurodiversity support office","","","","617-393-3824","https://aane.org/about-us/about-aane-5/","https://aane.org/about-us/about-aane-5/","Association for Autism and Neurodiversity","About AANE","2026-08-18","","4","official_organization_page","manual:round20:association-for-autism-and-neurodiversity:001:2026-08-18","manual","verified"
"Doug Flutie Jr. Foundation for Autism","","role_based","yes","Public autism family-support foundation contact","","","","","https://flutiefoundation.org/contact-us/","https://flutiefoundation.org/contact-us/","Doug Flutie Jr. Foundation for Autism","Contact Us","2026-08-18","","4","official_organization_page","manual:round20:doug-flutie-jr-foundation-for-autism:001:2026-08-18","manual","verified"
"Spina Bifida Association of Greater New England","","role_based","yes","Public spina bifida support office","","","","888-479-1900","https://sbagreaterne.org/","https://sbagreaterne.org/","Spina Bifida Association of Greater New England","Spina Bifida Association of Greater New England","2026-08-18","","4","official_organization_page","manual:round20:spina-bifida-association-of-greater-new-england:001:2026-08-18","manual","verified"
"United Cerebral Palsy of MetroBoston","","role_based","yes","Public disability support and program office","","","ucpboston@ucpboston.org","617-926-5480","https://www.ucpboston.org/","https://www.ucpboston.org/","United Cerebral Palsy of MetroBoston","Life without limits for people with disabilities","2026-08-18","","4","official_organization_page","manual:round20:united-cerebral-palsy-of-metroboston:001:2026-08-18","manual","verified"
"SCIboston","","role_based","yes","Public spinal cord injury chapter office","","","info@sciboston.org","617-952-5643","https://unitedspinal.org/chapter/sciboston/","https://unitedspinal.org/chapter/sciboston/","United Spinal Association","SCIboston","2026-08-18","","4","official_organization_page","manual:round20:sciboston:001:2026-08-18","manual","verified"
"Massachusetts Advocates Standing Strong","","role_based","yes","Public statewide disability self-advocacy office","","","info@wearemass.org","857-360-0134","https://standingstronger.squarespace.com/contact","https://standingstronger.squarespace.com/contact","Massachusetts Advocates Standing Strong","Contact","2026-08-18","","4","official_organization_page","manual:round20:massachusetts-advocates-standing-strong:001:2026-08-18","manual","verified"
"Massachusetts Developmental Disabilities Council","","role_based","yes","Public developmental-disability council inbox","","","MassDDC@Mass.gov","617-770-7676","https://www.mass.gov/orgs/massachusetts-developmental-disabilities-council","https://www.mass.gov/orgs/massachusetts-developmental-disabilities-council","Massachusetts Developmental Disabilities Council","Massachusetts Developmental Disabilities Council","2026-08-18","","5","official_government_page","manual:round20:massachusetts-developmental-disabilities-council:001:2026-08-18","manual","verified"
"Massachusetts Office on Disability","","role_based","yes","Public disability rights and access information office","","","","617-727-7440","https://www.mass.gov/info-details/about-the-massachusetts-office-on-disability-mod","https://www.mass.gov/info-details/about-the-massachusetts-office-on-disability-mod","Massachusetts Office on Disability","About the Massachusetts Office on Disability (MOD)","2026-08-18","","5","official_government_page","manual:round20:massachusetts-office-on-disability:001:2026-08-18","manual","verified"
"Fathers' UpLift","","role_based","yes","Public fatherhood and family-services office","","","","617-708-0870","https://www.fathersuplift.org/contact/","https://www.fathersuplift.org/contact/","Fathers' UpLift","Get in Touch","2026-08-18","","4","official_organization_page","manual:round20:fathers-uplift:001:2026-08-18","manual","verified"
"The Fatherhood Project","","role_based","yes","Public fatherhood education program","","","connect@thefatherhoodproject.org","617-724-2044","https://thefatherhoodproject.org/contact-us/","https://thefatherhoodproject.org/contact-us/","The Fatherhood Project","Contact Us","2026-08-18","","4","official_organization_page","manual:round20:the-fatherhood-project:001:2026-08-18","manual","verified"
