canonical_name,organization_type,industry,union_affiliation,local_number,official_identifier,website,public_phone,public_email,street,city,state,zip,latitude,longitude,estimated_reach,active_status,public_accessibility,active_program,asserted_fields,source_url,publisher,source_title,retrieval_date,publication_date,source_strength,source_type,raw_source_identifier,extraction_method,validation_status
"Association for Autism and Neurodiversity","neurodiversity_support_nonprofit","Autism and neurodiversity support groups, education, training, coaching, and community resources","","","","https://aane.org/","617-393-3824","","85 Main Street Suite 3","Watertown","MA","02472","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;street;city;state;zip;active_status;public_accessibility;active_program","https://aane.org/about-us/about-aane-5/","Association for Autism and Neurodiversity","About AANE","2026-08-18","","4","official_organization_page","manual:round20:association-for-autism-and-neurodiversity:001:2026-08-18","manual","verified"
"Doug Flutie Jr. Foundation for Autism","autism_family_support_foundation","Direct assistance, technology, recreation, employment, and family support for people and families affected by autism","","","","https://flutiefoundation.org/","","","42 Felton Street Unit 3R","Waltham","MA","02453","","","","active","1","1","canonical_name;organization_type;industry;website;street;city;state;zip;active_status;public_accessibility;active_program","https://flutiefoundation.org/contact-us/","Doug Flutie Jr. Foundation for Autism","Contact Us","2026-08-18","","4","official_organization_page","manual:round20:doug-flutie-jr-foundation-for-autism:001:2026-08-18","manual","verified"
"Spina Bifida Association of Greater New England","spina_bifida_support_nonprofit","Spina bifida education, family support, advocacy, recreation, and community connection across New England","","","","https://sbagreaterne.org/","888-479-1900","","PO Box 681","Natick","MA","01760","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;street;city;state;zip;active_status;public_accessibility;active_program","https://sbagreaterne.org/","Spina Bifida Association of Greater New England","Spina Bifida Association of Greater New England","2026-08-18","","4","official_organization_page","manual:round20:spina-bifida-association-of-greater-new-england:001:2026-08-18","manual","verified"
"United Cerebral Palsy of MetroBoston","cerebral_palsy_disability_support_nonprofit","Residential, day, community, family-assistance, and independent-living services for people with disabilities","","","","https://www.ucpboston.org/","617-926-5480","ucpboston@ucpboston.org","71 Arsenal Street","Watertown","MA","02472","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://www.ucpboston.org/","United Cerebral Palsy of MetroBoston","Life without limits for people with disabilities","2026-08-18","","4","official_organization_page","manual:round20:united-cerebral-palsy-of-metroboston:001:2026-08-18","manual","verified"
"SCIboston","spinal_cord_injury_support_nonprofit","Peer support, education, advocacy, and community resources for people affected by spinal cord injury or disorder","","","","https://sciboston.org/","617-952-5643","info@sciboston.org","2 Rehabilitation Way","Woburn","MA","","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;public_email;street;city;state;active_status;public_accessibility;active_program","https://unitedspinal.org/chapter/sciboston/","United Spinal Association","SCIboston","2026-08-18","","4","official_organization_page","manual:round20:sciboston:001:2026-08-18","manual","verified"
"Massachusetts Advocates Standing Strong","self_advocacy_disability_nonprofit","Statewide self-advocacy, leadership development, peer education, and civic participation for people with intellectual and developmental disabilities","","","","https://www.wearemass.org/","857-360-0134","info@wearemass.org","PO Box 560100","Medford","MA","02156","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://standingstronger.squarespace.com/contact","Massachusetts Advocates Standing Strong","Contact","2026-08-18","","4","official_organization_page","manual:round20:massachusetts-advocates-standing-strong:001:2026-08-18","manual","verified"
"Massachusetts Developmental Disabilities Council","state_developmental_disability_council","Statewide disability policy, advocacy, inclusion, leadership, and community capacity building","","","","https://www.mass.gov/orgs/massachusetts-developmental-disabilities-council","617-770-7676","MassDDC@Mass.gov","108 Myrtle Street Suite 202","Quincy","MA","02171","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://www.mass.gov/orgs/massachusetts-developmental-disabilities-council","Massachusetts Developmental Disabilities Council","Massachusetts Developmental Disabilities Council","2026-08-18","","5","official_government_page","manual:round20:massachusetts-developmental-disabilities-council:001:2026-08-18","manual","verified"
"Massachusetts Office on Disability","state_disability_rights_access_agency","Disability rights information, accessibility guidance, training, and state-government access services","","","","https://www.mass.gov/orgs/massachusetts-office-on-disability","617-727-7440","","1 Ashburton Place Room 1305","Boston","MA","02108","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;street;city;state;zip;active_status;public_accessibility;active_program","https://www.mass.gov/info-details/about-the-massachusetts-office-on-disability-mod","Massachusetts Office on Disability","About the Massachusetts Office on Disability (MOD)","2026-08-18","","5","official_government_page","manual:round20:massachusetts-office-on-disability:001:2026-08-18","manual","verified"
"Fathers' UpLift","fatherhood_family_support_nonprofit","Fatherhood coaching, mental-health support, family stabilization, and community education","","","","https://www.fathersuplift.org/","617-708-0870","","12 Southern Avenue","Dorchester","MA","02124","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;street;city;state;zip;active_status;public_accessibility;active_program","https://www.fathersuplift.org/contact/","Fathers' UpLift","Get in Touch","2026-08-18","","4","official_organization_page","manual:round20:fathers-uplift:001:2026-08-18","manual","verified"
"The Fatherhood Project","fatherhood_education_program","Father engagement research, education, training, and resources for families and professionals","","","","https://thefatherhoodproject.org/","617-724-2044","connect@thefatherhoodproject.org","15 Parkman Street Wang 815","Boston","MA","02114","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://thefatherhoodproject.org/contact-us/","The Fatherhood Project","Contact Us","2026-08-18","","4","official_organization_page","manual:round20:the-fatherhood-project:001:2026-08-18","manual","verified"
