canonical_name,organization_type,industry,union_affiliation,local_number,official_identifier,website,public_phone,public_email,street,city,state,zip,latitude,longitude,estimated_reach,active_status,public_accessibility,active_program,asserted_fields,source_url,publisher,source_title,retrieval_date,publication_date,source_strength,source_type,raw_source_identifier,extraction_method,validation_status
"Bridgewater Veterans' Services","municipal_veteran_services_office","Municipal veteran benefits, advocacy, financial and medical assistance, and referrals","","","","https://www.bridgewaterma.gov/services/veteran_services.php","508-697-0908","","66 Central Square","Bridgewater","MA","02324","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;street;city;state;zip;active_status;public_accessibility;active_program","https://www.bridgewaterma.gov/services/veteran_services.php","Town of Bridgewater","Veteran Services","2026-08-18","","5","official_government_page","manual:round24:bridgewater-veterans-services:001:2026-08-18","manual","verified"
"Hanover Veterans' Services","municipal_veteran_services_office","Municipal veteran benefits, advocacy, financial and medical assistance, and referrals","","","","https://www.hanover-ma.gov/veterans-services","781-924-1913","","665 Center Street","Hanover","MA","02339","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;street;city;state;zip;active_status;public_accessibility;active_program","https://www.hanover-ma.gov/veterans-services","Town of Hanover","Veterans' Services","2026-08-18","","5","official_government_page","manual:round24:hanover-veterans-services:001:2026-08-18","manual","verified"
"Pembroke Veterans' Services","municipal_veteran_services_office","Municipal veteran benefits, advocacy, financial and medical assistance, and referrals","","","","https://www.pembroke-ma.gov/1733/Veterans-Services","781-709-1415","","100 Center Street Room 1","Pembroke","MA","02359","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;street;city;state;zip;active_status;public_accessibility;active_program","https://www.pembroke-ma.gov/1733/Veterans-Services","Town of Pembroke","Veterans Services","2026-08-18","","5","official_government_page","manual:round24:pembroke-veterans-services:001:2026-08-18","manual","verified"
"Brockton Veterans Services","municipal_veteran_services_office","Municipal veteran benefits, advocacy, financial assistance, and service referrals","","","","https://brockton.ma.us/contact/","508-580-7850","veterans@cobma.us","156 West Elm Street","Brockton","MA","02301","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://brockton.ma.us/contact/","City of Brockton","Contact - Veterans Services","2026-08-18","","5","official_government_page","manual:round24:brockton-veterans-services:001:2026-08-18","manual","verified"
"Taunton Veterans Department","municipal_veteran_services_office","Municipal veteran benefits, advocacy, emergency financial assistance, and support services","","","","https://www.taunton-ma.gov/319/Veterans-Department","508-821-1038","","15 Summer Street","Taunton","MA","02780","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;street;city;state;zip;active_status;public_accessibility;active_program","https://www.taunton-ma.gov/319/Veterans-Department","City of Taunton","Veterans Department","2026-08-18","","5","official_government_page","manual:round24:taunton-veterans-department:001:2026-08-18","manual","verified"
"Plymouth Veteran Services","municipal_veteran_services_office","Municipal veteran benefits, financial and medical assistance, advocacy, and referrals","","","","https://www.plymouth-ma.gov/812/Veteran-Services","508-322-3389","","26 Court Street","Plymouth","MA","02360","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;street;city;state;zip;active_status;public_accessibility;active_program","https://www.plymouth-ma.gov/812/Veteran-Services","Town of Plymouth","Veteran Services","2026-08-18","","5","official_government_page","manual:round24:plymouth-veteran-services:001:2026-08-18","manual","verified"
"Quincy Office of Veterans' Services","municipal_veteran_services_office","Municipal veteran benefits, advocacy, financial assistance, and service referrals","","","","https://www.quincyma.gov/departments/veterans_services/index.php","617-376-1193","","24 High School Avenue","Quincy","MA","02169","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;street;city;state;zip;active_status;public_accessibility;active_program","https://www.quincyma.gov/departments/veterans_services/index.php","City of Quincy","Veterans Services","2026-08-18","","5","official_government_page","manual:round24:quincy-office-veterans-services:001:2026-08-18","manual","verified"
"Weymouth Veterans Services","municipal_veteran_services_office","Municipal veteran benefits, advocacy, financial assistance, and service referrals","","","","https://www.weymouth.ma.us/1543/Veterans-Services","781-340-2405","","182 Green Street","East Weymouth","MA","02189","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;street;city;state;zip;active_status;public_accessibility;active_program","https://www.weymouth.ma.us/1543/Veterans-Services","Town of Weymouth","Veterans Services","2026-08-18","","5","official_government_page","manual:round24:weymouth-veterans-services:001:2026-08-18","manual","verified"
"Braintree Veterans Services","municipal_veteran_services_office","Municipal veteran benefits, advocacy, financial assistance, and service referrals","","","","https://www.braintreema.gov/166/Veterans-Services","781-794-8217","","74 Pond Street","Braintree","MA","02184","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;street;city;state;zip;active_status;public_accessibility;active_program","https://www.braintreema.gov/166/Veterans-Services","Town of Braintree","Veterans Services","2026-08-18","","5","official_government_page","manual:round24:braintree-veterans-services:001:2026-08-18","manual","verified"
"Massachusetts Executive Office of Veterans Services","state_veteran_services_agency","State veteran benefits, services, advocacy, constituent assistance, and municipal program administration","","","","https://www.mass.gov/orgs/executive-office-of-veterans-services","617-210-5480","","One Bowdoin Square, 15 New Chardon Street Suite 400","Boston","MA","02114","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;street;city;state;zip;active_status;public_accessibility;active_program","https://www.mass.gov/orgs/executive-office-of-veterans-services","Commonwealth of Massachusetts","Executive Office of Veterans Services","2026-08-18","","5","official_government_page","manual:round24:massachusetts-executive-office-veterans-services:001:2026-08-18","manual","verified"
"Massachusetts Office of the Veteran Advocate","state_veteran_oversight_agency","Independent state oversight, advocacy, and accountability for veteran services and welfare","","","","https://www.mass.gov/orgs/office-of-the-veteran-advocate","781-664-9033","OVA@mass.gov","","","MA","","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;public_email;state;active_status;public_accessibility;active_program","https://www.mass.gov/orgs/office-of-the-veteran-advocate","Commonwealth of Massachusetts","Office of the Veteran Advocate","2026-08-18","","5","official_government_page","manual:round24:massachusetts-office-veteran-advocate:001:2026-08-18","manual","verified"
"Bridgewater Disability Commission","municipal_disability_commission","Municipal accessibility, ADA compliance, disability policy review, referrals, and technical assistance","","","","https://www.bridgewaterma.gov/government/disability_commission/index.php","508-697-0919","","66 Central Square","Bridgewater","MA","02324","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;street;city;state;zip;active_status;public_accessibility;active_program","https://www.bridgewaterma.gov/government/disability_commission/index.php","Town of Bridgewater","Disability Commission","2026-08-18","","5","official_government_page","manual:round24:bridgewater-disability-commission:001:2026-08-18","manual","verified"
"Pembroke Commission on Disabilities","municipal_disability_commission","Municipal disability access, inclusion, policy advice, and ADA advocacy","","","","https://www.pembroke-ma.gov/1783/Commission-on-Disabilities","781-829-3664","","128 Center Street","Pembroke","MA","02359","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;street;city;state;zip;active_status;public_accessibility;active_program","https://www.pembroke-ma.gov/1783/Commission-on-Disabilities","Town of Pembroke","Commission on Disabilities","2026-08-18","","5","official_government_page","manual:round24:pembroke-commission-disabilities:001:2026-08-18","manual","verified"
"Plymouth Disabilities Commission","municipal_disability_commission","Municipal disability access, inclusion, policy advice, and ADA advocacy","","","","https://www.plymouth-ma.gov/691/Disabilities-Commission","508-830-4230","","26 Court Street","Plymouth","MA","02360","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;street;city;state;zip;active_status;public_accessibility;active_program","https://www.plymouth-ma.gov/691/Disabilities-Commission","Town of Plymouth","Disabilities Commission","2026-08-18","","5","official_government_page","manual:round24:plymouth-disabilities-commission:001:2026-08-18","manual","verified"
"Quincy Commission on Disabilities","municipal_disability_commission","Municipal disability access, inclusion, policy advice, and ADA advocacy","","","","https://www.quincyma.gov/government/boards___commissions/index.php","617-376-1000","","1305 Hancock Street","Quincy","MA","02169","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;street;city;state;zip;active_status;public_accessibility;active_program","https://www.quincyma.gov/government/boards___commissions/index.php","City of Quincy","Boards and Commissions","2026-08-18","2026-08-05","5","official_government_page","manual:round24:quincy-commission-disabilities:001:2026-08-18","manual","verified"
