organization_name,contact_name,contact_scope,is_public_professional,role_title,role_date,filing_year,public_email,public_phone,professional_url,source_url,publisher,source_title,retrieval_date,publication_date,source_strength,source_type,raw_source_identifier,extraction_method,validation_status
"Taiwanese Association of America Boston","","role_based","yes","Public Taiwanese cultural association contact","","","taa.boston1@gmail.com","","https://www.taa-usa.org/recipes/taiwanese-association-of-america-boston","https://www.taa-usa.org/recipes/taiwanese-association-of-america-boston","Taiwanese Association of America","Taiwanese Association of America Boston","2026-08-18","2025-03-11","4","official_organization_page","manual:round22:taiwanese-association-of-america-boston:001:2026-08-18","manual","verified"
"New England Teochew Association","","role_based","yes","Public Teochew cultural association office","","","teochewassociation8@gmail.com","617-426-5508","https://www.tcaone.com/en","https://www.tcaone.com/en","New England Teochew Association","Our Services","2026-08-18","","4","official_organization_page","manual:round22:new-england-teochew-association:001:2026-08-18","manual","verified"
"American Lebanese Chamber of Commerce of New England","","role_based","yes","Public Lebanese business and community association inbox","","","team@alccne.org","","https://www.alccne.org/contact-us","https://www.alccne.org/contact-us","American Lebanese Chamber of Commerce of New England","Contact Us","2026-08-18","","4","official_organization_page","manual:round22:american-lebanese-chamber-of-commerce-of-new-england:001:2026-08-18","manual","verified"
"Lebanon American Society","","role_based","yes","Public Lebanese cultural society contact","","","","","https://www.lebanonamericansociety.com/","https://www.lebanonamericansociety.com/","Lebanon American Society","Celebrating Cultural Diversity","2026-08-18","","4","official_organization_page","manual:round22:lebanon-american-society:001:2026-08-18","manual","verified"
"New England Community Center","","role_based","yes","Public Brazilian immigrant community center office","","","","781-436-3190","https://www.newenglandcommunitycenter.com/home","https://www.newenglandcommunitycenter.com/home","New England Community Center","Home","2026-08-18","","4","official_organization_page","manual:round22:new-england-community-center:001:2026-08-18","manual","verified"
"Puerto Rican Institute for the Arts and Advocacy, Inc.","","role_based","yes","Public Puerto Rican arts and advocacy institute contact","","","","","https://www.priaa-ri.org/history","https://www.priaa-ri.org/history","Puerto Rican Institute for the Arts and Advocacy, Inc.","Our History","2026-08-18","","4","official_organization_page","manual:round22:puerto-rican-institute-for-the-arts-and-advocacy:001:2026-08-18","manual","verified"
"Guatemalan Center of New England","","role_based","yes","Public Guatemalan community center office","","","hello@guatemalancenter.org","401-238-6149","https://www.guatemalancenter.org/contact","https://www.guatemalancenter.org/contact","Guatemalan Center of New England","Contact","2026-08-18","","4","official_organization_page","manual:round22:guatemalan-center-of-new-england:001:2026-08-18","manual","verified"
"Korean-American Association of Rhode Island","","role_based","yes","Public Korean-American cultural association inbox","","","info@rikorean.org","","https://rikorean.org/english","https://rikorean.org/english","Korean-American Association of Rhode Island","Home","2026-08-18","","4","official_organization_page","manual:round22:korean-american-association-of-rhode-island:001:2026-08-18","manual","verified"
"Greater Boston Interfaith Organization","","role_based","yes","Public interfaith community organizing office","","","info@gbio.org","","https://www.gbio.org/about","https://www.gbio.org/about","Greater Boston Interfaith Organization","About GBIO","2026-08-18","","4","official_organization_page","manual:round22:greater-boston-interfaith-organization:001:2026-08-18","manual","verified"
"Massachusetts Council of Churches","","role_based","yes","Public ecumenical church council inbox","","","council@masscouncilofchurches.org","","https://www.masscouncilofchurches.org/mission","https://www.masscouncilofchurches.org/mission","Massachusetts Council of Churches","Mission","2026-08-18","","4","official_organization_page","manual:round22:massachusetts-council-of-churches:001:2026-08-18","manual","verified"
"BMA TenPoint","","role_based","yes","Public Black faith and community network office","","","info@bmaboston.org","617-445-2737","https://www.bmatenpoint.org/history-mission","https://www.bmatenpoint.org/history-mission","BMA TenPoint","History and Mission","2026-08-18","","4","official_organization_page","manual:round22:bma-tenpoint:001:2026-08-18","manual","verified"
"Islamic Council of New England","","role_based","yes","Public Islamic community umbrella organization inbox","","","info@islamiccouncilne.org","","https://islamiccouncilne.org/","https://islamiccouncilne.org/","Islamic Council of New England","Home","2026-08-18","","4","official_organization_page","manual:round22:islamic-council-of-new-england:001:2026-08-18","manual","verified"
"Massachusetts Board of Rabbis","","role_based","yes","Public rabbinic professional association contact","","","","","https://www.mass-rabbis.org/who-we-are","https://www.mass-rabbis.org/who-we-are","Massachusetts Board of Rabbis","Who We Are","2026-08-18","","4","official_organization_page","manual:round22:massachusetts-board-of-rabbis:001:2026-08-18","manual","verified"
"New England Hindu Temple, Inc.","","role_based","yes","Public Hindu temple and cultural center office","","","","508-881-5775","https://srilakshmi.org/history/","https://srilakshmi.org/history/","New England Hindu Temple, Inc.","History","2026-08-18","","4","official_organization_page","manual:round22:new-england-hindu-temple:001:2026-08-18","manual","verified"
"Rhode Island Hindu Temple Society","","role_based","yes","Public Rhode Island Hindu temple office","","","admin@rihts.org","401-830-0803","https://www.rihts.org/contact/","https://www.rihts.org/contact/","Rhode Island Hindu Temple Society","Contact","2026-08-18","","4","official_organization_page","manual:round22:rhode-island-hindu-temple-society:001:2026-08-18","manual","verified"
"Greek Orthodox Metropolis of Boston","","role_based","yes","Public Greek Orthodox regional office","","","","617-277-4742","https://boston.goarch.org/about_us/administration.html","https://boston.goarch.org/about_us/administration.html","Greek Orthodox Metropolis of Boston","Administration","2026-08-18","","4","official_organization_page","manual:round22:greek-orthodox-metropolis-of-boston:001:2026-08-18","manual","verified"
"ALPFA Boston","","role_based","yes","Public Latino professional chapter contact","","","","","https://alpfa.org/boston","https://alpfa.org/boston","Association of Latino Professionals for America","ALPFA Boston","2026-08-18","","4","official_organization_page","manual:round22:alpfa-boston:001:2026-08-18","manual","verified"
"NAAAP Boston","","role_based","yes","Public Asian-American professional chapter office","","","","617-506-3641","https://www.naaapboston.org/about-us","https://www.naaapboston.org/about-us","NAAAP Boston","About Us","2026-08-18","","4","official_organization_page","manual:round22:naaap-boston:001:2026-08-18","manual","verified"
"NABA Boston","","role_based","yes","Public Black accounting and business professional chapter","","","2nd-vp-boston@nabachapters.org","","https://community.nabainc.org/boston/programsandevents","https://community.nabainc.org/boston/programsandevents","NABA Boston","Programs and Events","2026-08-18","","4","official_organization_page","manual:round22:naba-boston:001:2026-08-18","manual","verified"
"Prospanica Boston","","role_based","yes","Public Hispanic business professional chapter contact","","","","","https://members.prospanica.org/members/group.aspx?code=Boston","https://members.prospanica.org/members/group.aspx?code=Boston","Prospanica","Boston Chapter","2026-08-18","","4","official_organization_page","manual:round22:prospanica-boston:001:2026-08-18","manual","verified"
