canonical_name,organization_type,industry,union_affiliation,local_number,official_identifier,website,public_phone,public_email,street,city,state,zip,latitude,longitude,estimated_reach,active_status,public_accessibility,active_program,asserted_fields,source_url,publisher,source_title,retrieval_date,publication_date,source_strength,source_type,raw_source_identifier,extraction_method,validation_status
"Greater Southeastern Massachusetts Labor Council","labor_organization","Regional labor federation","Massachusetts AFL-CIO","","","","508-992-5475","clcpresident@verizon.net","560 Pleasant Street","New Bedford","MA","02740","","","","active","1","1","canonical_name;organization_type;industry;union_affiliation;public_phone;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://massaflcio.org/central-labor-councils","Massachusetts AFL-CIO","Central Labor Councils","2026-08-17","","4","official_organization_page","manual:round9:greater-southeastern-ma-labor-council:001:2026-08-17","manual","verified"
"Plymouth-Bristol Central Labor Council","labor_organization","Regional labor federation","Massachusetts AFL-CIO","","","","508-930-2785","brockton144hill@aol.com","50 School Street","Brockton","MA","02301","","","","active","1","1","canonical_name;organization_type;industry;union_affiliation;public_phone;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://massaflcio.org/central-labor-councils","Massachusetts AFL-CIO","Central Labor Councils","2026-08-17","","4","official_organization_page","manual:round9:plymouth-bristol-labor-council:002:2026-08-17","manual","verified"
"Massachusetts Nurses Association","labor_organization","Nursing labor organization","","","","https://www.massnurses.org/","781-821-4625","MNAinfo@mnarn.org","340 Turnpike Street","Canton","MA","02021","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://www.massnurses.org/about-mna/contact-us/","Massachusetts Nurses Association","Contact Us","2026-08-17","","4","official_organization_page","manual:round9:massachusetts-nurses-association:003:2026-08-17","manual","verified"
"Massachusetts Teachers Association","labor_organization","Education labor organization","","","","https://www.massteacher.org/","617-878-8000","","2 Heritage Drive, 8th Floor","Quincy","MA","02171","","","117000","active","1","1","canonical_name;organization_type;industry;website;public_phone;street;city;state;zip;estimated_reach;active_status;public_accessibility;active_program","https://www.massteacher.org/our-offices","Massachusetts Teachers Association","Our Offices","2026-08-17","","4","official_organization_page","manual:round9:massachusetts-teachers-association:004:2026-08-17","manual","verified"
"SEIU Local 888","union_local","Public and community service labor organization","Service Employees International Union","888","","https://www.seiu888.org/","617-241-3300","myunion@seiu888.org","25 Braintree Hill Park, Suite 306","Braintree","MA","02184","","","8000","active","1","1","canonical_name;organization_type;industry;union_affiliation;local_number;website;public_phone;public_email;street;city;state;zip;estimated_reach;active_status;public_accessibility;active_program","https://www.seiu888.org/about/","SEIU Local 888","About Local 888","2026-08-17","","4","official_organization_page","manual:round9:seiu-local-888:005:2026-08-17","manual","verified"
"National Association of Government Employees (NAGE/SEIU)","labor_organization","Government employee labor organization","Service Employees International Union","","","https://www.nage.org/","617-376-0220","","159 Burgin Parkway","Quincy","MA","02169","","","","active","1","1","canonical_name;organization_type;industry;union_affiliation;website;public_phone;street;city;state;zip;active_status;public_accessibility;active_program","https://members.nage.org/","National Association of Government Employees","NAGE Member Home and Headquarters Contact","2026-08-17","","4","official_organization_page","manual:round9:nage-seiu:006:2026-08-17","manual","verified"
"AFT Massachusetts","labor_organization","Education labor organization","American Federation of Teachers","","","https://ma.aft.org/","617-423-3342","","33 Harrison Avenue, 6th Floor","Boston","MA","02111","","","","active","1","1","canonical_name;organization_type;industry;union_affiliation;website;public_phone;street;city;state;zip;active_status;public_accessibility;active_program","https://ma.aft.org/contact-us","AFT Massachusetts","Contact Us","2026-08-17","","4","official_organization_page","manual:round9:aft-massachusetts:007:2026-08-17","manual","verified"
"UFCW Local 328","union_local","Food and commercial workers labor organization","United Food and Commercial Workers","328","","https://ufcw328.org/","401-861-0300","","278 Silver Spring Street","Providence","RI","02904","","","","active","1","1","canonical_name;organization_type;industry;union_affiliation;local_number;website;public_phone;street;city;state;zip;active_status;public_accessibility;active_program","https://ufcw328.org/contact/","UFCW Local 328","Contact","2026-08-17","","4","official_organization_page","manual:round9:ufcw-local-328:008:2026-08-17","manual","verified"
"UWUA Local 369","union_local","Utility workers labor organization","Utility Workers Union of America","369","","https://uwua369.org/","781-848-3740","","68 Sagamore Street","Quincy","MA","02171","","","","active","1","1","canonical_name;organization_type;industry;union_affiliation;local_number;website;public_phone;street;city;state;zip;active_status;public_accessibility;active_program","https://uwua369.org/contact-us/","UWUA Local 369","Contact Us","2026-08-17","","4","official_organization_page","manual:round9:uwua-local-369:009:2026-08-17","manual","verified"
"IUOE Local 4","union_local","Operating engineers labor organization","International Union of Operating Engineers","4","","https://www.iuoelocal4.org/","508-533-1433","office@iuoelocal4.org","16 Trotter Drive","Medway","MA","02053","","","5000","active","1","1","canonical_name;organization_type;industry;union_affiliation;local_number;website;public_phone;public_email;street;city;state;zip;estimated_reach;active_status;public_accessibility;active_program","https://www.iuoelocal4.org/contact-us/our-offices/","IUOE Local 4","Our Offices","2026-08-17","","4","official_organization_page","manual:round9:iuoe-local-4:010:2026-08-17","manual","verified"
"Teamsters Local 25","union_local","Transportation and warehouse labor organization","International Brotherhood of Teamsters","25","","https://teamsterslocal25.com/","617-241-8825","","544 Main Street","Charlestown","MA","02129","","","","active","1","1","canonical_name;organization_type;industry;union_affiliation;local_number;website;public_phone;street;city;state;zip;active_status;public_accessibility;active_program","https://teamsterslocal25.com/contact-organizing/","Teamsters Local 25","Contact Organizing","2026-08-17","","4","official_organization_page","manual:round9:teamsters-local-25:011:2026-08-17","manual","verified"
"Bricklayers and Allied Craftworkers Local 3","union_local","Construction trades labor organization","International Union of Bricklayers and Allied Craftworkers","3","","","617-242-5500","","550 Medford Street","Charlestown","MA","02129","","","","active","1","1","canonical_name;organization_type;industry;union_affiliation;local_number;public_phone;street;city;state;zip;active_status;public_accessibility;active_program","https://bacweb.org/locals","International Union of Bricklayers and Allied Craftworkers","Locals","2026-08-17","","4","official_organization_page","manual:round9:bac-local-3:012:2026-08-17","manual","verified"
"Boilermakers Local 29","union_local","Construction trades labor organization","International Brotherhood of Boilermakers","29","","","617-328-8400","","210 Bodwell Street","Avon","MA","02322","","","","active","1","1","canonical_name;organization_type;industry;union_affiliation;local_number;public_phone;street;city;state;zip;active_status;public_accessibility;active_program","https://massbuildingtrades.org/local-union-directory/","Massachusetts Building Trades Unions","Local Union Directory","2026-08-17","","4","official_organization_page","manual:round9:boilermakers-local-29:013:2026-08-17","manual","verified"
"Roofers Local 33","union_local","Construction trades labor organization","United Union of Roofers, Waterproofers and Allied Workers","33","","https://www.rul33.com/","781-341-9192","","53 Evans Drive","Stoughton","MA","02072","","","","active","1","1","canonical_name;organization_type;industry;union_affiliation;local_number;website;public_phone;street;city;state;zip;active_status;public_accessibility;active_program","https://massbuildingtrades.org/local-union-directory/","Massachusetts Building Trades Unions","Local Union Directory","2026-08-17","","4","official_organization_page","manual:round9:roofers-local-33:014:2026-08-17","manual","verified"
"IBEW Local 99","union_local","Electrical trades labor organization","International Brotherhood of Electrical Workers","99","","https://ibew99.org/","401-946-9900","","22 Amflex Drive","Cranston","RI","02921","","","","active","1","1","canonical_name;organization_type;industry;union_affiliation;local_number;website;public_phone;street;city;state;zip;active_status;public_accessibility;active_program","https://massbuildingtrades.org/local-union-directory/","Massachusetts Building Trades Unions","Local Union Directory","2026-08-17","","4","official_organization_page","manual:round9:ibew-local-99:015:2026-08-17","manual","verified"
"IBEW Local 103","union_local","Electrical trades labor organization","International Brotherhood of Electrical Workers","103","","https://the103advantage.com/","617-436-3710","","256 Freeport Street","Dorchester","MA","02122","","","","active","1","1","canonical_name;organization_type;industry;union_affiliation;local_number;website;public_phone;street;city;state;zip;active_status;public_accessibility;active_program","https://massbuildingtrades.org/local-union-directory/","Massachusetts Building Trades Unions","Local Union Directory","2026-08-17","","4","official_organization_page","manual:round9:ibew-local-103:016:2026-08-17","manual","verified"
"Heat and Frost Insulators Local 6","union_local","Construction trades labor organization","International Association of Heat and Frost Insulators and Allied Workers","6","","https://www.insulators6.org/","617-436-4666","awl6@insulators.org","303 Freeport Street","Dorchester","MA","02122","","","","active","1","1","canonical_name;organization_type;industry;union_affiliation;local_number;website;public_phone;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://www.insulators.org/local-union-directory/","International Association of Heat and Frost Insulators and Allied Workers","Local Union Directory","2026-08-17","","4","official_organization_page","manual:round9:insulators-local-6:017:2026-08-17","manual","verified"
