organization_name,contact_name,contact_scope,is_public_professional,role_title,role_date,filing_year,public_email,public_phone,professional_url,source_url,publisher,source_title,retrieval_date,publication_date,source_strength,source_type,raw_source_identifier,extraction_method,validation_status
"Bridgewater Veterans' Services","","role_based","yes","Public municipal veterans services office","","","","508-697-0908","https://www.bridgewaterma.gov/services/veteran_services.php","https://www.bridgewaterma.gov/services/veteran_services.php","Town of Bridgewater","Veteran Services","2026-08-18","","5","official_government_page","manual:round24:bridgewater-veterans-services:001:2026-08-18","manual","verified"
"Hanover Veterans' Services","","role_based","yes","Public municipal veterans services office","","","","781-924-1913","https://www.hanover-ma.gov/veterans-services","https://www.hanover-ma.gov/veterans-services","Town of Hanover","Veterans' Services","2026-08-18","","5","official_government_page","manual:round24:hanover-veterans-services:001:2026-08-18","manual","verified"
"Pembroke Veterans' Services","","role_based","yes","Public municipal veterans services office","","","","781-709-1415","https://www.pembroke-ma.gov/1733/Veterans-Services","https://www.pembroke-ma.gov/1733/Veterans-Services","Town of Pembroke","Veterans Services","2026-08-18","","5","official_government_page","manual:round24:pembroke-veterans-services:001:2026-08-18","manual","verified"
"Brockton Veterans Services","","role_based","yes","Public municipal veterans services office","","","veterans@cobma.us","508-580-7850","https://brockton.ma.us/contact/","https://brockton.ma.us/contact/","City of Brockton","Contact - Veterans Services","2026-08-18","","5","official_government_page","manual:round24:brockton-veterans-services:001:2026-08-18","manual","verified"
"Taunton Veterans Department","","role_based","yes","Public municipal veterans department office","","","","508-821-1038","https://www.taunton-ma.gov/319/Veterans-Department","https://www.taunton-ma.gov/319/Veterans-Department","City of Taunton","Veterans Department","2026-08-18","","5","official_government_page","manual:round24:taunton-veterans-department:001:2026-08-18","manual","verified"
"Plymouth Veteran Services","","role_based","yes","Public municipal veteran services office","","","","508-322-3389","https://www.plymouth-ma.gov/812/Veteran-Services","https://www.plymouth-ma.gov/812/Veteran-Services","Town of Plymouth","Veteran Services","2026-08-18","","5","official_government_page","manual:round24:plymouth-veteran-services:001:2026-08-18","manual","verified"
"Quincy Office of Veterans' Services","","role_based","yes","Public municipal veterans services office","","","","617-376-1193","https://www.quincyma.gov/departments/veterans_services/index.php","https://www.quincyma.gov/departments/veterans_services/index.php","City of Quincy","Veterans Services","2026-08-18","","5","official_government_page","manual:round24:quincy-office-veterans-services:001:2026-08-18","manual","verified"
"Weymouth Veterans Services","","role_based","yes","Public municipal veterans services office","","","","781-340-2405","https://www.weymouth.ma.us/1543/Veterans-Services","https://www.weymouth.ma.us/1543/Veterans-Services","Town of Weymouth","Veterans Services","2026-08-18","","5","official_government_page","manual:round24:weymouth-veterans-services:001:2026-08-18","manual","verified"
"Braintree Veterans Services","","role_based","yes","Public municipal veterans services office","","","","781-794-8217","https://www.braintreema.gov/166/Veterans-Services","https://www.braintreema.gov/166/Veterans-Services","Town of Braintree","Veterans Services","2026-08-18","","5","official_government_page","manual:round24:braintree-veterans-services:001:2026-08-18","manual","verified"
"Massachusetts Executive Office of Veterans Services","","role_based","yes","Public state veterans constituent services office","","","","617-210-5480","https://www.mass.gov/orgs/executive-office-of-veterans-services","https://www.mass.gov/orgs/executive-office-of-veterans-services","Commonwealth of Massachusetts","Executive Office of Veterans Services","2026-08-18","","5","official_government_page","manual:round24:massachusetts-executive-office-veterans-services:001:2026-08-18","manual","verified"
"Massachusetts Office of the Veteran Advocate","","role_based","yes","Public state veteran advocate office","","","OVA@mass.gov","781-664-9033","https://www.mass.gov/orgs/office-of-the-veteran-advocate","https://www.mass.gov/orgs/office-of-the-veteran-advocate","Commonwealth of Massachusetts","Office of the Veteran Advocate","2026-08-18","","5","official_government_page","manual:round24:massachusetts-office-veteran-advocate:001:2026-08-18","manual","verified"
"Bridgewater Disability Commission","","role_based","yes","Public municipal disability commission contact","","","committees@bridgewaterma.org","508-659-1253","https://www.bridgewaterma.gov/government/disability_commission/index.php","https://www.bridgewaterma.gov/government/boards%2C_committees___commissions/index.php","Town of Bridgewater","Boards, Committees and Commissions","2026-08-18","","5","official_government_page","manual:round24:bridgewater-disability-commission-contact:001:2026-08-18","manual","verified"
"Pembroke Commission on Disabilities","","role_based","yes","Public municipal disability commission contact","","","","781-829-3664","https://www.pembroke-ma.gov/1783/Commission-on-Disabilities","https://www.pembroke-ma.gov/1783/Commission-on-Disabilities","Town of Pembroke","Commission on Disabilities","2026-08-18","","5","official_government_page","manual:round24:pembroke-commission-disabilities:001:2026-08-18","manual","verified"
"Plymouth Disabilities Commission","","role_based","yes","Public municipal disabilities commission contact","","","","508-830-4230","https://www.plymouth-ma.gov/691/Disabilities-Commission","https://www.plymouth-ma.gov/691/Disabilities-Commission","Town of Plymouth","Disabilities Commission","2026-08-18","","5","official_government_page","manual:round24:plymouth-disabilities-commission:001:2026-08-18","manual","verified"
"Quincy Commission on Disabilities","","role_based","yes","Public municipal disability commission contact","","","","617-376-1000","https://www.quincyma.gov/government/boards___commissions/index.php","https://www.quincyma.gov/government/boards___commissions/index.php","City of Quincy","Boards and Commissions","2026-08-18","2026-08-05","5","official_government_page","manual:round24:quincy-commission-disabilities:001:2026-08-18","manual","verified"
"Weymouth Commission on Disabilities","","role_based","yes","Public municipal disability commission contact","","","","781-682-3595","https://www.weymouth.ma.us/2020/Commission-on-Disabilities","https://www.weymouth.ma.us/2020/Commission-on-Disabilities","Town of Weymouth","Commission on Disabilities","2026-08-18","","5","official_government_page","manual:round24:weymouth-commission-disabilities:001:2026-08-18","manual","verified"
"Braintree Commission on Disabilities","","role_based","yes","Public municipal disability commission contact","","","","781-794-8195","https://braintreema.gov/326/Commission-on-Disabilities","https://braintreema.gov/326/Commission-on-Disabilities","Town of Braintree","Commission on Disabilities","2026-08-18","","5","official_government_page","manual:round24:braintree-commission-disabilities:001:2026-08-18","manual","verified"
"Taunton Americans with Disabilities Act Commission","","role_based","yes","Public municipal ADA commission contact","","","","508-821-1000","https://www.taunton-ma.gov/1026/Americans-with-Disabilities-Act-Commissi","https://www.taunton-ma.gov/1026/Americans-with-Disabilities-Act-Commissi","City of Taunton","Americans with Disabilities Act Commission","2026-08-18","","5","official_government_page","manual:round24:taunton-americans-disabilities-act-commission:001:2026-08-18","manual","verified"
"Fall River Commission on Disability","","role_based","yes","Public municipal disability commission contact","","","","508-324-2000","https://frcod.org/","https://frcod.org/","Fall River Commission on Disability","Fall River Commission on Disability","2026-08-18","","4","official_organization_page","manual:round24:fall-river-commission-disability:001:2026-08-18","manual","verified"
"New Bedford Commission for Citizens with Disabilities","","role_based","yes","Public municipal disability commission information","","","","","https://library.municode.com/ma/new_bedford/codes/code_of_ordinances?nodeId=COOR_CH2AD_ARTXIIICOCIDI","https://library.municode.com/ma/new_bedford/codes/code_of_ordinances?nodeId=COOR_CH2AD_ARTXIIICOCIDI","City of New Bedford","Code of Ordinances Chapter 2 Article XIII","2026-08-18","","5","official_government_page","manual:round24:new-bedford-commission-citizens-disabilities:001:2026-08-18","manual","verified"
"Plymouth County Farm Bureau","","role_based","yes","Public county Farm Bureau contact via state federation","","","info@mfbf.net","508-481-4766","https://mfbf.net/for-members/county-farm-bureaus","https://mfbf.net/for-members/county-farm-bureaus","Massachusetts Farm Bureau Federation","County Farm Bureaus","2026-08-18","","4","official_organization_page","manual:round24:plymouth-county-farm-bureau:001:2026-08-18","manual","verified"
"Bristol County Farm Bureau","","role_based","yes","Public county Farm Bureau contact via state federation","","","info@mfbf.net","508-481-4766","https://mfbf.net/for-members/county-farm-bureaus","https://mfbf.net/for-members/county-farm-bureaus","Massachusetts Farm Bureau Federation","County Farm Bureaus","2026-08-18","","4","official_organization_page","manual:round24:bristol-county-farm-bureau:001:2026-08-18","manual","verified"
"Norfolk County Farm Bureau","","role_based","yes","Public county Farm Bureau contact via state federation","","","info@mfbf.net","508-481-4766","https://mfbf.net/for-members/county-farm-bureaus","https://mfbf.net/for-members/county-farm-bureaus","Massachusetts Farm Bureau Federation","County Farm Bureaus","2026-08-18","","4","official_organization_page","manual:round24:norfolk-county-farm-bureau:001:2026-08-18","manual","verified"
"Cape Farm Bureau","","role_based","yes","Public county Farm Bureau contact via state federation","","","info@mfbf.net","508-481-4766","https://mfbf.net/for-members/county-farm-bureaus","https://mfbf.net/for-members/county-farm-bureaus","Massachusetts Farm Bureau Federation","County Farm Bureaus","2026-08-18","","4","official_organization_page","manual:round24:cape-farm-bureau:001:2026-08-18","manual","verified"
"Rhode Island Farm Bureau","","role_based","yes","Public state Farm Bureau office","","","rifarm@rifb.org","401-385-3339","https://rifb.org/benefitsandresources/join/","https://rifb.org/benefitsandresources/join/","Rhode Island Farm Bureau","Join and Office Contact","2026-08-18","","4","official_organization_page","manual:round24:rhode-island-farm-bureau:001:2026-08-18","manual","verified"
"Northeast Organic Farming Association of Rhode Island","","role_based","yes","Public organic farming association office","","","info@nofari.org","401-523-2653","https://www.nofari.org/","https://www.nofari.org/","Northeast Organic Farming Association of Rhode Island","NOFA Rhode Island","2026-08-18","","4","official_organization_page","manual:round24:nofa-rhode-island:001:2026-08-18","manual","verified"
"New England Vegetable & Berry Growers Association","","role_based","yes","Public regional grower association office","","","secretary@nevbga.org","","https://nevbga.com/scholarship/","https://nevbga.com/scholarship/","New England Vegetable and Berry Growers Association","Scholarship and Association Contact","2026-08-18","","4","official_organization_page","manual:round24:new-england-vegetable-berry-growers-association:001:2026-08-18","manual","verified"
