canonical_name,organization_type,industry,union_affiliation,local_number,official_identifier,website,public_phone,public_email,street,city,state,zip,latitude,longitude,estimated_reach,active_status,public_accessibility,active_program,asserted_fields,source_url,publisher,source_title,retrieval_date,publication_date,source_strength,source_type,raw_source_identifier,extraction_method,validation_status
"PLZ Corp Fall River","workplace","","","","","https://www.plzcorp.com/","800-332-9000","","","Fall River","MA","","","","","","","","website;public_phone","https://www.plzcorp.com/contact-us/","PLZ Corp","Contact Us","2026-08-17","","4","contact_page","manual:round3:plz-corp-fall-river:001:2026-08-17","manual","verified"
"RW Bryant Contracting Inc.","workplace","","","","","https://rwbryant.com/","508-747-8916","rwbryantinc@rwbryant.com","","Plymouth","MA","","","","","","","","website;public_phone;public_email","https://rwbryant.com/","R.W. Bryant Contracting","R.W. Bryant Contracting","2026-08-17","","4","official_organization_page","manual:round3:rw-bryant-contracting-inc:002:2026-08-17","manual","verified"
"R. Zoppo Corp.","workplace","","","","","https://www.zoppo.com/","781-344-8822","","","Stoughton","MA","","","","","","","","website;public_phone","https://www.zoppo.com/contact","R. Zoppo Corporation","Contact","2026-08-17","","4","contact_page","manual:round3:r-zoppo-corp:003:2026-08-17","manual","verified"
"Steel Art Company","workplace","","","","","https://steelartco.com/","800-322-2828","","","Norwood","MA","","","","","","","","website;public_phone","https://static1.squarespace.com/static/5cc7248429f2cc08c4822ef8/t/6961246fe7e7fe55eb4a45b7/1767973999670/Post%26Panel_SellSheet.pdf","Steel Art Company","Post & Panel Sell Sheet","2026-08-17","","4","official_organization_page","manual:round3:steel-art-company:004:2026-08-17","manual","verified"
"ABF Freight 189","workplace","","","","","https://arcb.com/","800-610-5544","customerservice@arcb.com","","West Bridgewater","MA","","","","","","","","website;public_phone;public_email","https://arcb.com/faq","ArcBest","Frequently Asked Questions","2026-08-17","","4","contact_page","manual:round3:abf-freight-189:005:2026-08-17","manual","verified"
"Precast Specialties Corp","workplace","","","","","","781-878-7220","","","Abington","MA","","","","","","","","public_phone","https://www.pci.org/PCINE/PCINE/About_PCINE/Producers/Precast_Specialties.aspx","PCI Northeast","Precast Specialties","2026-08-17","","3","official_organization_page","manual:round3:precast-specialties-corp:006:2026-08-17","manual","verified"
"Graziano Redi-Mix, Inc.","workplace","","","","","","508-697-8350","","","Bridgewater","MA","","","","","","","","public_phone","https://content.boston.gov/sites/default/files/file/2025/03/Approved-Concrete-3-13-2025.pdf","City of Boston","Approved Concrete Suppliers","2026-08-17","2025-03-13","5","license","manual:round3:graziano-redi-mix-inc:007:2026-08-17","manual","verified"
"J.Derenzo Company","workplace","","","","","https://www.jderenzo.com/","508-427-6441","","","Brockton","MA","","","","","","","","website;public_phone","https://www.jderenzo.com/contact/","J. Derenzo Company","Contact","2026-08-17","","4","contact_page","manual:round3:j-derenzo-company:008:2026-08-17","manual","verified"
"Suncor Stainless, Inc. Plymouth","workplace","","","","","https://suncorstainless.com/","508-732-9191","sales@suncorstainless.com","","Plymouth","MA","","","","","","","","website;public_phone;public_email","https://suncorstainless.com/wp-content/uploads/2026/02/Marine-Products_4pg-Brochure_2025.pdf","Suncor Stainless","Stainless Steel Use in Saltwater & Marine Environments","2026-08-17","","4","official_organization_page","manual:round3:suncor-stainless-inc-plymouth:009:2026-08-17","manual","verified"
"Fine Landscaping & Maintenance, Corp.","workplace","","","","","https://www.finelandscaping.com/","508-261-7770","info@finelandscaping.com","","Mansfield","MA","","","","","","","","website;public_phone;public_email","https://www.finelandscaping.com/about/contact","Fine Landscaping & Maintenance","Contact","2026-08-17","","4","contact_page","manual:round3:fine-landscaping-maintenance-corp:010:2026-08-17","manual","verified"
"Temptronic DBA InTEST Thermal Solutions","workplace","","","","","https://www.intestthermal.com/","781-688-2300","info@intestthermal.com","","Mansfield","MA","","","","","","","","website;public_phone;public_email","https://www.intestthermal.com/blog/intest-thermal-solutions-is-hiring","inTEST Thermal Solutions","inTEST Thermal Solutions Is Hiring","2026-08-17","","4","official_organization_page","manual:round3:temptronic-dba-intest-thermal-solutions:011:2026-08-17","manual","verified"
"Electro Prep Inc","workplace","","","","","https://www.electroprep.com/","800-478-4578","info@electroprep.com","","Wareham","MA","","","","","","","","website;public_phone;public_email","https://www.electroprep.com/wp-content/uploads/eBook-The-Ultimate-Guide-To-Electro-Mechanical-Assemblies-and-Box-Builds-1.pdf","Electro-Prep","The Ultimate Guide to Electro-Mechanical Assemblies and Box Builds","2026-08-17","","4","official_organization_page","manual:round3:electro-prep-inc:012:2026-08-17","manual","verified"
"NEW ENGLAND ELECTROPOLISHING CO., INC.","workplace","","","","","https://neelectropolishing.com/","800-672-6616","","","Fall River","MA","","","","","","","","website;public_phone","https://neelectropolishing.com/contact/","New England Electropolishing","Contact","2026-08-17","","4","contact_page","manual:round3:new-england-electropolishing-co-inc:013:2026-08-17","manual","verified"
"Acorn Manufacturing","workplace","","","","","https://acornmfg.com/","508-339-4500","orders1@acornmfg.com","","Mansfield","MA","","","","","","","","website;public_phone;public_email","https://acornmfg.com/contact/","Acorn Manufacturing","Contact","2026-08-17","","4","contact_page","manual:round3:acorn-manufacturing:014:2026-08-17","manual","verified"
"NAX Electrical Services, LLC","workplace","","","","","https://naxelectric.com/","508-296-0552","estimating@naxelectric.com","","New Bedford","MA","","","","","","","","website;public_phone;public_email","https://naxelectric.com/","NAX Electrical Services","NAX Electrical Services","2026-08-17","","4","official_organization_page","manual:round3:nax-electrical-services-llc:015:2026-08-17","manual","verified"
