organization_name,contact_name,contact_scope,is_public_professional,role_title,role_date,filing_year,public_email,public_phone,professional_url,source_url,publisher,source_title,retrieval_date,publication_date,source_strength,source_type,raw_source_identifier,extraction_method,validation_status
"Self Help, Inc.","","role_based","yes","Community action public office","","","","508-588-0447","https://selfhelpinc.org/","https://www.mass.gov/info-details/community-action-agencies-contact-information","Massachusetts Executive Office of Housing and Livable Communities","Community Action Agencies Contact Information","2026-08-18","","5","official_government_page","manual:round14:self-help:001:2026-08-18","manual","verified"
"Quincy Community Action Programs, Inc.","","role_based","yes","Community action public office","","","","617-479-8181","https://www.qcap.org/about-qcap/contact/","https://www.qcap.org/about-qcap/contact/","Quincy Community Action Programs, Inc.","Contact Us","2026-08-18","","4","official_organization_page","manual:round14:quincy-community-action-programs:001:2026-08-18","manual","verified"
"Citizens for Citizens, Inc.","","role_based","yes","Community action public office","","","","508-679-0041","https://cfcinc.org/contact/","https://www.mass.gov/info-details/community-action-agencies-contact-information","Massachusetts Executive Office of Housing and Livable Communities","Community Action Agencies Contact Information","2026-08-18","","5","official_government_page","manual:round14:citizens-for-citizens:001:2026-08-18","manual","verified"
"People Acting in Community Endeavors (PACE)","","role_based","yes","Community action public office","","","help@paceinfo.org","508-999-9920","https://paceinfo.org/contact-us/","https://paceinfo.org/contact-us/","People Acting in Community Endeavors","Contact Us","2026-08-18","","4","official_organization_page","manual:round14:people-acting-community-endeavors:001:2026-08-18","manual","verified"
"Tri-County Community Action Agency","","role_based","yes","Community action public office","","","","401-351-2750","https://www.tricountyri.org/locations/","https://www.tricountyri.org/locations/","Tri-County Community Action Agency","Locations","2026-08-18","","4","official_organization_page","manual:round14:tri-county-community-action:001:2026-08-18","manual","verified"
"Comprehensive Community Action Program","","role_based","yes","Community action public office","","","info@comcap.org","401-467-9610","https://www.comcap.org/home/welcome-to-ccap/","https://www.comcap.org/home/welcome-to-ccap/","Comprehensive Community Action Program","Welcome to CCAP","2026-08-18","","4","official_organization_page","manual:round14:comprehensive-community-action:001:2026-08-18","manual","verified"
"East Bay Community Action Program - Riverside","","role_based","yes","Community action public office","","","","401-437-1000","https://ebcap.org/about-ebcap/our-locations","https://ebcap.org/about-ebcap/our-locations","East Bay Community Action Program","Our Locations","2026-08-18","","4","official_organization_page","manual:round14:east-bay-community-action-riverside:001:2026-08-18","manual","verified"
"Westbay Community Action","","role_based","yes","Community action public office","","","info@westbaycap.org","401-732-4660","https://westbaycap.org/contact/","https://westbaycap.org/contact/","Westbay Community Action","Contact","2026-08-18","","4","official_organization_page","manual:round14:westbay-community-action:001:2026-08-18","manual","verified"
"Community Action Partnership of Providence County","","role_based","yes","Community action public office","","","info@cappri.org","401-273-2000","http://www.cappri.org/","https://www.providenceri.gov/wp-content/uploads/2023/10/HCO-Mental-Health-Brochure-English.pdf","City of Providence Healthy Communities Office","Mental and Behavioral Health Resource Guide","2026-08-18","2023-10-01","5","official_government_document","manual:round14:community-action-partnership-providence:001:2026-08-18","manual","verified"
"Action for Boston Community Development","","role_based","yes","Community action public office","","","info@bostonabcd.org","617-348-6000","https://bostonabcd.org/","https://www.mass.gov/info-details/ori-community-partners-directory","Massachusetts Office for Refugees and Immigrants","ORI Community Partners Directory","2026-08-18","","5","official_government_page","manual:round14:action-boston-community-development:001:2026-08-18","manual","verified"
"The Greater Boston Food Bank","","role_based","yes","Food bank development office","","","development@gbfb.org","617-427-5200","https://www.gbfb.org/contact-us/","https://www.gbfb.org/contact-us/","The Greater Boston Food Bank","Contact Us","2026-08-18","","4","official_organization_page","manual:round14:greater-boston-food-bank:001:2026-08-18","manual","verified"
"The Charity Guild","","role_based","yes","Food security public office","","","info@thecharityguild.org","508-583-5280","https://thecharityguild.org/support/","https://thecharityguild.org/support/","The Charity Guild","Support","2026-08-18","","4","official_organization_page","manual:round14:charity-guild:001:2026-08-18","manual","verified"
"Interfaith Social Services","","role_based","yes","Food and emergency assistance public office","","","info@interfaithsocialservices.org","617-773-6203","https://interfaithsocialservices.org/contact-us/","https://interfaithsocialservices.org/contact-us/","Interfaith Social Services","Contact Us","2026-08-18","","4","official_organization_page","manual:round14:interfaith-social-services:001:2026-08-18","manual","verified"
"United Way of Greater Plymouth County","","role_based","yes","Regional community partnership office","","","","508-583-6306","https://www.uwgpc.org/contact-us","https://www.uwgpc.org/contact-us","United Way of Greater Plymouth County","Contact Us","2026-08-18","","4","official_organization_page","manual:round14:united-way-greater-plymouth:001:2026-08-18","manual","verified"
"United Way of Greater New Bedford","","role_based","yes","Regional community partnership office","","","info@unitedwayofgnb.org","508-994-9625","https://www.unitedwayofgnb.org/","https://unitedwayofgnb.org/sites/unitedwayofgnb/files/UWGNB-2025%20AnnualReport%20web%20reduced.pdf","United Way of Greater New Bedford","2025 Annual Report","2026-08-18","2025-01-01","4","official_organization_document","manual:round14:united-way-greater-new-bedford:001:2026-08-18","manual","verified"
"My Brother's Keeper - Easton","","role_based","yes","Easton donations office","","","","508-238-7512","https://www.mybrotherskeeper.org/contact/","https://www.mybrotherskeeper.org/contact/","My Brother's Keeper","Contact","2026-08-18","","4","official_organization_page","manual:round14:my-brothers-keeper-easton:001:2026-08-18","manual","verified"
"Hanover Food Pantry","","role_based","yes","Food pantry public office","","","","781-826-5000 ext. 1260","https://www.hanover-ma.gov/hanover-food-pantry","https://www.hanover-ma.gov/hanover-food-pantry","Town of Hanover","Hanover Food Pantry","2026-08-18","","5","official_government_page","manual:round14:hanover-food-pantry:001:2026-08-18","manual","verified"
"Pembroke Food Pantry","","role_based","yes","Food pantry public office","","","","781-293-7211","https://www.pembroke-ma.gov/m/directory/department?did=48","https://www.pembroke-ma.gov/m/directory/department?did=48","Town of Pembroke","Pembroke Food Pantry","2026-08-18","","5","official_government_page","manual:round14:pembroke-food-pantry:001:2026-08-18","manual","verified"
"Plymouth County Outreach","","role_based","yes","Recovery navigation public office","","","","508-830-4218 ext. 15261","https://plymouthcountyoutreach.org/access-to-pco/","https://plymouthcountyoutreach.org/access-to-pco/","Plymouth County Outreach","How to Access PCO","2026-08-18","","4","official_organization_page","manual:round14:plymouth-county-outreach:001:2026-08-18","manual","verified"
"Easton Wings of Hope","","role_based","yes","Substance-use prevention coalition office","","","info@eastonwingsofhope.org","","https://eastonwingsofhope.org/get-involved/","https://eastonwingsofhope.org/get-involved/","Easton Wings of Hope","Get Involved","2026-08-18","2025-11-03","4","official_organization_page","manual:round14:easton-wings-of-hope:001:2026-08-18","manual","verified"
"Learn to Cope","","role_based","yes","Family recovery support public office","","","","508-738-5148","https://learn2cope.org/contact/","https://learn2cope.org/contact/","Learn to Cope","Contact","2026-08-18","","4","official_organization_page","manual:round14:learn-to-cope:001:2026-08-18","manual","verified"
"Massachusetts Organization for Addiction Recovery","","role_based","yes","Recovery advocacy public office","","","","617-423-6627","https://www.moar-recovery.org/","https://www.moar-recovery.org/","Massachusetts Organization for Addiction Recovery","Home","2026-08-18","","4","official_organization_page","manual:round14:massachusetts-organization-addiction-recovery:001:2026-08-18","manual","verified"
"Hope House Boston","","role_based","yes","Addiction services public office","","","HHinfo@hopehouseboston.org","617-971-9360","https://www.hopehouseboston.org/contact","https://www.hopehouseboston.org/contact","Hope House Boston","Contact","2026-08-18","","4","official_organization_page","manual:round14:hope-house-boston:001:2026-08-18","manual","verified"
"Gavin Foundation","","role_based","yes","Recovery services public office","","","","617-268-5000","https://gavinfoundation.org/directory/","https://gavinfoundation.org/directory/","Gavin Foundation","Directory","2026-08-18","","4","official_organization_page","manual:round14:gavin-foundation:001:2026-08-18","manual","verified"
"South Shore Peer Recovery","","role_based","yes","Peer recovery public office","","","info@southshorepeerrecovery.com","781-378-0453","https://southshorepeerrecovery.org/about-us/","https://southshorepeerrecovery.org/about-us/","South Shore Peer Recovery","About Us","2026-08-18","","4","official_organization_page","manual:round14:south-shore-peer-recovery:001:2026-08-18","manual","verified"
"Anchor Recovery Community Center - Providence","","role_based","yes","Peer recovery public office","","","info@anchorrecovery.org","401-889-5770","https://anchorrecovery.providencecenter.org/anchor-recovery-community-center","https://www.providencecenter.org/contact-us","The Providence Center","Contact Us","2026-08-18","","4","official_organization_page","manual:round14:anchor-recovery-providence:001:2026-08-18","manual","verified"
"Catholic Charities Boston","","role_based","yes","Faith-based community services office","","","info@ccab.org","617-464-8500","https://www.ccab.org/","https://www.mass.gov/info-details/ori-community-partners-directory","Massachusetts Office for Refugees and Immigrants","ORI Community Partners Directory","2026-08-18","","5","official_government_page","manual:round14:catholic-charities-boston:001:2026-08-18","manual","verified"
"Catholic Charities of the Diocese of Fall River","","role_based","yes","Faith-based community services office","","","FR-Reception@ccfrdioc.org","508-674-4681","https://www.ccfrdioc.org/contact-us/","https://www.ccfrdioc.org/contact-us/","Catholic Charities of the Diocese of Fall River","Contact Us","2026-08-18","","4","official_organization_page","manual:round14:catholic-charities-fall-river:001:2026-08-18","manual","verified"
"Catholic Charities and Social Ministry - Diocese of Providence","","role_based","yes","Faith-based community services office","","","","401-278-2504","https://dioceseofprovidence.org/people/office-of-catholic-charities-social-ministry","https://dioceseofprovidence.org/people/office-of-catholic-charities-social-ministry","Diocese of Providence","Office of Catholic Charities and Social Ministry","2026-08-18","","4","official_organization_page","manual:round14:catholic-charities-social-ministry-providence:001:2026-08-18","manual","verified"
"Jewish Alliance of Greater Rhode Island","","role_based","yes","Jewish community public office","","","","401-421-4111","https://www.jewishallianceri.org/about/what-we-stand-for","https://www.jewishallianceri.org/about/what-we-stand-for","Jewish Alliance of Greater Rhode Island","What We Stand For","2026-08-18","","4","official_organization_page","manual:round14:jewish-alliance-greater-rhode-island:001:2026-08-18","manual","verified"
"Islamic Society of Boston Cultural Center","","role_based","yes","Muslim community public office","","","office@isbcc.org","","https://isbcc.org/","https://isbcc.org/wp-content/uploads/2024/10/Response%20to%2010-23-24%20BostonGlobe.com%20article%20regarding%20trustee%20resignation.pdf","Islamic Society of Boston","Response Regarding Trustee Resignation","2026-08-18","2024-10-01","4","official_organization_document","manual:round14:islamic-society-boston-cultural-center:001:2026-08-18","manual","verified"
