canonical_name,organization_type,industry,union_affiliation,local_number,official_identifier,website,public_phone,public_email,street,city,state,zip,latitude,longitude,estimated_reach,active_status,public_accessibility,active_program,asserted_fields,source_url,publisher,source_title,retrieval_date,publication_date,source_strength,source_type,raw_source_identifier,extraction_method,validation_status
"Alzheimer's Association Massachusetts/New Hampshire Chapter","dementia_support_nonprofit","Dementia education, caregiver support, care consultation, advocacy, and community programs","","","","https://www.alz.org/manh","617-868-6718","","320 Nevada Street Suite 201","Newton","MA","02460","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;street;city;state;zip;active_status;public_accessibility;active_program","https://www.alz.org/manh/about?form=FUNYQHJJMCP","Alzheimer's Association Massachusetts/New Hampshire Chapter","About Our Chapter","2026-08-18","","4","official_organization_page","manual:round16:alzheimers-association-manh:001:2026-08-18","manual","verified"
"Alzheimer's Association Rhode Island Chapter","dementia_support_nonprofit","Dementia education, caregiver support, care consultation, advocacy, and community programs","","","","https://www.alz.org/ri","401-421-0008","richapter@alz.org","245 Waterman Street Suite 306","Providence","RI","02906","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://www.alz.org/ri/about","Alzheimer's Association Rhode Island Chapter","About Our Chapter","2026-08-18","","4","official_organization_page","manual:round16:alzheimers-association-ri:001:2026-08-18","manual","verified"
"HESSCO Elder Services","aging_services_nonprofit","Aging information, home care, nutrition, caregiver support, protective services, and community programs","","","","https://hessco.org/","781-784-4944","info@hessco.org","545 South Street Suite 300","Walpole","MA","02081","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://hessco.org/faq-page-1/","HESSCO Elder Services","Frequently Asked Questions","2026-08-18","","4","official_organization_page","manual:round16:hessco-elder-services:001:2026-08-18","manual","verified"
"Ethos","aging_services_nonprofit","Aging and disability home care, caregiver support, meals, behavioral health, and options counseling","","","","https://www.ethocare.org/","617-522-6700","","555 Amory Street","Jamaica Plain","MA","02130","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;street;city;state;zip;active_status;public_accessibility;active_program","https://www.ethocare.org/bhoap/","Ethos","Behavioral Health Outreach for Aging Populations","2026-08-18","","4","official_organization_page","manual:round16:ethos:001:2026-08-18","manual","verified"
"Central Boston Elder Services","aging_services_nonprofit","Home care, caregiver support, nutrition, protective services, and community-based aging programs","","","","https://centralboston.org/","617-277-7416","","2315 Washington Street","Boston","MA","02119","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;street;city;state;zip;active_status;public_accessibility;active_program","https://centralboston.org/contact/","Central Boston Elder Services","Contact","2026-08-18","","4","official_organization_page","manual:round16:central-boston-elder-services:001:2026-08-18","manual","verified"
"Boston Senior Home Care","aging_services_nonprofit","Aging and disability services, caregiver support, home care, referrals, and community programs","","","","https://bshcinfo.org/","617-451-6400","info@bshcinfo.org","89 South Street Suite 501","Boston","MA","02111","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://bshcinfo.org/job-board/","Boston Senior Home Care","Job Board and General Contact","2026-08-18","","4","official_organization_page","manual:round16:boston-senior-home-care:001:2026-08-18","manual","verified"
"Mystic Valley Elder Services","aging_services_nonprofit","Aging and disability information, home care, nutrition, caregiver support, and community programs","","","","https://mves.org/","781-324-7705","info@mves.org","300 Commercial Street Number 19","Malden","MA","02148","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://mves.org/contact-us/","Mystic Valley Elder Services","Contact Us","2026-08-18","","4","official_organization_page","manual:round16:mystic-valley-elder-services:001:2026-08-18","manual","verified"
"Elder Services of Cape Cod and the Islands","aging_services_nonprofit","Aging and disability information, home care, nutrition, caregiver support, and protective services","","","","https://escci.org/","508-394-4630","info@escci.org","68 Route 134","South Dennis","MA","02660","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://escci.org/","Elder Services of Cape Cod and the Islands","Home and Contact Information","2026-08-18","","4","official_organization_page","manual:round16:elder-services-cape-cod-islands:001:2026-08-18","manual","verified"
"Home Base","veteran_community_nonprofit","Mental-health, traumatic-brain-injury, wellness, and family support for veterans and service members","","","","https://homebase.org/","617-724-5202","homebaseprogram@partners.org","One Constitution Wharf Suite 140","Charlestown","MA","02129","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://homebase.org/about-us/contact/","Home Base","Contact Home Base","2026-08-18","","4","official_organization_page","manual:round16:home-base:001:2026-08-18","manual","verified"
"Homes For Our Troops","veteran_community_nonprofit","Adapted-home construction and support for severely injured post-9/11 veterans","","","","https://www.hfotusa.org/","866-787-6677","info@hfotusa.org","6 Main Street","Taunton","MA","02780","","","","active","1","1","canonical_name;organization_type;industry;website;public_phone;public_email;street;city;state;zip;active_status;public_accessibility;active_program","https://support.hfotusa.org/site/SPageServer?pagename=contact_thankyou","Homes For Our Troops","Contact Information","2026-08-18","","4","official_organization_page","manual:round16:homes-for-our-troops:001:2026-08-18","manual","verified"
